TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,22.7676,11.5177,5.91406,3.50838,,22.82542,11.86768,5.963404,3.476612
2,22.8131,11.5524,5.93306,3.49197,,,,,
3,22.8035,11.4967,5.86073,3.44433,,,,,
4,22.8429,13.2095,6.1864,3.43218,,,,,
5,22.9,11.5621,5.92277,3.5062,,,,,
ERROR,,,,,,,,,
1,1.31944,1.31944,1.31944,1.31944,,,,,
2,1.3224,1.3224,1.3224,1.3224,,,,,
3,1.27685,1.27685,1.27685,1.27685,,,,,
4,1.27987,1.27987,1.27987,1.27987,,,,,
5,1.32017,1.32017,1.32017,1.32017,,,,,
THROUGHPUT,,,,,,,,,
1,1.47E+06,2.91E+06,5.67E+06,9.56E+06,,,,,
2,1.47E+06,2.90E+06,5.66E+06,9.61E+06,,,,,
3,1.47E+06,2.92E+06,5.73E+06,9.74E+06,,,,,
4,1.47E+06,2.54E+06,5.42E+06,9.78E+06,,,,,
5,1.47E+06,2.90E+06,5.67E+06,9.57E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,21.9254,10.9576,5.60018,3.27284,,21.86024,11.58548,5.625502,3.256328
2,21.85,12.5636,5.54947,3.22824,,,,,
3,21.8391,10.9133,5.54003,3.25762,,,,,
4,21.8666,12.5338,5.85748,3.23915,,,,,
5,21.8201,10.9591,5.58035,3.28379,,,,,
ERROR,,,,,,,,,
1,1.31944,1.31944,1.31944,1.31944,,,,,
2,1.3224,1.3224,1.3224,1.3224,,,,,
3,1.27685,1.27685,1.27685,1.27685,,,,,
4,1.27987,1.27987,1.27987,1.27987,,,,,
5,1.32017,1.32017,1.32017,1.32017,,,,,
THROUGHPUT,,,,,,,,,
1,1.53E+06,3.06E+06,5.99E+06,1.03E+07,,,,,
2,1.54E+06,2.67E+06,6.05E+06,1.04E+07,,,,,
3,1.54E+06,3.07E+06,6.06E+06,1.03E+07,,,,,
4,1.53E+06,2.68E+06,5.73E+06,1.04E+07,,,,,
5,1.54E+06,3.06E+06,6.01E+06,1.02E+07,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,21.4736,12.7242,5.87839,3.33394,,21.98488,12.6536,5.959052,3.448758
2,23.1555,13.6151,6.27227,3.65186,,,,,
3,21.4119,12.6925,5.87315,3.32715,,,,,
4,21.1658,10.7908,5.52864,3.35383,,,,,
5,22.7176,13.4454,6.24281,3.57701,,,,,
ERROR,,,,,,,,,
1,0.0858729,0.0858729,0.0858729,0.0858729,,,,,
2,0.0822448,0.0822448,0.0822448,0.0822448,,,,,
3,0.084673,0.084673,0.084673,0.084673,,,,,
4,0.0840296,0.0840296,0.0840296,0.0840296,,,,,
5,0.0840709,0.0840709,0.0840709,0.0840709,,,,,
THROUGHPUT,,,,,,,,,
1,1.56E+06,2.64E+06,5.71E+06,1.01E+07,,,,,
2,1.45E+06,2.46E+06,5.35E+06,9.19E+06,,,,,
3,1.57E+06,2.64E+06,5.71E+06,1.01E+07,,,,,
4,1.59E+06,3.11E+06,6.07E+06,1.00E+07,,,,,
5,1.48E+06,2.50E+06,5.37E+06,9.38E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,20.2402,11.9761,5.14357,3.13583,,20.16446,11.94714,5.34293,3.113442
2,20.1628,11.9322,5.48512,3.12599,,,,,
3,20.1861,11.9416,5.48235,3.07016,,,,,
4,19.9977,11.9155,5.09858,3.11582,,,,,
5,20.2355,11.9703,5.50503,3.11941,,,,,
ERROR,,,,,,,,,
1,0.0858729,0.0858729,0.0858729,0.0858729,,,,,
2,0.0822448,0.0822448,0.0822448,0.0822448,,,,,
3,0.084673,0.084673,0.084673,0.084673,,,,,
4,0.0840296,0.0840296,0.0840296,0.0840296,,,,,
5,0.0840709,0.0840709,0.0840709,0.0840709,,,,,
THROUGHPUT,,,,,,,,,
1,1.66E+06,2.80E+06,6.52E+06,1.07E+07,,,,,
2,1.66E+06,2.81E+06,6.12E+06,1.07E+07,,,,,
3,1.66E+06,2.81E+06,6.12E+06,1.09E+07,,,,,
4,1.68E+06,2.82E+06,6.58E+06,1.08E+07,,,,,
5,1.66E+06,2.80E+06,6.10E+06,1.08E+07,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,39.8324,18.6499,6.78306,5.64845,,24.33478,13.88414,6.586648,4.54437
2,20.4217,13.2934,6.4901,4.26652,,,,,
3,20.4664,13.2888,6.5046,4.23114,,,,,
4,20.5036,13.3527,6.56514,4.2766,,,,,
5,20.4498,10.8359,6.59034,4.29914,,,,,
ERROR,,,,,,,,,
1,0.00471248,0.00471248,0.00471248,0.00471248,,,,,
2,0.00434306,0.00434306,0.00434306,0.00434306,,,,,
3,0.00427338,0.00427338,0.00427338,0.00427338,,,,,
4,0.00441104,0.00441104,0.00441104,0.00441104,,,,,
5,0.00452654,0.00452654,0.00452654,0.00452654,,,,,
THROUGHPUT,,,,,,,,,
1,842391,1.80E+06,4.95E+06,5.94E+06,,,,,
2,1.64E+06,2.52E+06,5.17E+06,7.86E+06,,,,,
3,1.64E+06,2.53E+06,5.16E+06,7.93E+06,,,,,
4,1.64E+06,2.51E+06,5.11E+06,7.85E+06,,,,,
5,1.64E+06,3.10E+06,5.09E+06,7.80E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,37.0557,17.2746,6.24595,4.70912,,22.43392,12.244822,6.069052,4.10211
2,19.1562,9.80675,6.13498,3.97311,,,,,
3,18.6327,12.2283,5.97378,3.93286,,,,,
4,18.6599,9.59216,5.98338,3.93733,,,,,
5,18.6651,12.3223,6.00717,3.95813,,,,,
ERROR,,,,,,,,,
1,0.00471248,0.00471248,0.00471248,0.00471248,,,,,
2,0.00434306,0.00434306,0.00434306,0.00434306,,,,,
3,0.00427338,0.00427338,0.00427338,0.00427338,,,,,
4,0.00441104,0.00441104,0.00441104,0.00441104,,,,,
5,0.00452654,0.00452654,0.00452654,0.00452654,,,,,
THROUGHPUT,,,,,,,,,
1,905514,1.94E+06,5.37E+06,7.13E+06,,,,,
2,1.75E+06,3.42E+06,5.47E+06,8.45E+06,,,,,
3,1.80E+06,2.74E+06,5.62E+06,8.53E+06,,,,,
4,1.80E+06,3.50E+06,5.61E+06,8.52E+06,,,,,
5,1.80E+06,2.72E+06,5.59E+06,8.48E+06,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,31.8186,17.3933,9.97268,5.61867,,31.31348,17.41446,9.685598,5.53777
2,31.3042,17.9876,9.63202,5.55041,,,,,
3,31.9519,17.6219,9.82122,5.56839,,,,,
4,30.8728,17.1847,9.34366,5.43629,,,,,
5,30.6199,16.8848,9.65841,5.51509,,,,,
ERROR,,,,,,,,,
1,0.000115433,0.000115433,0.000115433,0.000115433,,,,,
2,0.000102398,0.000102398,0.000102398,0.000102398,,,,,
3,0.000120603,0.000120603,0.000120603,0.000120603,,,,,
4,0.000132273,0.000132273,0.000132273,0.000132273,,,,,
5,0.000135394,0.000135394,0.000135394,0.000135394,,,,,
THROUGHPUT,,,,,,,,,
1,1.05E+06,1.93E+06,3.36E+06,5.97E+06,,,,,
2,1.07E+06,1.87E+06,3.48E+06,6.05E+06,,,,,
3,1.05E+06,1.90E+06,3.42E+06,6.03E+06,,,,,
4,1.09E+06,1.95E+06,3.59E+06,6.17E+06,,,,,
5,1.10E+06,1.99E+06,3.47E+06,6.08E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,30.6589,17.1912,9.64455,5.45575,,30.5582,16.97668,9.41726,5.401544
2,30.2859,16.8393,9.52322,5.38406,,,,,
3,30.414,16.8385,8.85666,5.34264,,,,,
4,30.3609,16.816,9.36736,5.32418,,,,,
5,31.0713,17.1984,9.69451,5.50109,,,,,
ERROR,,,,,,,,,
1,0.000115433,0.000115433,0.000115433,0.000115433,,,,,
2,0.000102398,0.000102398,0.000102398,0.000102398,,,,,
3,0.000120603,0.000120603,0.000120603,0.000120603,,,,,
