TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,22.973,18.3435,7.63322,5.40393,,23.82516,16.15236,7.450128,5.509756
2,24.9562,13.0288,7.08592,5.64602,,,,,
3,24.9029,19.0749,8.39666,5.76709,,,,,
4,23.0347,11.7939,6.15835,5.33242,,,,,
5,23.259,18.5207,7.97649,5.39932,,,,,
ERROR,,,,,,,,,
1,1.25434,1.25395,1.25369,1.25183,,,,,
2,1.29879,1.29879,1.29786,1.29616,,,,,
3,1.2732,1.2728,1.27245,1.27062,,,,,
4,1.30114,1.30113,1.30092,1.29855,,,,,
5,1.29834,1.29795,1.29767,1.29574,,,,,
THROUGHPUT,,,,,,,,,
1,1.46E+06,1.83E+06,4.40E+06,6.21E+06,,,,,
2,1.34E+06,2.58E+06,4.74E+06,5.94E+06,,,,,
3,1.35E+06,1.76E+06,4.00E+06,5.82E+06,,,,,
4,1.46E+06,2.85E+06,5.45E+06,6.29E+06,,,,,
5,1.44E+06,1.81E+06,4.21E+06,6.21E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,21.9471,17.9299,8.67764,5.78008,,22.02228,13.92862,7.021604,5.532704
2,22.056,11.2518,5.87356,5.27955,,,,,
3,22.0425,18.0423,8.718,5.84607,,,,,
4,22.027,11.2034,5.96341,5.38458,,,,,
5,22.0388,11.2157,5.87541,5.37324,,,,,
ERROR,,,,,,,,,
1,1.25434,1.254,1.25377,1.25198,,,,,
2,1.29879,1.29865,1.2986,1.29624,,,,,
3,1.2732,1.27285,1.27258,1.27061,,,,,
4,1.30114,1.30098,1.30097,1.29863,,,,,
5,1.29834,1.29821,1.29813,1.29578,,,,,
THROUGHPUT,,,,,,,,,
1,1.53E+06,1.87E+06,3.87E+06,5.81E+06,,,,,
2,1.52E+06,2.98E+06,5.71E+06,6.36E+06,,,,,
3,1.52E+06,1.86E+06,3.85E+06,5.74E+06,,,,,
4,1.52E+06,3.00E+06,5.63E+06,6.23E+06,,,,,
5,1.52E+06,2.99E+06,5.71E+06,6.24E+06,,,,,
MERGED AND BATCHED,,,,,,,,,
TIME,,,,,,,,,
1,29.5136,12.3895,6.32602,4.47939,,25.4426,13.06718,6.760462,4.494982
2,22.7366,12.3717,6.28626,4.50916,,,,,
3,29.5463,12.4491,6.36691,4.51991,,,,,
4,22.7701,12.3886,6.30006,4.50834,,,,,
5,22.6464,15.737,8.52306,4.45811,,,,,
ERROR,,,,,,,,,
1,1.25434,1.25432,1.25434,1.25429,,,,,
2,1.29879,1.29878,1.29879,1.29885,,,,,
3,1.2732,1.27317,1.2732,1.27317,,,,,
4,1.30114,1.30111,1.30114,1.30117,,,,,
5,1.29834,1.2983,1.29833,1.29834,,,,,
THROUGHPUT,,,,,,,,,
1,1.14E+06,2.71E+06,5.30E+06,7.49E+06,,,,,
2,1.48E+06,2.71E+06,5.34E+06,7.44E+06,,,,,
3,1.14E+06,2.70E+06,5.27E+06,7.42E+06,,,,,
4,1.47E+06,2.71E+06,5.33E+06,7.44E+06,,,,,
5,1.48E+06,2.13E+06,3.94E+06,7.53E+06,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,22.0609,11.4275,6.05487,5.24968,,21.78846,13.7468,6.437488,5.220458
2,22.4726,17.8561,7.44288,5.26486,,,,,
3,21.4697,11.0258,5.71482,5.14286,,,,,
4,21.4062,17.3757,7.2273,5.12197,,,,,
5,21.5329,11.0489,5.74757,5.32292,,,,,
ERROR,,,,,,,,,
1,0.0851298,0.0851289,0.0850741,0.0848602,,,,,
2,0.0846728,0.0846084,0.0845632,0.0843789,,,,,
3,0.0830243,0.0830202,0.0830024,0.08277,,,,,
4,0.0849001,0.0848416,0.0848199,0.0846681,,,,,
5,0.0868194,0.086816,0.0867872,0.0865717,,,,,
THROUGHPUT,,,,,,,,,
1,1.52E+06,2.94E+06,5.54E+06,6.39E+06,,,,,
2,1.49E+06,1.88E+06,4.51E+06,6.37E+06,,,,,
3,1.56E+06,3.04E+06,5.87E+06,6.52E+06,,,,,
4,1.57E+06,1.93E+06,4.64E+06,6.55E+06,,,,,
5,1.56E+06,3.04E+06,5.84E+06,6.30E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,20.1494,10.3035,5.40332,5.1655,,20.2557,10.3363,5.429516,5.089086
2,20.4074,10.405,5.46281,4.9994,,,,,
3,20.2228,10.322,5.37951,5.16641,,,,,
4,20.2731,10.3376,5.4626,5.1518,,,,,
5,20.2258,10.3134,5.43934,4.96232,,,,,
ERROR,,,,,,,,,
1,0.0851298,0.0851072,0.0850965,0.0849239,,,,,
2,0.0846728,0.0846504,0.0846373,0.0844339,,,,,
3,0.0830243,0.083002,0.0829893,0.0828216,,,,,
4,0.0849001,0.0848737,0.084857,0.084662,,,,,
5,0.0868194,0.086796,0.0867879,0.0865654,,,,,
THROUGHPUT,,,,,,,,,
1,1.67E+06,3.26E+06,6.21E+06,6.50E+06,,,,,
2,1.64E+06,3.22E+06,6.14E+06,6.71E+06,,,,,
3,1.66E+06,3.25E+06,6.24E+06,6.49E+06,,,,,
4,1.66E+06,3.25E+06,6.14E+06,6.51E+06,,,,,
5,1.66E+06,3.25E+06,6.17E+06,6.76E+06,,,,,
MERGED AND BATCHED,,,,,,,,,
TIME,,,,,,,,,
1,28.6375,11.4193,5.80934,4.34318,,24.15664,11.4429,5.836768,4.331532
2,21.2712,11.5271,5.87024,4.3318,,,,,
3,21.1327,11.4169,5.81032,4.33446,,,,,
4,28.624,11.4583,5.8784,4.31052,,,,,
5,21.1178,11.3929,5.81554,4.3377,,,,,
ERROR,,,,,,,,,
1,0.0851298,0.0851212,0.0851298,0.0850987,,,,,
2,0.0846728,0.0846678,0.0846728,0.0846512,,,,,
3,0.0830243,0.0830103,0.0830243,0.0830094,,,,,
4,0.0849001,0.0848943,0.0849001,0.084876,,,,,
5,0.0868194,0.086817,0.0868194,0.0867959,,,,,
THROUGHPUT,,,,,,,,,
1,1.17E+06,2.94E+06,5.78E+06,7.73E+06,,,,,
2,1.58E+06,2.91E+06,5.72E+06,7.75E+06,,,,,
3,1.59E+06,2.94E+06,5.77E+06,7.74E+06,,,,,
4,1.17E+06,2.93E+06,5.71E+06,7.78E+06,,,,,
5,1.59E+06,2.95E+06,5.77E+06,7.74E+06,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME,,,,,,,,,
1,39.7472,21.5103,11.1868,5.00485,,24.15806,15.301432,6.97339,5.325156
2,19.3053,9.84526,5.06902,4.88089,,,,,
3,20.4221,17.0298,7.08054,6.00166,,,,,
4,20.4379,10.6539,5.69417,5.22308,,,,,
5,20.8778,17.4679,5.83642,5.5153,,,,,
ERROR,,,,,,,,,
1,0.00431831,0.00440968,0.00468102,0.00790025,,,,,
2,0.00419574,0.00420857,0.00430152,0.00765394,,,,,
3,0.00427723,0.00447991,0.00488944,0.00780079,,,,,
4,0.00414778,0.00414913,0.00510887,0.00798772,,,,,
5,0.00449096,0.00477812,0.00482732,0.0077375,,,,,
THROUGHPUT,,,,,,,,,
1,844196,1.56E+06,3.00E+06,6.70E+06,,,,,
2,1.74E+06,3.41E+06,6.62E+06,6.87E+06,,,,,
3,1.64E+06,1.97E+06,4.74E+06,5.59E+06,,,,,
4,1.64E+06,3.15E+06,5.89E+06,6.42E+06,,,,,
5,1.61E+06,1.92E+06,5.75E+06,6.08E+06,,,,,
MERGED,,,,,,,,,
TIME,,,,,,,,,
1,18.6498,16.0844,6.64827,5.69709,,18.64216,13.435158,6.667492,5.256254
2,18.6273,9.44038,4.93933,5.06416,,,,,
3,18.5967,16.1157,8.3965,5.07101,,,,,
4,18.6578,16.0516,8.41305,5.60436,,,,,
5,18.6792,9.48371,4.94031,4.84465,,,,,
ERROR,,,,,,,,,
1,0.00431831,0.00442556,0.00466216,0.00765498,,,,,
2,0.00419574,0.00420957,0.00428972,0.00779728,,,,,
3,0.00427723,0.00435461,0.00455968,0.00782811,,,,,
4,0.00414778,0.00425793,0.00446448,0.00759569,,,,,
