TAKE,1THR,2THR,4THR,,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,31.5409,16.5305,11.5195,,31.28062,16.47282,11.53632
2,31.2596,16.3716,11.4136,,,,
3,31.1728,16.5739,11.7713,,,,
4,31.4209,16.51,11.5578,,,,
5,31.0089,16.3781,11.4194,,,,
ERROR,,,,,,,
1,1.23897,1.23892,1.23887,,,,
2,1.26804,1.26799,1.26793,,,,
3,1.33436,1.33429,1.33423,,,,
4,1.26882,1.26876,1.26872,,,,
5,1.29643,1.29637,1.29631,,,,
THROUGHPUT,,,,,,,
1,1.06E+06,2.03E+06,2.91E+06,,,,
2,1.07E+06,2.05E+06,2.94E+06,,,,
3,1.08E+06,2.02E+06,2.85E+06,,,,
4,1.07E+06,2.03E+06,2.90E+06,,,,
5,1.08E+06,2.05E+06,2.94E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,29.2127,15.238,10.2043,,29.01682,15.23776,10.35426
2,29.0185,15.2975,10.4524,,,,
3,28.9218,15.1786,10.3184,,,,
4,29.0226,15.1603,10.2982,,,,
5,28.9085,15.3144,10.498,,,,
ERROR,,,,,,,
1,1.23897,1.23834,1.23767,,,,
2,1.26804,1.26757,1.26689,,,,
3,1.33436,1.33386,1.33314,,,,
4,1.26882,1.26821,1.26753,,,,
5,1.29643,1.29584,1.29507,,,,
THROUGHPUT,,,,,,,
1,1.15E+06,2.20E+06,3.29E+06,,,,
2,1.16E+06,2.19E+06,3.21E+06,,,,
3,1.16E+06,2.21E+06,3.25E+06,,,,
4,1.16E+06,2.21E+06,3.26E+06,,,,
5,1.16E+06,2.19E+06,3.20E+06,,,,
MERGED AND BATCHED,,,,,,,
TIME,,,,,,,
1,28.8428,14.1837,9.26035,,28.67086,14.1183,9.346906
2,28.59,14.0761,9.36414,,,,
3,28.6853,14.1239,9.35322,,,,
4,28.6293,14.1069,9.31067,,,,
5,28.6069,14.1009,9.44615,,,,
ERROR,,,,,,,
1,1.23897,1.23897,1.23897,,,,
2,1.26804,1.26804,1.26804,,,,
3,1.33436,1.33436,1.33436,,,,
4,1.26882,1.26882,1.26882,,,,
5,1.29643,1.29643,1.29643,,,,
THROUGHPUT,,,,,,,
1,1.16E+06,2.37E+06,3.62E+06,,,,
2,1.17E+06,2.38E+06,3.58E+06,,,,
3,1.17E+06,2.38E+06,3.59E+06,,,,
4,1.17E+06,2.38E+06,3.60E+06,,,,
5,1.17E+06,2.38E+06,3.55E+06,,,,
COLSIZE:,0.001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,32.2836,16.4461,11.6018,,32.12016,16.501,11.67396
2,32.0349,16.6714,11.6801,,,,
3,32.0011,16.4168,11.5846,,,,
4,32.1681,16.4138,11.6696,,,,
5,32.1131,16.5569,11.8337,,,,
ERROR,,,,,,,
1,0.084054,0.0840512,0.0840412,,,,
2,0.0849572,0.0849503,0.084937,,,,
3,0.0865039,0.0864993,0.0864879,,,,
4,0.0839694,0.0839678,0.0839544,,,,
5,0.0826931,0.0826876,0.0826758,,,,
THROUGHPUT,,,,,,,
1,1.04E+06,2.04E+06,2.89E+06,,,,
2,1.05E+06,2.01E+06,2.87E+06,,,,
3,1.05E+06,2.04E+06,2.90E+06,,,,
4,1.04E+06,2.04E+06,2.88E+06,,,,
5,1.04E+06,2.03E+06,2.84E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,30.0224,15.1919,10.354,,29.80752,15.07336,10.30438
2,29.7292,14.9975,10.2033,,,,
3,29.9524,15.046,10.1175,,,,
4,29.4739,15.1074,10.3719,,,,
5,29.8597,15.024,10.4752,,,,
ERROR,,,,,,,
1,0.084054,0.0840581,0.0838644,,,,
2,0.0849572,0.084909,0.0846908,,,,
3,0.0865039,0.0864693,0.0862208,,,,
4,0.0839694,0.0839197,0.0836228,,,,
5,0.0826931,0.0826543,0.0823542,,,,
THROUGHPUT,,,,,,,
1,1.12E+06,2.21E+06,3.24E+06,,,,
2,1.13E+06,2.24E+06,3.29E+06,,,,
3,1.12E+06,2.23E+06,3.32E+06,,,,
4,1.14E+06,2.22E+06,3.24E+06,,,,
5,1.12E+06,2.23E+06,3.20E+06,,,,
MERGED AND BATCHED,,,,,,,
TIME,,,,,,,
1,27.8435,13.5496,9.03524,,27.77962,13.55248,9.135694
2,27.7813,13.5706,9.18187,,,,
3,27.8566,13.5672,9.07668,,,,
4,27.6126,13.506,9.18242,,,,
5,27.8041,13.569,9.20226,,,,
ERROR,,,,,,,
1,0.084054,0.0840541,0.084054,,,,
2,0.0849572,0.0849557,0.0849572,,,,
3,0.0865039,0.0865039,0.0865032,,,,
4,0.0839694,0.0839692,0.0839694,,,,
5,0.0826931,0.082693,0.0826925,,,,
THROUGHPUT,,,,,,,
1,1.21E+06,2.48E+06,3.71E+06,,,,
2,1.21E+06,2.47E+06,3.65E+06,,,,
3,1.20E+06,2.47E+06,3.70E+06,,,,
4,1.22E+06,2.48E+06,3.65E+06,,,,
5,1.21E+06,2.47E+06,3.65E+06,,,,
COLSIZE:,0.0001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,34.7868,17.8463,12.2572,,35.36494,18.2226,12.84482
2,35.3293,17.9163,12.7374,,,,
3,35.4385,18.3675,13.007,,,,
4,35.2066,18.1336,12.9105,,,,
5,36.0635,18.8493,13.312,,,,
ERROR,,,,,,,
1,0.00416818,0.00416769,0.00416696,,,,
2,0.00437771,0.00437716,0.00437663,,,,
3,0.00443172,0.00443086,0.00443123,,,,
4,0.00440661,0.00440586,0.0044053,,,,
5,0.0040662,0.00406578,0.00406369,,,,
THROUGHPUT,,,,,,,
1,964575,1.88E+06,2.74E+06,,,,
2,949762,1.87E+06,2.63E+06,,,,
3,946834,1.83E+06,2.58E+06,,,,
4,953072,1.85E+06,2.60E+06,,,,
5,930427,1.78E+06,2.52E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,31.884,15.8656,10.5657,,31.95518,15.8708,10.65462
2,31.942,15.7574,10.5793,,,,
3,32.218,15.931,10.7995,,,,
4,31.8315,15.8401,10.668,,,,
5,31.9004,15.9599,10.6606,,,,
ERROR,,,,,,,
1,0.00416818,0.00700093,0.0108056,,,,
2,0.00437771,0.00710958,0.0106523,,,,
3,0.00443172,0.0070888,0.01063,,,,
4,0.00440661,0.00697899,0.0103127,,,,
5,0.0040662,0.00693701,0.0108066,,,,
THROUGHPUT,,,,,,,
1,1.05E+06,2.11E+06,3.18E+06,,,,
2,1.05E+06,2.13E+06,3.17E+06,,,,
3,1.04E+06,2.11E+06,3.11E+06,,,,
4,1.05E+06,2.12E+06,3.15E+06,,,,
5,1.05E+06,2.10E+06,3.15E+06,,,,
MERGED AND BATCHED,,,,,,,
TIME,,,,,,,
1,31.8382,16.178,11.1075,,32.80446,18.1453,13.44676
2,36.2023,26.0504,22.3183,,,,
3,32.3313,16.1435,11.3435,,,,
4,31.7682,16.1416,11.2383,,,,
5,31.8823,16.213,11.2262,,,,
ERROR,,,,,,,
1,0.00416818,0.00416818,0.00416857,,,,
2,0.00437771,0.00436112,0.00450189,,,,
3,0.00443172,0.00443249,0.00443253,,,,
4,0.00440661,0.00440636,0.00440661,,,,
5,0.0040662,0.00406628,0.0040662,,,,
THROUGHPUT,,,,,,,
1,1.05E+06,2.07E+06,3.02E+06,,,,
2,926859,1.29E+06,1.50E+06,,,,
3,1.04E+06,2.08E+06,2.96E+06,,,,
4,1.06E+06,2.08E+06,2.99E+06,,,,
5,1.05E+06,2.07E+06,2.99E+06,,,,
COLSIZE:,0.00001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,46.377,23.9939,16.2107,,46.50098,23.9111,15.93608
2,45.4826,23.4144,15.3025,,,,
3,46.8561,23.9841,16.0988,,,,
4,46.8997,24.1537,16.0721,,,,
5,46.8895,24.0094,15.9963,,,,
ERROR,,,,,,,
1,0.000118104,0.000148988,0.000230359,,,,
2,0.000130826,0.000136674,0.00017325,,,,
3,0.000127025,0.000128912,0.000209856,,,,
4,0.000139799,0.000141187,0.00016584,,,,
5,0.00015024,0.000152133,0.000173617,,,,
THROUGHPUT,,,,,,,
