,Real,4 Thread,8 Thread
0,1096116,1107207,1106060
1,584757,591823,591817
2,408154,415850,415697
3,315192,322393,322234
4,255710,266900,266826
5,217714,228332,228330
6,190833,199038,199008
7,169437,179620,179616
8,151382,160974,160972
9,137449,147260,147238
10,126077,136170,136159
11,117366,124640,124644
12,109118,118701,118701
13,101414,111107,111096
14,95444,104267,104266
15,90017,99061,99053
16,86048,93449,93418
17,81491,91303,91299
18,76386,85711,85699
19,74066,84859,84861
20,69974,79807,79797
21,68340,77675,77673
22,64286,76114,76117
23,62504,72587,72587
24,60226,67559,67562
25,58539,66349,66351
26,56548,65496,65492
27,53940,65220,65222
28,52092,61547,61547
29,50991,60036,60029
30,49621,57599,57599
31,48053,57484,57484
32,46845,57282,57281
33,45543,53651,53653
34,44513,54469,54469
35,43753,53513,53510
36,42342,51626,51625
37,41298,51199,51203
38,40176,51316,51314
39,39282,48400,48394
40,39053,47375,47378
41,38400,47547,47542
42,36677,46295,46299
43,36139,46561,46561
44,35567,44064,44064
45,34610,43818,43817
46,34061,43530,43528
47,33639,41731,41723
48,33509,41400,41395
49,32193,42031,42031
50,31751,40599,40598
51,31252,41491,41490
52,30658,38797,38797
53,30268,38794,38797
54,29842,39463,39458
55,29249,38291,38288
56,28723,37570,37568
57,28170,37654,37654
58,27991,36197,36198
59,27356,37818,37822
60,27021,35763,35762
61,26635,37924,37926
62,26263,35682,35682
63,25739,34081,34081
64,25312,34987,34981
65,25136,37107,37107
66,24951,33489,33487
67,24709,34541,34537
68,23888,33777,33776
69,23590,33235,33238
70,23443,33053,33054
71,23271,33218,33219
72,22919,31705,31710
73,22632,31759,31760
74,22551,32089,32084
75,22177,31528,31526
76,21915,31417,31417
77,21688,30482,30482
78,21193,31436,31432
79,21032,30373,30372
80,20900,31005,31002
81,20783,31032,31032
82,20660,28283,28281
83,20475,31086,31085
84,20058,28164,28164
85,19755,27688,27685
86,19501,30124,30122
87,19394,28192,28191
88,19243,27691,27686
89,19010,28161,28157
90,19003,28069,28069
91,18795,25528,25523
92,18714,27673,27667
93,18174,28218,28220
94,18130,27351,27343
95,18117,26932,26935
96,17858,25917,25918
97,17777,27264,27264
98,17714,28019,28012
99,17217,28038,28035
