,Real,4 Thread,4 Thread Barrier,8 Thread,8 Thread Barrier
0,1096137,1105888,1105241,1104581,1102973
1,584907,592606,593584,592593,593037
2,406802,415461,415456,415453,415451
3,315480,324168,324964,324006,324828
4,255719,266266,264678,266156,264676
5,218225,228504,227858,228509,227857
6,189813,199640,199812,199637,199810
7,167503,175950,176497,175953,176446
8,149925,158596,157628,158553,157628
9,137136,146945,146407,146917,146387
10,125800,134859,133646,134835,133646
11,117344,125792,125591,125767,125590
12,108964,118080,118209,118080,118187
13,100619,109852,111641,109856,111641
14,96583,105968,106096,105966,106081
15,90034,99502,98943,99487,98943
16,83858,92641,92039,92632,92039
17,81103,91048,88425,91045,88425
18,76974,86804,85734,86807,85734
19,73568,84330,83344,84327,83343
20,70526,79019,79748,79019,79734
21,68406,78321,77721,78324,77721
22,64734,73228,73218,73223,73207
23,62954,72447,72586,72437,72581
24,59959,70490,69847,70490,69847
25,57800,68339,67651,68344,67651
26,56183,66795,64304,66778,64304
27,54287,63716,64567,63716,64567
28,52985,60864,64623,60859,64623
29,50608,59047,58432,59048,58432
30,49496,61328,58078,61328,58069
31,48179,59302,56810,59301,56810
32,46731,58371,55252,58362,55251
33,45443,54902,54919,54898,54919
34,44556,54289,52267,54275,52267
35,43663,52263,52163,52255,52157
36,42444,52562,51076,52562,51076
37,41725,50205,50956,50200,50952
38,40037,49242,49861,49242,49857
39,39247,48600,48373,48603,48373
40,38584,48501,48931,48499,48931
41,37208,47964,45785,47959,45785
42,36633,45915,45426,45915,45426
43,36452,45178,45144,45179,45144
44,35403,43104,45002,43106,45000
45,34996,46076,44712,46073,44712
46,34076,43048,44840,43045,44840
47,33386,44215,42441,44216,42441
48,33293,42924,41844,42924,41844
49,32869,42575,43376,42575,43373
50,31553,40317,39006,40317,39006
51,31034,39926,41547,39924,41542
52,30232,40226,38739,40226,38737
53,29827,39193,38863,39191,38862
54,29545,40962,40217,40959,40217
55,29310,37632,36926,37634,36926
56,29059,37754,39283,37749,39283
57,28491,38467,39552,38463,39552
58,28085,37990,37877,37990,37877
59,27803,37877,36324,37873,36321
60,26924,37217,35982,37217,35982
61,26840,36836,36164,36836,36164
62,26586,36980,37088,36981,37085
63,25924,34497,36202,34497,36200
64,25609,34303,35113,34304,35111
65,25378,35440,35089,35442,35089
66,25249,34756,34615,34757,34615
67,24624,35416,34244,35415,34244
68,23944,32667,32242,32668,32242
69,23909,33297,33826,33296,33826
70,23602,31099,33193,31095,33189
71,23524,32235,33159,32234,33159
72,23508,31507,32293,31508,32290
73,22677,32394,31360,32393,31360
74,22269,30080,31794,30078,31794
75,22201,29943,31249,29946,31249
76,22024,31579,30539,31573,30539
77,21836,31268,30596,31262,30595
78,21374,30520,29207,30520,29205
79,21260,29613,31130,29613,31130
80,20909,29099,30029,29100,30029
81,20661,31242,28497,31240,28496
82,20269,29093,29429,29093,29428
83,20006,28550,28550,28550,28550
84,19950,29686,28410,29685,28408
85,19608,29212,31034,29210,31031
86,19379,30464,29042,30463,29042
87,19311,28148,28128,28146,28126
88,19135,26795,26475,26791,26475
89,18994,28443,28185,28445,28185
90,18843,29802,27880,29802,27880
91,18602,27850,28654,27850,28654
92,18553,27914,27420,27914,27419
93,18510,25508,27203,25508,27203
94,18334,28084,26966,28085,26964
95,17984,27651,25853,27654,25853
96,17875,27870,27569,27865,27569
97,17655,26383,27181,26382,27181
98,17347,25845,26411,25845,26411
99,17200,25800,26467,25801,26465
