,Real,4 Thread,4 Thread Barrier,8 Thread,8 Thread Barrier
0,1096022,1105661,1105065,1103721,1104506
1,589382,598994,597448,598396,597441
2,407986,416223,416680,416218,416507
3,314909,324689,324571,324511,324393
4,257614,268138,268187,268137,268186
5,218103,228634,226749,228633,226659
6,189965,199551,197997,199557,197931
7,169198,177632,178584,177573,178518
8,151885,160476,160470,160451,160470
9,136616,146259,145862,146234,145862
10,126227,136054,135042,136055,135018
11,117475,125796,127895,125768,127863
12,108303,116906,118102,116873,118102
13,101129,109268,110033,109242,110000
14,95905,104472,105424,104455,105409
15,90038,99911,98498,99886,98498
16,85896,94666,95010,94666,94988
17,81367,90530,90127,90528,90112
18,76707,85179,84558,85179,84558
19,72586,81056,82514,81056,82513
20,70472,80410,78271,80410,78271
21,67302,76828,77161,76819,77161
22,64373,74086,74091,74075,74081
23,62092,71514,71470,71517,71456
24,59890,69910,69411,69897,69411
25,57888,66843,67819,66846,67819
26,56974,68652,65270,68652,65270
27,54797,63549,63964,63541,63953
28,52991,62025,62856,62022,62853
29,51588,61483,61046,61481,61046
30,50175,59444,57869,59443,57862
31,47821,56479,57043,56471,57034
32,47597,57397,57409,57401,57408
33,45685,54163,54594,54163,54594
34,44821,52625,54302,52622,54298
35,42624,52042,51845,52041,51843
36,41759,50094,52937,50084,52930
37,41469,51023,50342,51022,50342
38,40274,49480,48727,49476,48727
39,39132,49372,48482,49372,48481
40,38334,46583,48180,46586,48174
41,38257,45432,47963,45426,47963
42,36959,45428,46081,45429,46077
43,36442,45755,46293,45755,46289
44,35847,45653,45085,45649,45085
45,35315,43463,43456,43466,43454
46,34441,43037,41707,43033,41707
47,33400,41334,42892,41334,42889
48,32901,42152,40496,42152,40496
49,32087,39885,40269,39874,40268
50,31816,39661,41328,39661,41325
51,31528,39346,40007,39350,40007
52,30667,39889,41203,39892,41199
53,30188,39962,39126,39964,39126
54,30065,39003,38795,39005,38792
55,29418,38740,39567,38742,39567
56,29010,37235,37867,37234,37865
57,28042,35461,36924,35461,36924
58,27731,38079,36291,38074,36289
59,27399,38067,35906,38067,35901
60,26930,35542,36159,35544,36159
61,26820,37680,35695,37677,35693
62,26303,34113,34644,34109,34641
63,26257,35040,36191,35039,36190
64,25568,34920,33390,34920,33390
65,25334,34866,35406,34869,35404
66,24510,34584,33198,34582,33198
67,24376,34004,32330,34000,32326
68,24367,32101,36252,32097,36252
69,24171,32390,33833,32390,33833
70,24137,32770,32485,32770,32485
71,23165,32260,32202,32259,32202
72,23079,33389,30922,33388,30922
73,22822,31274,31750,31274,31748
74,22301,31458,32420,31457,32419
75,22267,31277,32126,31277,32126
76,21555,31342,29645,31341,29641
77,21533,31458,31450,31458,31450
78,21510,33820,30168,33819,30168
79,21442,28702,29383,28701,29383
80,20918,29453,30172,29452,30171
81,20615,29477,29309,29477,29309
82,20183,29273,29032,29271,29029
83,20140,28314,29422,28316,29422
84,19868,28544,29880,28543,29879
85,19785,29133,28096,29130,28096
86,19716,27932,28163,27928,28161
87,19689,29209,28477,29208,28477
88,19158,27265,27316,27265,27315
89,18992,28711,28000,28711,27999
90,18935,28289,29205,28288,29204
91,18714,28086,26206,28088,26204
92,18624,27671,29166,27672,29166
93,18108,27429,26792,27428,26792
94,18072,29277,28336,29280,28335
95,18032,27906,26640,27904,26640
96,17828,25708,26524,25707,26524
97,17817,25922,28432,25921,28431
98,17567,27434,26907,27430,26902
99,17267,26564,26876,26562,26876
