,Real,4 Thread,4 Thread Barrier,8 Thread,8 Thread Barrier
0,1092996,1218585,1189057,1216077,1186466
1,586291,711200,697120,711186,697113
2,406724,516005,512608,515546,512163
3,315118,427753,425111,427427,425109
4,257734,366380,387856,366376,387854
5,219504,328145,330260,327958,330259
6,189565,291316,292363,291157,292361
7,169452,278616,281236,278476,281236
8,150461,265120,260265,265111,260153
9,137687,267976,258691,267977,258553
10,126602,247062,238770,246964,238659
11,118175,236664,229460,236665,229364
12,108790,224175,214694,224089,214617
13,102084,209217,213186,209209,213099
14,95848,205717,208431,205722,208352
15,89503,201951,197231,201872,197230
16,85296,186282,192656,186296,192588
17,81716,192330,193361,192259,193283
18,77136,197829,197359,197784,197280
19,73570,171833,188162,171793,188097
20,70012,181915,175512,181914,175512
21,67290,179916,171433,179870,171433
22,65020,184785,168531,184730,168531
23,62732,172618,179794,172615,179792
24,60719,170724,180163,170723,180163
25,58255,174319,161944,174277,161907
26,55899,157753,164262,157718,164213
27,53823,174021,152592,173956,152553
28,52983,175356,170225,175355,170224
29,51269,171343,173824,171351,173824
30,49535,171664,157369,171669,157368
31,48249,164862,162372,164822,162371
32,46489,154829,161620,154828,161576
33,46052,154098,162675,154093,162675
34,44290,163274,158256,163238,158203
35,43259,149786,148543,149787,148496
36,42532,156367,145725,156326,145725
37,41313,144144,159367,144110,159336
38,40126,163060,140598,163000,140598
39,39528,158527,143375,158517,143375
40,38292,149223,151471,149182,151427
41,38231,147777,163178,147793,163178
42,37713,147955,151814,147954,151775
43,35827,137784,150095,137754,150095
44,35450,158459,144332,158429,144330
45,34672,155688,162648,155687,162621
46,34572,139007,142215,138974,142174
47,33208,153905,132939,153911,132939
48,32966,143325,145234,143322,145187
49,32681,157755,148412,157728,148381
50,31657,146693,145800,146690,145800
51,31503,148632,133018,148587,133018
52,30727,149044,154714,149042,154664
53,30271,148551,144733,148551,144733
54,29655,135016,134311,134989,134282
55,29303,137819,150559,137818,150559
56,28700,138028,135085,138028,135054
57,28265,142329,128474,142319,128440
58,27683,138360,132894,138322,132862
59,27602,138798,151964,138798,151962
60,27202,151981,131749,151985,131723
61,26582,134923,137745,134884,137713
62,26314,137773,135112,137737,135112
63,26256,121842,147828,121811,147793
64,25668,132985,138327,132985,138327
65,25224,139357,128460,139349,128423
66,24748,127677,138951,127662,138919
67,24259,136681,127629,136680,127600
68,24204,131716,128571,131711,128571
69,24003,131530,130052,131503,130030
70,23444,135405,136307,135405,136307
71,22992,142000,134864,142004,134812
72,22991,142421,129835,142418,129835
73,22684,120676,130810,120673,130784
74,22335,143749,150045,143751,150045
75,21806,145038,127375,144993,127354
76,21776,128401,132469,128401,132427
77,21586,126943,137108,126941,137108
78,21514,136096,128841,136062,128841
79,21330,135931,139515,135931,139515
80,20890,141058,139947,141058,139947
81,20736,140455,132691,140422,132660
82,20399,128167,132642,128162,132614
83,20372,124492,136089,124470,136089
84,20083,120338,136597,120320,136562
85,19936,131726,134580,131697,134580
86,19861,124863,143273,124844,143231
87,19351,134786,121637,134742,121637
88,19286,126379,144271,126378,144271
89,19148,136420,134239,136415,134208
90,19010,142122,138110,142088,138109
91,18578,123633,127285,123602,127250
92,18454,127845,129107,127845,129107
93,18376,124599,140905,124573,140905
94,18332,127238,131569,127214,131545
95,18175,120624,122823,120604,122799
96,18017,129619,127669,129588,127641
97,17544,117568,134855,117541,134855
98,17468,129203,113880,129206,113857
99,17349,137036,131302,136992,131271
