,Real,4 Thread,4 Thread Barrier,8 Thread,8 Thread Barrier
0,1094948,1208809,1207142,1206473,1204344
1,585650,703084,701225,702312,701217
2,408616,525730,522792,525725,522310
3,314966,432639,423138,432350,422801
4,258150,366666,370017,366425,370014
5,217848,327090,327064,327089,326875
6,191519,305387,300716,305254,300538
7,166943,271908,286200,271907,286200
8,151289,258688,258867,258596,258741
9,136923,249992,241787,249890,241681
10,125994,238165,239209,238074,239109
11,116703,234616,227558,234616,227556
12,108304,216018,236018,215937,235916
13,100507,211720,209774,211658,209694
14,95724,213365,205099,213278,205011
15,89870,209147,190440,209083,190439
16,85649,201571,193752,201571,193696
17,81266,191639,185993,191638,185992
18,76702,187336,182010,187335,182010
19,73573,176695,185678,176694,185604
20,69875,190579,183501,190518,183441
21,67598,166448,185263,166448,185202
22,64900,170006,157478,170006,157436
23,62142,171259,169644,171259,169644
24,59527,170457,173217,170457,173168
25,58360,167681,166955,167650,166955
26,56533,165824,170347,165825,170270
27,54816,172408,167371,172344,167329
28,52418,164648,169457,164648,169457
29,50983,152184,160660,152138,160660
30,49662,152952,166549,152922,166548
31,48660,149717,159138,149672,159090
32,47040,151666,168825,151620,168824
33,45592,165700,158418,165656,158371
34,44558,163634,153712,163590,153711
35,43197,148467,160601,148429,160601
36,42803,160575,152362,160522,152321
37,40717,164655,154201,164650,154164
38,40548,149369,144286,149369,144248
39,39293,139691,154285,139659,154246
40,39133,159639,156377,159639,156334
41,38155,160962,142053,160929,142017
42,37151,146136,145624,146103,145624
43,36415,154545,141258,154544,141203
44,35132,151224,155870,151223,155836
45,34805,131571,145965,131533,145965
46,33928,142243,139791,142208,139753
47,33007,163264,158002,163214,157952
48,32738,132640,143923,132639,143876
49,32048,147189,141762,147188,141762
50,31524,142666,141947,142642,141947
51,30977,138453,147208,138420,147208
52,30564,147263,135156,147263,135134
53,29857,139399,143034,139362,143033
54,29719,142143,143387,142113,143387
55,28696,143948,137592,143909,137550
56,28544,154154,140858,154153,140831
57,28422,128942,148908,128913,148908
58,27615,137115,136841,137114,136841
59,27232,138326,139404,138306,139404
60,27133,139753,136640,139752,136609
61,26349,132247,131715,132247,131680
62,26154,139636,136404,139599,136371
63,25759,140338,131012,140300,130985
64,25451,136274,134745,136243,134744
65,25161,140971,143158,140971,143156
66,24950,150684,146506,150645,146464
67,24214,130547,135747,130546,135722
68,23875,137823,138135,137798,138102
69,23867,124825,121571,124802,121571
70,23396,127240,131297,127220,131297
71,23225,130541,131193,130541,131193
72,22817,138583,139001,138583,139001
73,22694,131546,138521,131546,138481
74,22559,136205,129483,136205,129456
75,22096,123045,140017,123047,139980
76,22095,128995,126716,128971,126716
77,21739,146779,128258,146778,128258
78,21438,128766,136909,128746,136873
79,21355,133588,136443,133588,136411
80,21268,141708,123753,141708,123753
81,20793,129708,127013,129708,127013
82,20573,135955,126443,135957,126443
83,20166,143430,123619,143397,123619
84,20062,135888,137863,135888,137863
85,19978,131113,131061,131089,131028
86,19790,124674,130532,124672,130532
87,19198,126449,130219,126451,130219
88,19082,136967,129641,136967,129641
89,18900,125421,131675,125409,131641
90,18880,133394,134137,133370,134137
91,18634,130354,134929,130321,134897
92,18488,129261,148510,129232,148459
93,18478,134858,127147,134858,127121
94,18404,127746,131722,127745,131722
95,17807,123569,138562,123569,138562
96,17654,132518,138810,132483,138781
97,17652,127315,124886,127304,124855
98,17390,129982,142579,129960,142538
99,17360,125513,122812,125510,122784
