TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
AFFINITY W/ BATCH,,,,,,,,,
TIME,,,,,,,,,
1,21.7876,12.1597,6.23171,3.92119,,21.78862,12.17062,6.22959,3.923938
2,21.792,12.1716,6.23191,3.89838,,,,,
3,21.756,12.1665,6.22296,3.94059,,,,,
4,21.7788,12.1658,6.22204,3.9222,,,,,
5,21.8287,12.1895,6.23933,3.93733,,,,,
HASH TIME,,,,,,,,,
1,1.28722,0.664616,0.342689,0.277907,,,,,
2,1.28296,0.664222,0.342363,0.275905,,,,,
3,1.28485,0.663562,0.341594,0.280349,,,,,
4,1.28195,0.660576,0.34204,0.277751,,,,,
5,1.28606,0.665218,0.341857,0.27778,,,,,
WRITE TIME,,,,,,,,,
1,20.3228,11.3963,5.82444,3.60975,,,,,
2,20.333,11.4093,5.82513,3.59071,,,,,
3,20.2949,11.4049,5.81601,3.62991,,,,,
4,20.3205,11.4067,5.81445,3.61317,,,,,
5,20.367,11.4261,5.8325,3.62816,,,,,
ERROR,,,,,,,,,
1,1.25493,1.25493,1.25493,1.25479,,,,,
2,1.26952,1.26952,1.26952,1.26938,,,,,
3,1.31846,1.31846,1.31846,1.31829,,,,,
4,1.25385,1.25404,1.25385,1.25371,,,,,
5,1.26333,1.26334,1.26333,1.26323,,,,,
THROUGHPUT,,,,,,,,,
1,1.54E+06,2.76E+06,5.38E+06,8.56E+06,,,,,
2,1.54E+06,2.76E+06,5.38E+06,8.61E+06,,,,,
3,1.54E+06,2.76E+06,5.39E+06,8.52E+06,,,,,
4,1.54E+06,2.76E+06,5.39E+06,8.56E+06,,,,,
5,1.54E+06,2.75E+06,5.38E+06,8.52E+06,,,,,
AFFINITY W/BATCH&PADDING,,,,,,,,,
TIME,,,,,,,,,
1,21.8543,12.1833,6.26453,3.91779,,21.84904,12.19648,6.255134,3.934796
2,21.8586,12.196,6.25089,3.93328,,,,,
3,21.8617,12.2148,6.25913,3.93009,,,,,
4,21.8633,12.1986,6.26344,3.95567,,,,,
5,21.8073,12.1897,6.23768,3.93715,,,,,
HASH TIME,,,,,,,,,
1,1.28381,0.660739,0.341835,0.27368,,,,,
2,1.28885,0.6656,0.340847,0.275736,,,,,
3,1.2789,0.662471,0.340837,0.27411,,,,,
4,1.28237,0.658931,0.340886,0.276704,,,,,
5,1.27653,0.660617,0.339947,0.274979,,,,,
WRITE TIME,,,,,,,,,
1,20.3704,11.405,5.84216,3.57339,,,,,
2,20.3686,11.4112,5.83054,3.58715,,,,,
3,20.3816,11.4326,5.83668,3.58504,,,,,
4,20.38,11.421,5.84229,3.60835,,,,,
5,20.3304,11.411,5.8182,3.59032,,,,,
ERROR,,,,,,,,,
1,1.26553,1.26553,1.26553,1.26544,,,,,
2,1.20985,1.20985,1.20985,1.20973,,,,,
3,1.22934,1.22934,1.22934,1.22921,,,,,
4,1.28321,1.28321,1.28321,1.28309,,,,,
5,1.25522,1.25522,1.25522,1.25509,,,,,
THROUGHPUT,,,,,,,,,
1,1.54E+06,2.75E+06,5.36E+06,8.56E+06,,,,,
2,1.54E+06,2.75E+06,5.37E+06,8.53E+06,,,,,
3,1.53E+06,2.75E+06,5.36E+06,8.54E+06,,,,,
4,1.53E+06,2.75E+06,5.36E+06,8.48E+06,,,,,
5,1.54E+06,2.75E+06,5.38E+06,8.52E+06,,,,,
COLSIZE:,0.001,,,,,,,,
AFFINITY W/ BATCH,,,,,,,,,
TIME,,,,,,,,,
1,20.4848,11.1249,5.68384,3.70839,,20.5009,11.12632,5.69209,3.726112
2,20.4994,11.1226,5.69128,3.73119,,,,,
3,20.5017,11.1215,5.68766,3.72599,,,,,
4,20.5173,11.128,5.70883,3.72483,,,,,
5,20.5013,11.1346,5.68884,3.74016,,,,,
HASH TIME,,,,,,,,,
1,1.28717,0.663183,0.341047,0.275909,,,,,
2,1.28837,0.661746,0.341495,0.277848,,,,,
3,1.28593,0.66615,0.339614,0.276435,,,,,
4,1.28882,0.663136,0.341533,0.275126,,,,,
5,1.28913,0.664043,0.34042,0.278688,,,,,
WRITE TIME,,,,,,,,,
1,19.0206,10.3623,5.27741,3.40172,,,,,
2,19.0345,10.362,5.28517,3.42228,,,,,
3,19.0394,10.3586,5.28369,3.41629,,,,,
4,19.0521,10.3665,5.30214,3.41832,,,,,
5,19.0356,10.3717,5.28409,3.43051,,,,,
ERROR,,,,,,,,,
1,0.0846531,0.0846518,0.0846531,0.0846232,,,,,
2,0.0871348,0.0871316,0.0871348,0.086982,,,,,
3,0.087551,0.0875472,0.087551,0.0875226,,,,,
4,0.0826475,0.0826445,0.0826475,0.0826208,,,,,
5,0.0854578,0.0854527,0.0854578,0.0854117,,,,,
THROUGHPUT,,,,,,,,,
1,1.64E+06,3.02E+06,5.90E+06,9.05E+06,,,,,
2,1.64E+06,3.02E+06,5.90E+06,8.99E+06,,,,,
3,1.64E+06,3.02E+06,5.90E+06,9.01E+06,,,,,
4,1.64E+06,3.02E+06,5.88E+06,9.01E+06,,,,,
5,1.64E+06,3.01E+06,5.90E+06,8.97E+06,,,,,
AFFINITY W/BATCH&PADDING,,,,,,,,,
TIME,,,,,,,,,
1,20.5272,11.1481,5.70322,3.74949,,,,,
2,20.5378,11.1386,5.7077,3.74984,,,,,
3,20.4881,11.1193,5.68824,3.72134,,,,,
4,20.5389,11.1479,5.7101,3.72636,,,,,
5,20.7425,11.3016,5.80897,3.77413,,,,,
HASH TIME,,,,,,,,,
1,1.28482,0.661215,0.339625,0.276918,,,,,
2,1.28947,0.664502,0.33904,0.276397,,,,,
3,1.28672,0.664582,0.339851,0.273743,,,,,
4,1.28765,0.659756,0.339033,0.273167,,,,,
5,1.47372,0.801414,0.440442,0.330159,,,,,
WRITE TIME,,,,,,,,,
1,19.0416,10.3683,5.2835,3.40118,,,,,
2,19.0468,10.3561,5.28805,3.4029,,,,,
3,19.0018,10.335,5.26777,3.3761,,,,,
4,19.0494,10.3687,5.2911,3.38104,,,,,
5,19.0686,10.3811,5.28771,3.36936,,,,,
ERROR,,,,,,,,,
1,0.0862277,0.0862277,0.0862277,0.0862055,,,,,
2,0.0885215,0.0885215,0.0885215,0.0885013,,,,,
3,0.0869866,0.0869866,0.0869866,0.0869568,,,,,
4,0.0857373,0.0857373,0.0857373,0.0857106,,,,,
5,0.084953,0.084953,0.084953,0.0849184,,,,,
THROUGHPUT,,,,,,,,,
1,1.63E+06,3.01E+06,5.88E+06,8.95E+06,,,,,
2,1.63E+06,3.01E+06,5.88E+06,8.95E+06,,,,,
3,1.64E+06,3.02E+06,5.90E+06,9.02E+06,,,,,
4,1.63E+06,3.01E+06,5.88E+06,9.00E+06,,,,,
5,1.62E+06,2.97E+06,5.78E+06,8.89E+06,,,,,
COLSIZE:,0.0001,,,,,,,,
AFFINITY W/ BATCH,,,,,,,,,
TIME,,,,,,,,,
1,18.6165,10.069,5.17951,3.85264,,18.54744,9.977268,5.115238,3.826826
2,18.581,9.95175,5.09362,3.82249,,,,,
3,18.4728,9.94209,5.10462,3.82989,,,,,
4,18.6016,9.98447,5.09343,3.81262,,,,,
5,18.4653,9.93903,5.10501,3.81649,,,,,
HASH TIME,,,,,,,,,
1,1.50298,0.828125,0.450079,0.335458,,,,,
2,1.4205,0.73028,0.375996,0.30268,,,,,
3,1.28853,0.664462,0.343295,0.275645,,,,,
4,1.41934,0.733549,0.377312,0.302801,,,,,
5,1.29043,0.664245,0.342854,0.276883,,,,,
WRITE TIME,,,,,,,,,
1,16.9345,9.14514,4.66538,3.48967,,,,,
2,16.9836,9.1939,4.69251,3.51142,,,,,
3,17.0071,9.1814,4.69686,3.51957,,,,,
4,17.0053,9.22343,4.69163,3.50084,,,,,
5,16.9979,9.17946,4.69767,3.50671,,,,,
ERROR,,,,,,,,,
1,0.00441884,0.00441571,0.00441884,0.004471,,,,,
2,0.00440274,0.00440181,0.00440274,0.00442052,,,,,
3,0.0048553,0.00485397,0.0048553,0.00485035,,,,,
4,0.00429979,0.0042992,0.00429979,0.00431976,,,,,
5,0.00432904,0.00432818,0.00432904,0.00435545,,,,,
THROUGHPUT,,,,,,,,,
