TAKE,1THR,2THR,4THR,8THR,16THR
 
COLSIZE:,0.01
NAIVE
TIME
1,2.92535,1.49149,0.756275,0.455036,
2,2.86153,1.43901,0.723213,0.440161,
3,2.85001,1.44275,0.723669,0.425323,
4,2.81613,1.64159,0.771598,0.429123,
5,3.94238,1.96265,0.983016,0.512385,
ERROR
1,1.10422,1.10422,1.10422,1.10422,
2,1.11059,1.11059,1.11059,1.11059,
3,1.13387,1.13387,1.13387,1.13387,
4,1.12025,1.12025,1.12025,1.12025,
5,1.1127,1.1127,1.1127,1.1127,
THROUGHPUT
1,1.43378e+06,2.81216e+06,5.54601e+06,9.21751e+06,
2,1.46576e+06,2.91472e+06,5.79955e+06,9.52902e+06,
3,1.47168e+06,2.90716e+06,5.79589e+06,9.86146e+06,
4,1.48938e+06,2.55503e+06,5.43587e+06,9.77414e+06,
5,1.0639e+06,2.13706e+06,4.26677e+06,8.18584e+06,
MERGED
TIME
1,2.73644,1.57482,0.732305,0.395537,
2,2.75344,1.57578,0.731177,0.394939,
3,2.73091,1.57698,0.732221,0.395058,
4,2.72761,1.36283,0.68353,0.418112,
5,3.73764,1.85784,0.929984,0.465313,
ERROR
1,1.10422,1.10422,1.10422,1.10422,
2,1.11059,1.11059,1.11059,1.11059,
3,1.13387,1.13387,1.13387,1.13387,
4,1.12025,1.12025,1.12025,1.12025,
5,1.1127,1.1127,1.1127,1.1127,
THROUGHPUT
1,1.53276e+06,2.66336e+06,5.72754e+06,1.06041e+07,
2,1.5233e+06,2.66174e+06,5.73637e+06,1.06201e+07,
3,1.53587e+06,2.6597e+06,5.72819e+06,1.06169e+07,
4,1.53772e+06,3.07763e+06,6.13624e+06,1.00315e+07,
5,1.12218e+06,2.25763e+06,4.51008e+06,9.01394e+06,
COLSIZE:,0.001
NAIVE
TIME
1,2.66192,1.6044,0.730859,0.405368,
2,2.6552,1.60179,0.684649,0.409345,
3,2.77148,1.62826,0.71776,0.421226,
4,3.93216,1.95291,0.976396,0.413366,
5,2.66769,1.35732,0.679033,0.40761,
ERROR
1,0.0674563,0.0674563,0.0674563,0.0674563,
2,0.0671414,0.0671414,0.0671414,0.0671414,
3,0.0668939,0.0668939,0.0668939,0.0668939,
4,0.0658059,0.0658059,0.0658059,0.0658059,
5,0.0642808,0.0642808,0.0642808,0.0642808,
THROUGHPUT
1,1.57567e+06,2.61426e+06,5.73887e+06,1.03469e+07,
2,1.57966e+06,2.61852e+06,6.12621e+06,1.02464e+07,
3,1.51338e+06,2.57595e+06,5.8436e+06,9.95738e+06,
4,1.06667e+06,2.14772e+06,4.2957e+06,1.01467e+07,
5,1.57226e+06,3.09013e+06,6.17687e+06,1.029e+07,
MERGED
TIME
1,2.51358,1.49617,0.68562,0.376331,
2,2.50081,1.49975,0.639097,0.38059,
3,2.51885,1.50577,0.690624,0.377268,
4,3.6889,1.83334,0.693348,0.38125,
5,2.52341,1.50104,0.686723,0.377191,
ERROR
1,0.0674563,0.0674563,0.0674563,0.0674563,
2,0.0671414,0.0671414,0.0671414,0.0671414,
3,0.0668939,0.0668939,0.0668939,0.0668939,
4,0.0658059,0.0658059,0.0658059,0.0658059,
5,0.0642808,0.0642808,0.0642808,0.0642808,
THROUGHPUT
1,1.66866e+06,2.80336e+06,6.11753e+06,1.11452e+07,
2,1.67718e+06,2.79666e+06,6.56286e+06,1.10205e+07,
3,1.66517e+06,2.78549e+06,6.07321e+06,1.11176e+07,
4,1.13701e+06,2.28779e+06,6.04935e+06,1.10015e+07,
5,1.66216e+06,2.79427e+06,6.10771e+06,1.11198e+07,
COLSIZE:,0.0001
NAIVE
TIME
1,4.84133,3.06038,0.816804,0.662542,
2,2.40995,1.61108,0.745912,0.488337,
3,2.54799,1.35112,0.798944,0.509596,
4,2.62032,1.4069,0.842835,0.524991,
5,2.57604,1.64199,0.788157,0.516662,
ERROR
1,0.00283033,0.00283033,0.00283033,0.00283033,
2,0.00266213,0.00266213,0.00266213,0.00266213,
3,0.00249191,0.00249191,0.00249191,0.00249191,
4,0.00250394,0.00250394,0.00250394,0.00250394,
5,0.00271947,0.00271947,0.00271947,0.00271947,
THROUGHPUT
1,866354,1.37052e+06,5.13502e+06,6.33062e+06,
2,1.74041e+06,2.60341e+06,5.62306e+06,8.58895e+06,
3,1.64612e+06,3.10432e+06,5.24981e+06,8.23064e+06,
4,1.60069e+06,2.98123e+06,4.97642e+06,7.98928e+06,
5,1.6282e+06,2.5544e+06,5.32166e+06,8.11808e+06,
MERGED
TIME
1,4.49724,2.09107,1.03139,0.47919,
2,2.37765,1.52328,0.751181,0.492629,
3,2.32684,1.51129,0.716634,0.472841,
4,2.33358,1.52116,0.738369,0.476144,
5,2.32083,1.50975,0.729461,0.475498,
ERROR
1,0.00283033,0.00283033,0.00283033,0.00283033,
2,0.00266213,0.00266213,0.00266213,0.00266213,
3,0.00249191,0.00249191,0.00249191,0.00249191,
4,0.00250394,0.00250394,0.00250394,0.00250394,
5,0.00271947,0.00271947,0.00271947,0.00271947,
THROUGHPUT
1,932639,2.00582e+06,4.06663e+06,8.7529e+06,
2,1.76405e+06,2.75347e+06,5.58361e+06,8.51413e+06,
3,1.80258e+06,2.77531e+06,5.85279e+06,8.87043e+06,
4,1.79737e+06,2.7573e+06,5.6805e+06,8.8089e+06,
5,1.80724e+06,2.77814e+06,5.74987e+06,8.82086e+06,
COLSIZE:,0.00001
NAIVE
TIME
1,3.83553,2.08459,1.14328,0.671739,
2,3.80506,2.14618,1.19913,0.673787,
3,3.85492,2.11586,1.19708,0.659591,
4,3.82657,2.12364,1.14165,0.679053,
5,3.7874,2.15912,1.19014,0.676433,
ERROR
1,3.51177e-05,3.51177e-05,3.51177e-05,3.51177e-05,
2,3.64511e-06,3.64511e-06,3.64511e-06,3.64511e-06,
3,0,0,0,0,
4,1.27845e-05,1.27845e-05,1.27845e-05,1.27845e-05,
5,6.17932e-06,6.17932e-06,6.17932e-06,6.17932e-06,
THROUGHPUT
1,1.09354e+06,2.01205e+06,3.66866e+06,6.24395e+06,
2,1.1023e+06,1.95431e+06,3.4978e+06,6.22497e+06,
3,1.08804e+06,1.98231e+06,3.50379e+06,6.35895e+06,
4,1.0961e+06,1.97506e+06,3.6739e+06,6.1767e+06,
5,1.10744e+06,1.9426e+06,3.5242e+06,6.20062e+06,
MERGED
TIME
1,3.65985,2.01594,1.15745,0.642113,
2,3.71505,2.03579,1.10791,0.647261,
3,3.70558,2.0275,1.16696,0.646092,
4,3.67319,2.01721,1.16564,0.640223,
5,3.65673,2.03926,1.14083,0.648344,
ERROR
1,3.51177e-05,3.51177e-05,3.51177e-05,3.51177e-05,
2,3.64511e-06,3.64511e-06,3.64511e-06,3.64511e-06,
3,0,0,0,0,
4,1.27845e-05,1.27845e-05,1.27845e-05,1.27845e-05,
5,6.17932e-06,6.17932e-06,6.17932e-06,6.17932e-06,
THROUGHPUT
1,1.14603e+06,2.08057e+06,3.62374e+06,6.53203e+06,
2,1.129e+06,2.06029e+06,3.78577e+06,6.48008e+06,
3,1.13189e+06,2.0687e+06,3.59422e+06,6.49181e+06,
4,1.14187e+06,2.07926e+06,3.59828e+06,6.55132e+06,
5,1.14701e+06,2.05678e+06,3.67654e+06,6.46926e+06,
