TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.6615,12.0824,6.14748,3.88426,,21.64504,12.09666,6.16294,3.888562
2,21.6375,12.0833,6.16497,3.88461,,,,,
3,21.6593,12.1096,6.17612,3.89399,,,,,
4,21.6109,12.0859,6.1527,3.89135,,,,,
5,21.656,12.1221,6.17343,3.8886,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1574,0.60499,0.3131,0.25723,,1.15696,0.603796,0.313042,0.256942
2,1.1528,0.60193,0.31288,0.25622,,,,,
3,1.1591,0.6,0.31327,0.25775,,,,,
4,1.1592,0.60909,0.31337,0.2577,,,,,
5,1.1563,0.60297,0.31259,0.25581,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3255,11.3788,5.76822,3.5878,,20.30938,11.39298,5.783622,3.59165
2,20.3062,11.3823,5.78571,3.58745,,,,,
3,20.3211,11.4071,5.79653,3.59611,,,,,
4,20.273,11.3783,5.77358,3.59542,,,,,
5,20.3211,11.4184,5.79407,3.59147,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.55E+06,2.78E+06,5.46E+06,8.64E+06,,,,,
2,1.55E+06,2.78E+06,5.44E+06,8.64E+06,,,,,
3,1.55E+06,2.77E+06,5.43E+06,8.62E+06,,,,,
4,1.55E+06,2.78E+06,5.45E+06,8.62E+06,,,,,
5,1.55E+06,2.77E+06,5.44E+06,8.63E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2512,0.2512,0.2512,0.2511,,,,,
2,0.3113,0.3113,0.3113,0.3112,,,,,
3,0.2981,0.2981,0.2981,0.298,,,,,
4,0.2977,0.2977,0.2977,0.2975,,,,,
5,0.2732,0.2732,0.2732,0.273,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.9134,12.2644,6.27893,3.92756,,21.7583,12.14878,6.208856,3.915588
2,21.7197,12.1209,6.19457,3.92683,,,,,
3,21.7431,12.1257,6.19695,3.89246,,,,,
4,21.7253,12.1309,6.19594,3.91935,,,,,
5,21.69,12.102,6.17789,3.91174,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.3821,0.77219,0.42889,0.30803,,1.19118,0.63761,0.335568,0.265998
2,1.1551,0.60196,0.31181,0.25724,,,,,
3,1.1,0.60435,0.31276,0.25319,,,,,
4,1.1597,0.60294,0.31144,0.25599,,,,,
5,1.159,0.60661,0.31294,0.25554,,,,,
HALF BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3281,11.3765,5.76816,3.54696,,20.35122,11.3954,5.791108,3.580126
2,20.3604,11.4012,5.79997,3.5989,,,,,
3,20.3789,11.4058,5.8025,3.57248,,,,,
4,20.3625,11.4126,5.80178,3.59424,,,,,
5,20.3262,11.3809,5.78313,3.58805,,,,,
HALF BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.53E+06,2.74E+06,5.34E+06,8.54E+06,,,,,
2,1.54E+06,2.77E+06,5.42E+06,8.54E+06,,,,,
3,1.54E+06,2.77E+06,5.41E+06,8.62E+06,,,,,
4,1.54E+06,2.77E+06,5.42E+06,8.56E+06,,,,,
5,1.55E+06,2.77E+06,5.43E+06,8.58E+06,,,,,
HALF BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2326,0.2326,0.2326,0.2325,,,,,
2,0.287,0.287,0.287,0.2876,,,,,
3,0.3033,0.3033,0.3033,0.3032,,,,,
4,0.2781,0.2781,0.2781,0.278,,,,,
5,0.2672,0.2672,0.2672,0.267,,,,,
FULL BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.7064,12.0754,6.15247,3.88317,,21.65956,12.0848,6.162376,3.895096
2,21.6591,12.0817,6.16836,3.91297,,,,,
3,21.6737,12.1109,6.17708,3.9035,,,,,
4,21.6299,12.0841,6.15775,3.88293,,,,,
5,21.6287,12.0719,6.15622,3.89291,,,,,
FULL BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.154,0.59675,0.31168,0.25187,,1.15302,0.600788,0.31239,0.254
2,1.1513,0.5989,0.3119,0.25524,,,,,
3,1.156,0.6075,0.3135,0.25611,,,,,
4,1.1545,0.60031,0.31287,0.25273,,,,,
5,1.1493,0.60048,0.312,0.25405,,,,,
FULL BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.374,11.3801,5.77398,3.58054,,20.32848,11.38566,5.782904,3.589396
2,20.3312,11.3839,5.78841,3.60277,,,,,
3,20.3387,11.405,5.79682,3.59535,,,,,
4,20.2974,11.386,5.77843,3.5803,,,,,
5,20.3011,11.3733,5.77688,3.58802,,,,,
FULL BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.55E+06,2.78E+06,5.45E+06,8.64E+06,,,,,
2,1.55E+06,2.78E+06,5.44E+06,8.58E+06,,,,,
3,1.55E+06,2.77E+06,5.43E+06,8.60E+06,,,,,
4,1.55E+06,2.78E+06,5.45E+06,8.64E+06,,,,,
5,1.55E+06,2.78E+06,5.45E+06,8.62E+06,,,,,
FULL BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2549,0.2549,0.2549,0.2547,,,,,
2,0.2343,0.2343,0.2343,0.2342,,,,,
3,0.316,0.316,0.316,0.3162,,,,,
4,0.3001,0.3001,0.3001,0.2999,,,,,
5,0.263,0.263,0.263,0.2633,,,,,
COLSIZE:,0.001,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.4068,11.0628,5.63584,3.70351,,20.41254,11.07118,5.64585,3.714646
2,20.4287,11.0901,5.65519,3.72852,,,,,
3,20.3828,11.0621,5.63252,3.69062,,,,,
4,20.4198,11.0702,5.66191,3.72402,,,,,
5,20.4246,11.0707,5.64379,3.72656,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1598,0.60465,0.31454,0.25729,,1.15888,0.603952,0.313202,0.256906
2,1.159,0.60133,0.3126,0.25867,,,,,
3,1.1586,0.60462,0.31339,0.25428,,,,,
4,1.1574,0.60434,0.31319,0.2575,,,,,
5,1.1596,0.60482,0.31229,0.25679,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.0684,10.3602,5.2554,3.40681,,19.07456,10.36794,5.266224,3.41795
2,19.0913,10.3884,5.2762,3.42889,,,,,
3,19.0461,10.3592,5.25276,3.39711,,,,,
4,19.081,10.3652,5.28187,3.4263,,,,,
5,19.086,10.3667,5.26489,3.43064,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.64E+06,3.03E+06,5.95E+06,9.06E+06,,,,,
2,1.64E+06,3.03E+06,5.93E+06,9.00E+06,,,,,
3,1.65E+06,3.03E+06,5.96E+06,9.09E+06,,,,,
4,1.64E+06,3.03E+06,5.93E+06,9.01E+06,,,,,
5,1.64E+06,3.03E+06,5.95E+06,9.00E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.087005,0.087001,0.087005,0.08697,,,,,
2,0.08513,0.085128,0.08513,0.085105,,,,,
3,0.081243,0.081269,0.081243,0.081218,,,,,
4,0.084682,0.084676,0.084682,0.08465,,,,,
5,0.085821,0.0858,0.085821,0.08579,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.677,11.2353,5.77122,3.75349,,20.53494,11.14376,5.703966,3.743498
2,20.6695,11.2586,5.77302,3.76727,,,,,
3,20.4796,11.0831,5.65682,3.74116,,,,,
4,20.4445,11.0794,5.66905,3.72367,,,,,
5,20.4041,11.0624,5.64972,3.7319,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.3869,0.77023,0.42857,0.30862,,1.25088,0.671158,0.358946,0.27628
2,1.3889,0.76956,0.42739,0.3086,,,,,
3,1.1758,0.60601,0.31498,0.25603,,,,,
4,1.1528,0.60459,0.31169,0.25426,,,,,
