TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,21.4674,12.0146,6.11111,4.46915,,21.50902,12.0139,6.119238,4.456932
2,21.541,12.0482,6.13228,4.45557,,,,,
3,21.5101,12.0165,6.11464,4.42239,,,,,
4,21.5116,11.9556,6.1057,4.49095,,,,,
5,21.515,12.0346,6.13246,4.4466,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0873,0.5777,0.29258,0.46221,,1.09114,0.576318,0.293118,0.461792
2,1.0904,0.57662,0.29344,0.46261,,,,,
3,1.0923,0.57415,0.29237,0.46284,,,,,
4,1.093,0.57625,0.29423,0.45807,,,,,
5,1.0927,0.57687,0.29297,0.46323,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.2517,11.3709,5.76943,4.27455,,20.28912,11.36932,5.777108,4.259378
2,20.3223,11.4048,5.78968,4.25163,,,,,
3,20.2884,11.3732,5.77294,4.22391,,,,,
4,20.2896,11.3084,5.76233,4.29454,,,,,
5,20.2936,11.3893,5.79116,4.25226,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.56E+06,2.79E+06,5.49E+06,7.51E+06,,,,,
2,1.56E+06,2.79E+06,5.47E+06,7.53E+06,,,,,
3,1.56E+06,2.79E+06,5.49E+06,7.59E+06,,,,,
4,1.56E+06,2.81E+06,5.50E+06,7.47E+06,,,,,
5,1.56E+06,2.79E+06,5.47E+06,7.55E+06,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.3194,0.3194,0.3194,0.3206,,,,,
2,0.2522,0.2522,0.2522,0.2522,,,,,
3,0.2232,0.2233,0.2232,0.2243,,,,,
4,0.2841,0.2841,0.2841,0.2848,,,,,
5,0.3023,0.3023,0.3023,0.3026,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.5583,12.0494,6.13721,4.49302,,21.56726,12.03174,6.13754,4.479686
2,21.5656,12.0433,6.13871,4.47951,,,,,
3,21.5987,12.0526,6.14447,4.46391,,,,,
4,21.5574,11.9622,6.11893,4.49225,,,,,
5,21.5563,12.0512,6.14838,4.46974,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0946,0.56994,0.29106,0.45634,,1.09546,0.569946,0.291008,0.459326
2,1.098,0.56958,0.29077,0.46281,,,,,
3,1.095,0.57101,0.29008,0.4617,,,,,
4,1.0935,0.5688,0.29138,0.453,,,,,
5,1.0962,0.5704,0.29175,0.46278,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3085,11.3895,5.78331,3.99164,,20.31738,11.37024,5.783914,3.975008
2,20.3145,11.3824,5.78492,3.97059,,,,,
3,20.3487,11.3901,5.7918,3.95664,,,,,
4,20.309,11.3009,5.76556,3.99551,,,,,
5,20.3062,11.3883,5.79398,3.96066,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.56E+06,2.78E+06,5.47E+06,7.47E+06,,,,,
2,1.56E+06,2.79E+06,5.47E+06,7.49E+06,,,,,
3,1.55E+06,2.78E+06,5.46E+06,7.52E+06,,,,,
4,1.56E+06,2.81E+06,5.48E+06,7.47E+06,,,,,
5,1.56E+06,2.78E+06,5.46E+06,7.51E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2493,0.2493,0.2493,0.2493,,,,,
2,0.2684,0.2684,0.2684,0.2684,,,,,
3,0.2572,0.2572,0.2572,0.2572,,,,,
4,0.2459,0.2459,0.2459,0.2459,,,,,
5,0.2503,0.2503,0.2503,0.2503,,,,,
COLSIZE:,0.001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,20.2072,11.0221,5.58744,4.33192,,20.18488,10.98632,5.58469,4.286084
2,20.1969,10.9819,5.60384,4.26234,,,,,
3,20.1978,10.9803,5.58588,4.30362,,,,,
4,20.1658,10.9737,5.58544,4.25161,,,,,
5,20.1567,10.9736,5.56085,4.28093,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0942,0.58414,0.2934,0.45961,,1.0946,0.578668,0.29306,0.458872
2,1.0975,0.57473,0.29321,0.45773,,,,,
3,1.096,0.58086,0.2938,0.46086,,,,,
4,1.0919,0.57716,0.29182,0.4591,,,,,
5,1.0934,0.57645,0.29307,0.45706,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,18.9839,10.3714,5.2459,4.12763,,18.9617,10.33922,5.243242,4.088378
2,18.9708,10.3382,5.26237,4.06669,,,,,
3,18.9737,10.3335,5.24385,4.10701,,,,,
4,18.9451,10.3257,5.24502,4.05812,,,,,
5,18.935,10.3273,5.21907,4.08244,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.66E+06,3.04E+06,6.01E+06,7.75E+06,,,,,
2,1.66E+06,3.06E+06,5.99E+06,7.87E+06,,,,,
3,1.66E+06,3.06E+06,6.01E+06,7.80E+06,,,,,
4,1.66E+06,3.06E+06,6.01E+06,7.89E+06,,,,,
5,1.66E+06,3.06E+06,6.03E+06,7.84E+06,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.084673,0.084671,0.084673,0.084648,,,,,
2,0.085901,0.085897,0.085901,0.085856,,,,,
3,0.085936,0.085934,0.085936,0.085889,,,,,
4,0.080804,0.0808,0.080804,0.080774,,,,,
5,0.087464,0.087499,0.087464,0.08749,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.2545,11.0103,5.59674,4.34681,,20.30582,11.0599,5.649264,4.310484
2,20.4232,11.1514,5.73805,4.30193,,,,,
3,20.1873,10.9779,5.58234,4.31758,,,,,
4,20.2259,11.0012,5.61151,4.28513,,,,,
5,20.4382,11.1587,5.71768,4.30097,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0939,0.57245,0.29254,0.46042,,1.17398,0.634956,0.335918,0.45549
2,1.2899,0.7245,0.40233,0.4517,,,,,
3,1.097,0.57932,0.29119,0.45689,,,,,
4,1.0989,0.5748,0.29131,0.45676,,,,,
5,1.2902,0.72371,0.40222,0.45168,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.005,10.3485,5.24189,3.83889,,18.97722,10.33466,5.249936,3.809368
2,18.9786,10.3352,5.27102,3.80465,,,,,
3,18.9363,10.3104,5.22767,3.81645,,,,,
4,18.9715,10.3372,5.25809,3.78214,,,,,
5,18.9947,10.342,5.25101,3.80471,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.66E+06,3.05E+06,6.00E+06,7.72E+06,,,,,
2,1.64E+06,3.01E+06,5.85E+06,7.80E+06,,,,,
3,1.66E+06,3.06E+06,6.01E+06,7.77E+06,,,,,
4,1.66E+06,3.05E+06,5.98E+06,7.83E+06,,,,,
5,1.64E+06,3.01E+06,5.87E+06,7.80E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.085246,0.085246,0.085246,0.085246,,,,,
2,0.084234,0.084234,0.084234,0.084234,,,,,
3,0.087597,0.087597,0.087597,0.087597,,,,,
4,0.082575,0.082575,0.082575,0.082575,,,,,
5,0.085725,0.085725,0.085725,0.085725,,,,,
COLSIZE:,0.0001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,18.1976,9.80426,5.00825,4.44822,,18.32992,9.906646,5.071784,4.476298
2,18.4267,9.98191,5.11681,4.47611,,,,,
3,18.4285,9.97576,5.11815,4.47795,,,,,
4,18.2065,9.80713,5.01475,4.48355,,,,,
5,18.3903,9.96417,5.10096,4.49566,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0886,0.57524,0.29291,0.4539,,1.22188,0.672966,0.358698,0.452324
2,1.3116,0.73755,0.40243,0.44835,,,,,
