TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,21.2113,11.8865,6.02981,4.45347,,21.13796,11.83694,6.004926,4.39789
2,21.2024,11.885,6.04103,4.41668,,,,,
3,20.928,11.6913,5.86673,4.29066,,,,,
4,21.1676,11.8536,6.04182,4.40967,,,,,
5,21.1805,11.8683,6.04524,4.41897,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0844,0.5647,0.28577,0.46018,,1.0833,0.55946,0.284906,0.465136
2,1.0824,0.56147,0.28355,0.46305,,,,,
3,1.0791,0.55795,0.28662,0.46564,,,,,
4,1.0791,0.5553,0.28436,0.46391,,,,,
5,1.0915,0.55788,0.28423,0.4729,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.9981,11.2535,5.69625,4.25817,,19.9261,11.21026,5.673328,4.202942
2,19.9917,11.2533,5.70966,4.22393,,,,,
3,19.7201,11.0666,5.53517,4.09511,,,,,
4,19.9598,11.232,5.71104,4.21452,,,,,
5,19.9608,11.2459,5.71452,4.22298,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.58E+06,2.82E+06,5.56E+06,7.53E+06,,,,,
2,1.58E+06,2.82E+06,5.55E+06,7.60E+06,,,,,
3,1.60E+06,2.87E+06,5.72E+06,7.82E+06,,,,,
4,1.59E+06,2.83E+06,5.55E+06,7.61E+06,,,,,
5,1.58E+06,2.83E+06,5.55E+06,7.59E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.39117,0.3911,0.39117,0.39111,,,,,
2,0.261,0.26103,0.261,0.261,,,,,
3,0.2709,0.2709,0.2709,0.27092,,,,,
4,0.29564,0.29567,0.29564,0.29569,,,,,
5,0.25158,0.2516,0.25158,0.25155,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,21.0901,11.8546,6.00926,4.42776,,21.25966,11.96708,6.102954,4.412186
2,21.2593,11.921,6.06801,4.44465,,,,,
3,21.1234,11.8603,6.02242,4.37164,,,,,
4,21.6466,12.2995,6.3597,4.38317,,,,,
5,21.1789,11.9,6.05538,4.43371,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0506,0.55008,0.2854,0.45958,,1.15654,0.64694,0.35897,0.461744
2,1.0409,0.55691,0.28715,0.4627,,,,,
3,1.0391,0.55001,0.28414,0.46356,,,,,
4,1.6098,1.0275,0.65533,0.45781,,,,,
5,1.0423,0.5502,0.28283,0.46507,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.9097,11.2412,5.67867,4.22992,,19.97506,11.2559,5.6986,4.186522
2,20.0918,11.301,5.73607,4.24863,,,,,
3,19.9563,11.2455,5.69177,4.17518,,,,,
4,19.9092,11.2057,5.6596,4.0403,,,,,
5,20.0083,11.2861,5.72689,4.23858,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.59E+06,2.83E+06,5.58E+06,7.58E+06,,,,,
2,1.58E+06,2.81E+06,5.53E+06,7.55E+06,,,,,
3,1.59E+06,2.83E+06,5.57E+06,7.68E+06,,,,,
4,1.55E+06,2.73E+06,5.28E+06,7.66E+06,,,,,
5,1.58E+06,2.82E+06,5.54E+06,7.57E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.28347,0.28347,0.28347,0.28364,,,,,
2,0.27003,0.27003,0.27003,0.27005,,,,,
3,0.25157,0.25157,0.25157,0.2516,,,,,
4,0.2768,0.2768,0.2768,0.27683,,,,,
5,0.22615,0.22615,0.22615,0.22615,,,,,
COLSIZE:,0.001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,19.5473,10.842,5.51092,4.2133,,19.61024,10.87502,5.525346,4.247836
2,19.6703,10.8933,5.54373,4.2203,,,,,
3,19.5627,10.8693,5.50816,4.26298,,,,,
4,19.6362,10.8837,5.53011,4.2534,,,,,
5,19.6347,10.8868,5.53381,4.2892,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0852,0.5614,0.28428,0.45966,,1.08696,0.55874,0.284404,0.461608
2,1.0903,0.56149,0.28356,0.463,,,,,
3,1.08,0.55723,0.2864,0.46346,,,,,
4,1.0877,0.55555,0.28435,0.46119,,,,,
5,1.0916,0.55803,0.28343,0.46073,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,18.3341,10.211,5.17879,4.01942,,18.39452,10.24756,5.19328,4.054184
2,18.452,10.2618,5.21245,4.02691,,,,,
3,18.3506,10.2462,5.17499,4.06806,,,,,
4,18.4208,10.2585,5.19749,4.05842,,,,,
5,18.4151,10.2603,5.20268,4.09811,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.72E+06,3.09E+06,6.09E+06,7.96E+06,,,,,
2,1.71E+06,3.08E+06,6.05E+06,7.95E+06,,,,,
3,1.72E+06,3.09E+06,6.09E+06,7.87E+06,,,,,
4,1.71E+06,3.08E+06,6.07E+06,7.89E+06,,,,,
5,1.71E+06,3.08E+06,6.06E+06,7.82E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.009087,0.0090843,0.009087,0.0090562,,,,,
2,0.0090938,0.0090907,0.0090938,0.0090774,,,,,
3,0.0077916,0.0077905,0.0077916,0.0077741,,,,,
4,0.0079845,0.0079803,0.0079833,0.007968,,,,,
5,0.0080044,0.0080023,0.0080044,0.0079926,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,19.4931,10.8201,5.48815,4.20474,,19.54012,10.84454,5.49159,4.218424
2,19.5041,10.7909,5.49479,4.2474,,,,,
3,19.5064,10.8794,5.44252,4.13458,,,,,
4,19.6274,10.8719,5.51804,4.24573,,,,,
5,19.5696,10.8604,5.51445,4.25967,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.054,0.55361,0.28611,0.46058,,1.0565,0.55448,0.28624,0.462416
2,1.0583,0.55542,0.284,0.46083,,,,,
3,1.0467,0.55367,0.28708,0.46415,,,,,
4,1.0666,0.5533,0.28671,0.46463,,,,,
5,1.0569,0.5564,0.2873,0.46189,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,18.3125,10.2029,5.15707,4.01046,,18.35648,10.22686,5.16038,4.023014
2,18.3188,10.1732,5.16458,4.0522,,,,,
3,18.3318,10.2633,5.11164,3.93788,,,,,
4,18.4336,10.2544,5.18633,4.04874,,,,,
5,18.3857,10.2405,5.18228,4.06579,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.72E+06,3.10E+06,6.11E+06,7.98E+06,,,,,
2,1.72E+06,3.11E+06,6.11E+06,7.90E+06,,,,,
3,1.72E+06,3.08E+06,6.17E+06,8.12E+06,,,,,
4,1.71E+06,3.09E+06,6.08E+06,7.90E+06,,,,,
5,1.71E+06,3.09E+06,6.08E+06,7.88E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0088629,0.0088629,0.0088629,0.0088477,,,,,
2,0.0092371,0.0092371,0.0092371,0.0092363,,,,,
3,0.0086291,0.0086291,0.0086291,0.0086214,,,,,
4,0.0085261,0.0085261,0.0085261,0.0085255,,,,,
5,0.0087663,0.0087663,0.0087663,0.0087614,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,17.4,9.66196,4.92235,4.16613,,17.65472,9.919732,5.070858,4.128918
2,17.2944,9.6489,4.86275,4.1464,,,,,
3,17.8181,10.086,5.18948,4.12247,,,,,
4,17.9032,10.109,5.20086,4.13789,,,,,
5,17.8579,10.0928,5.17885,4.0717,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0531,0.55676,0.28784,0.45649,,,,,
2,1.0473,0.56133,0.29066,0.46226,,,,,
3,1.5986,1.0066,0.58779,0.45464,,,,,
