TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,20.8673,11.677,5.93395,4.40992,,20.6811,11.62474,5.870098,4.402202
2,20.5517,11.4792,5.84347,4.39886,,,,,
3,20.6971,11.5981,5.87422,4.43224,,,,,
4,20.6206,11.7055,5.79812,4.34986,,,,,
5,20.6688,11.6639,5.90073,4.42013,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0874,0.54583,0.27839,0.47075,,1.07384,0.5464,0.279002,0.467648
2,1.0798,0.55028,0.27793,0.46826,,,,,
3,1.0796,0.545,0.2787,0.46791,,,,,
4,1.0632,0.54531,0.28018,0.46662,,,,,
5,1.0592,0.54558,0.27981,0.4647,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.6515,11.0648,5.60923,4.21172,,19.47866,11.01348,5.544712,4.208794
2,19.3429,10.865,5.51867,4.20847,,,,,
3,19.489,10.9879,5.54803,4.24307,,,,,
4,19.4288,11.0953,5.47271,4.15464,,,,,
5,19.4811,11.0544,5.57492,4.22607,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.61E+06,2.87E+06,5.65E+06,7.61E+06,,,,,
2,1.63E+06,2.92E+06,5.74E+06,7.63E+06,,,,,
3,1.62E+06,2.89E+06,5.71E+06,7.57E+06,,,,,
4,1.63E+06,2.87E+06,5.79E+06,7.71E+06,,,,,
5,1.62E+06,2.88E+06,5.69E+06,7.59E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.064864,0.06503,0.064864,0.065034,,,,,
2,0.065584,0.065583,0.065584,0.065582,,,,,
3,0.083545,0.083543,0.083545,0.083572,,,,,
4,0.093589,0.093588,0.093589,0.093628,,,,,
5,0.05893,0.05893,0.05893,0.058938,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,20.7618,11.6034,5.9103,4.39012,,20.68624,11.69854,5.938968,4.33561
2,20.7686,11.625,5.89573,4.37152,,,,,
3,20.0359,11.4346,5.7127,4.19694,,,,,
4,21.1378,12.2024,6.2891,4.34374,,,,,
5,20.7271,11.6273,5.88701,4.37573,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0568,0.54276,0.28103,0.4661,,1.20082,0.669662,0.382136,0.464688
2,1.0604,0.53787,0.27866,0.46595,,,,,
3,1.0434,0.54231,0.281,0.46676,,,,,
4,1.79,1.1829,0.79025,0.46026,,,,,
5,1.0535,0.54247,0.27974,0.46437,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.5771,10.9969,5.5837,4.18774,,19.35716,10.96532,5.512574,4.098182
2,19.5805,11.0232,5.5736,4.17746,,,,,
3,18.8637,10.8288,5.38816,4.00681,,,,,
4,19.218,10.9557,5.45497,3.93751,,,,,
5,19.5465,11.022,5.56244,4.18139,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.62E+06,2.89E+06,5.68E+06,7.64E+06,,,,,
2,1.62E+06,2.89E+06,5.69E+06,7.68E+06,,,,,
3,1.67E+06,2.93E+06,5.87E+06,7.99E+06,,,,,
4,1.59E+06,2.75E+06,5.34E+06,7.72E+06,,,,,
5,1.62E+06,2.89E+06,5.70E+06,7.67E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.079055,0.079055,0.079055,0.079054,,,,,
2,0.10382,0.10382,0.10382,0.10383,,,,,
3,0.071015,0.071015,0.071015,0.071007,,,,,
4,0.063018,0.063018,0.063018,0.06307,,,,,
5,0.11055,0.11055,0.11055,0.11,,,,,
COLSIZE:,0.001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,18.8381,10.5865,5.32368,4.16605,,18.92654,10.64988,5.380596,4.179868
2,19.0199,10.7196,5.39738,4.2394,,,,,
3,19.0998,10.7467,5.44859,4.22757,,,,,
4,18.6422,10.4606,5.2813,4.02397,,,,,
5,19.0327,10.736,5.45203,4.24235,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0882,0.54699,0.27852,0.46577,,1.08484,0.547952,0.279084,0.464442
2,1.078,0.5485,0.27946,0.4593,,,,,
3,1.0849,0.54621,0.27844,0.46605,,,,,
4,1.084,0.54755,0.27899,0.4648,,,,,
5,1.0891,0.55051,0.28001,0.46629,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.6214,9.97373,5.00136,3.97418,,17.7133,10.03725,5.056756,3.98539
2,17.8129,10.1046,5.07169,4.04672,,,,,
3,17.8871,10.1363,5.12483,4.02986,,,,,
4,17.4294,9.84912,4.95909,3.82935,,,,,
5,17.8157,10.1225,5.12681,4.04684,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.78E+06,3.17E+06,6.30E+06,8.05E+06,,,,,
2,1.76E+06,3.13E+06,6.22E+06,7.91E+06,,,,,
3,1.76E+06,3.12E+06,6.16E+06,7.94E+06,,,,,
4,1.80E+06,3.21E+06,6.35E+06,8.34E+06,,,,,
5,1.76E+06,3.13E+06,6.15E+06,7.91E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0006354,0.00063492,0.0006354,0.00062937,,,,,
2,0.0012315,0.0012252,0.0012315,0.0012319,,,,,
3,0.00093095,0.00093107,0.00093095,0.00090896,,,,,
4,0.00059758,0.0005924,0.00059758,0.00059069,,,,,
5,0.00080921,0.00080727,0.00080921,0.00080684,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,18.8081,10.589,5.37451,4.24176,,18.88646,10.6155,5.378786,4.215912
2,18.9887,10.6725,5.38655,4.24383,,,,,
3,18.865,10.6024,5.37584,4.20419,,,,,
4,18.8839,10.6282,5.41404,4.19293,,,,,
5,18.8866,10.5854,5.34299,4.19685,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.059,0.53974,0.27785,0.4632,,1.05696,0.542242,0.28049,0.464314
2,1.0522,0.54226,0.28077,0.45907,,,,,
3,1.056,0.54255,0.2793,0.46611,,,,,
4,1.0564,0.54451,0.28505,0.46799,,,,,
5,1.0612,0.54215,0.27948,0.4652,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.6205,9.98606,5.04994,4.04761,,17.70192,10.009982,5.053944,4.01972
2,17.8087,10.0669,5.06634,4.04946,,,,,
3,17.6816,9.99537,5.05048,4.00476,,,,,
4,17.7002,10.0202,5.08457,3.99705,,,,,
5,17.6986,9.98138,5.01839,3.99972,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.78E+06,3.17E+06,6.24E+06,7.91E+06,,,,,
2,1.77E+06,3.14E+06,6.23E+06,7.91E+06,,,,,
3,1.78E+06,3.16E+06,6.24E+06,7.98E+06,,,,,
4,1.78E+06,3.16E+06,6.20E+06,8.00E+06,,,,,
5,1.78E+06,3.17E+06,6.28E+06,8.00E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0005563,0.0005563,0.00055635,0.0005635,,,,,
2,0.00071237,0.00071237,0.00071237,0.00072285,,,,,
3,0.00092323,0.00092323,0.00092323,0.00092262,,,,,
4,0.00074559,0.00074559,0.00074559,0.00074857,,,,,
5,0.00089059,0.00089059,0.00089059,0.00091319,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,16.3256,9.32217,4.69908,3.9947,,16.50426,9.426686,4.75607,4.001986
2,16.5092,9.4394,4.78527,3.94992,,,,,
3,16.5263,9.45515,4.71962,4.00998,,,,,
4,16.5682,9.48678,4.77112,4.04,,,,,
5,16.592,9.42993,4.80526,4.01533,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0341,0.55665,0.28283,0.45785,,1.0372,0.555076,0.284414,0.463074
2,1.0329,0.55483,0.28378,0.46325,,,,,
