TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,20.5676,11.6002,5.86088,4.43288,,20.68944,11.60216,5.874298,4.413448
2,20.592,11.5503,5.81143,4.45468,,,,,
3,20.9127,11.7102,5.94553,4.45298,,,,,
4,20.7544,11.6588,5.89941,4.39255,,,,,
5,20.6205,11.4913,5.85424,4.33415,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0503,0.5419,0.27605,0.46853,,1.05572,0.542244,0.276328,0.46652
2,1.062,0.54275,0.27748,0.46851,,,,,
3,1.0586,0.53757,0.27504,0.46539,,,,,
4,1.0508,0.54685,0.2762,0.46416,,,,,
5,1.0569,0.54215,0.27687,0.46601,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.3882,10.9946,5.54018,4.23904,,19.5054,10.99646,5.55323,4.220386
2,19.4016,10.9441,5.49056,4.25989,,,,,
3,19.7261,11.1088,5.62503,4.26057,,,,,
4,19.5756,11.0488,5.57679,4.20077,,,,,
5,19.4355,10.886,5.53359,4.14166,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.63E+06,2.89E+06,5.73E+06,7.57E+06,,,,,
2,1.63E+06,2.91E+06,5.77E+06,7.53E+06,,,,,
3,1.60E+06,2.87E+06,5.64E+06,7.54E+06,,,,,
4,1.62E+06,2.88E+06,5.69E+06,7.64E+06,,,,,
5,1.63E+06,2.92E+06,5.73E+06,7.74E+06,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.069996,0.069994,0.069996,0.070015,,,,,
2,0.10827,0.10827,0.10827,0.10828,,,,,
3,0.09684,0.096841,0.09684,0.096922,,,,,
4,0.08154,0.081538,0.08154,0.081578,,,,,
5,0.070652,0.070652,0.070652,0.07063,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.0587,11.796,5.9944,4.4412,,20.90476,11.68822,5.924806,4.438576
2,20.9174,11.669,5.92703,4.44532,,,,,
3,20.9546,11.7447,5.96966,4.45636,,,,,
4,20.9165,11.7126,5.9199,4.46402,,,,,
5,20.6766,11.5188,5.81304,4.38598,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1207,0.5454,0.28018,0.46668,,1.11542,0.549668,0.279096,0.467552
2,1.115,0.55221,0.27927,0.46949,,,,,
3,1.1068,0.55372,0.28059,0.467,,,,,
4,1.1176,0.54714,0.27614,0.46573,,,,,
5,1.117,0.54987,0.2793,0.46886,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.7837,11.1651,5.65128,3.9293,,19.63596,11.05388,5.584324,3.924496
2,19.6486,11.0323,5.5856,3.93324,,,,,
3,19.6932,11.1061,5.62826,3.94555,,,,,
4,19.6468,11.0794,5.58184,3.93938,,,,,
5,19.4075,10.8865,5.47464,3.87501,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.59E+06,2.84E+06,5.60E+06,7.56E+06,,,,,
2,1.60E+06,2.88E+06,5.66E+06,7.55E+06,,,,,
3,1.60E+06,2.86E+06,5.62E+06,7.53E+06,,,,,
4,1.60E+06,2.86E+06,5.67E+06,7.52E+06,,,,,
5,1.62E+06,2.91E+06,5.77E+06,7.65E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.11091,0.11091,0.11091,0.11091,,,,,
2,0.10516,0.10516,0.10516,0.10516,,,,,
3,0.064999,0.064999,0.064999,0.064999,,,,,
4,0.076868,0.076868,0.076868,0.076868,,,,,
5,0.082638,0.082638,0.082638,0.082638,,,,,
COLSIZE:,0.001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,18.9047,10.67,5.41479,4.15651,,18.86776,10.61502,5.374668,4.167262
2,18.8425,10.6223,5.40095,4.20392,,,,,
3,19.0295,10.6412,5.34289,4.12869,,,,,
4,18.8899,10.6525,5.40672,4.2073,,,,,
5,18.6722,10.4891,5.30799,4.13989,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.06,0.54432,0.27384,0.46438,,1.0555,0.54191,0.275688,0.464868
2,1.0456,0.54024,0.27437,0.4655,,,,,
3,1.0538,0.54097,0.27688,0.4645,,,,,
4,1.0607,0.54287,0.27739,0.46616,,,,,
5,1.0574,0.54115,0.27596,0.4638,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.7165,10.0626,5.09434,3.96423,,17.6844,10.009392,5.052918,3.974556
2,17.6686,10.0172,5.07866,4.01144,,,,,
3,17.8479,10.0367,5.02243,3.93625,,,,,
4,17.7017,10.0465,5.08281,4.01432,,,,,
5,17.4873,9.88396,4.98635,3.94654,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.77E+06,3.14E+06,6.20E+06,8.07E+06,,,,,
2,1.78E+06,3.16E+06,6.21E+06,7.98E+06,,,,,
3,1.76E+06,3.15E+06,6.28E+06,8.13E+06,,,,,
4,1.78E+06,3.15E+06,6.21E+06,7.98E+06,,,,,
5,1.80E+06,3.20E+06,6.32E+06,8.11E+06,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0009008,0.00090088,0.00090052,0.00089523,,,,,
2,0.0006171,0.00061524,0.0006171,0.0006075,,,,,
3,0.00086238,0.00085685,0.00086238,0.00086072,,,,,
4,0.0007005,0.00070017,0.0007005,0.00069964,,,,,
5,0.0012486,0.0012485,0.0012486,0.001263,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,19.1108,10.7344,5.46768,4.33328,,19.3692,11.01208,5.689726,4.273446
2,19.3291,11.1062,5.78344,4.22885,,,,,
3,19.6851,11.2727,5.9178,4.24116,,,,,
4,19.0146,10.6449,5.36638,4.28957,,,,,
5,19.7064,11.3022,5.91333,4.27437,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1177,0.55113,0.2811,0.46357,,1.53014,0.92592,0.58645,0.461204
2,1.8091,1.1788,0.79103,0.45883,,,,,
3,1.8069,1.176,0.79135,0.45856,,,,,
4,1.107,0.54817,0.27685,0.46434,,,,,
5,1.81,1.1755,0.79192,0.46072,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.8411,10.0981,5.12519,3.82543,,17.6863,10.00012,5.041378,3.767086
2,17.3676,9.8361,4.92967,3.72236,,,,,
3,17.724,10.0117,5.06603,3.73885,,,,,
4,17.7549,10.0141,5.02701,3.78055,,,,,
5,17.7439,10.0406,5.05899,3.76824,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.76E+06,3.13E+06,6.14E+06,7.74E+06,,,,,
2,1.74E+06,3.02E+06,5.80E+06,7.93E+06,,,,,
3,1.70E+06,2.98E+06,5.67E+06,7.91E+06,,,,,
4,1.76E+06,3.15E+06,6.25E+06,7.82E+06,,,,,
5,1.70E+06,2.97E+06,5.67E+06,7.85E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00062784,0.00062784,0.00062784,0.00062784,,,,,
2,0.00072009,0.00072009,0.00072009,0.00072009,,,,,
3,0.00070407,0.00070407,0.00070407,0.00070407,,,,,
4,0.0008015,0.0008015,0.0008015,0.0008015,,,,,
5,0.00079106,0.00079106,0.00079106,0.00079106,,,,,
COLSIZE:,0.0001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,16.6201,9.45453,4.81034,4.03145,,16.89852,9.776606,4.993918,3.98259
2,17.3191,10.1043,5.21573,4.00328,,,,,
3,17.1271,10.0219,5.10761,3.9253,,,,,
4,16.8902,9.87212,5.05613,3.89027,,,,,
5,16.5361,9.43018,4.77978,4.06265,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0579,0.55265,0.28149,0.46589,,1.42806,0.88509,0.513134,0.462352
