TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.0137,11.2698,5.67946,3.73202,,20.24522,11.35664,5.756932,3.73975
2,20.4761,11.5753,5.86965,3.76634,,,,,
3,19.9107,11.0648,5.69404,3.71639,,,,,
4,20.5035,11.53,5.83586,3.75533,,,,,
5,20.3221,11.3433,5.70565,3.72867,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1296,0.57651,0.30049,0.24804,,,,,
2,1.1204,0.57364,0.3007,0.2494,,,,,
3,1.1277,0.56775,0.29935,0.25053,,,,,
4,1.1139,0.5716,0.2996,0.24788,,,,,
5,1.1241,0.57082,0.29969,0.24754,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,18.7063,10.5982,5.31473,3.4465,,,,,
2,19.1738,10.9131,5.50497,3.48328,,,,,
3,18.6052,10.4084,5.33633,3.42886,,,,,
4,19.2097,10.8674,5.47176,3.47416,,,,,
5,19.0164,10.6835,5.34305,3.44469,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.68E+06,2.98E+06,5.91E+06,8.99E+06,,,,,
2,1.64E+06,2.90E+06,5.72E+06,8.91E+06,,,,,
3,1.69E+06,3.03E+06,5.89E+06,9.03E+06,,,,,
4,1.64E+06,2.91E+06,5.75E+06,8.94E+06,,,,,
5,1.65E+06,2.96E+06,5.88E+06,9.00E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.040324,0.040324,0.040324,0.04062,,,,,
2,0.026929,0.026929,0.026929,0.027131,,,,,
3,0.016686,0.016686,0.016686,0.017385,,,,,
4,0.0065318,0.0065319,0.0065318,0.007161,,,,,
5,0.01524,0.01524,0.01524,0.016542,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.3919,11.4747,5.82135,3.78261,,20.69334,11.69576,5.965852,3.81191
2,20.5937,11.6527,5.92544,3.80245,,,,,
3,20.4929,11.5028,5.84374,3.75052,,,,,
4,20.5633,11.5439,5.86767,3.78235,,,,,
5,21.4249,12.3047,6.37106,3.94162,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.149,0.57312,0.3046,0.2449,,1.3027,0.700548,0.406046,0.283026
2,1.1205,0.56878,0.3008,0.2473,,,,,
3,1.1407,0.56955,0.29834,0.24639,,,,,
4,1.1435,0.57259,0.30094,0.24623,,,,,
5,1.9598,1.2187,0.82555,0.43031,,,,,
HALF BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.0418,10.7908,5.43562,3.47359,,19.18848,10.88268,5.480004,3.462116
2,19.2702,10.9739,5.54581,3.48991,,,,,
3,19.1508,10.8225,5.46487,3.43819,,,,,
4,19.2176,10.8509,5.48788,3.47166,,,,,
5,19.262,10.9753,5.46584,3.43723,,,,,
HALF BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.65E+06,2.92E+06,5.76E+06,8.87E+06,,,,,
2,1.63E+06,2.88E+06,5.66E+06,8.82E+06,,,,,
3,1.64E+06,2.92E+06,5.74E+06,8.95E+06,,,,,
4,1.63E+06,2.91E+06,5.72E+06,8.87E+06,,,,,
5,1.57E+06,2.73E+06,5.27E+06,8.51E+06,,,,,
HALF BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.027101,0.027101,0.027101,0.027348,,,,,
2,0.0069153,0.0069153,0.0069153,0.007951,,,,,
3,0.041408,0.041408,0.041408,0.041576,,,,,
4,0.021847,0.021847,0.021847,0.022069,,,,,
5,0.019083,0.019083,0.019083,0.019554,,,,,
FULL BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.2181,11.3163,5.74926,3.74144,,,,,
2,20.1272,11.3431,5.74888,3.7492,,,,,
3,20.061,11.4119,5.67617,3.67694,,,,,
4,21.2533,12.2074,6.36127,3.93337,,,,,
5,20.5734,11.5779,5.88454,3.78835,,,,,
FULL BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1196,0.56507,0.292,0.24397,,,,,
2,1.1109,0.55318,0.29108,0.2458,,,,,
3,1.1189,0.56063,0.29419,0.244,,,,,
4,1.8515,1.225,0.83604,0.43646,,,,,
5,1.1178,0.55577,0.29329,0.24516,,,,,
FULL BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,18.9216,10.6631,5.39419,3.45411,,,,,
2,18.836,10.7019,5.39647,3.4573,,,,,
3,18.7656,10.7624,5.32091,3.38633,,,,,
4,19.2231,10.8878,5.46167,3.4462,,,,,
5,19.2766,10.9302,5.5296,3.49521,,,,,
FULL BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.66E+06,2.97E+06,5.84E+06,8.97E+06,,,,,
2,1.67E+06,2.96E+06,5.84E+06,8.95E+06,,,,,
3,1.67E+06,2.94E+06,5.91E+06,9.13E+06,,,,,
4,1.58E+06,2.75E+06,5.27E+06,8.53E+06,,,,,
5,1.63E+06,2.90E+06,5.70E+06,8.86E+06,,,,,
FULL BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.01124,0.01124,0.01124,0.012264,,,,,
2,0.021557,0.021557,0.021557,0.02215,,,,,
3,0.0087012,0.0087012,0.0087012,0.0095558,,,,,
4,0.0097473,0.0097473,0.0097473,0.0106,,,,,
5,0.002593,0.002593,0.002593,0.00517,,,,,
COLSIZE:,0.001,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,18.8675,10.5864,5.35602,3.5451,,,,,
2,18.6686,10.5356,5.26111,3.5086,,,,,
3,19.2721,10.7488,5.44986,3.53027,,,,,
4,18.7111,10.4518,5.35773,3.50644,,,,,
5,19.1287,10.6364,5.42591,3.55085,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1273,0.57461,0.29907,0.25114,,,,,
2,1.1214,0.57127,0.29974,0.25039,,,,,
3,1.1445,0.57134,0.30108,0.24874,,,,,
4,1.129,0.5721,0.29984,0.2486,,,,,
5,1.146,0.57237,0.29971,0.24953,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.5622,9.91956,4.99087,3.26024,,,,,
2,17.3685,9.87014,4.89878,3.2231,,,,,
3,17.9482,10.0856,5.08558,3.24679,,,,,
4,17.4033,9.79081,4.99241,3.22028,,,,,
5,17.8049,9.97395,5.06135,3.26473,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.78E+06,3.17E+06,6.26E+06,9.47E+06,,,,,
2,1.80E+06,3.18E+06,6.38E+06,9.56E+06,,,,,
3,1.74E+06,3.12E+06,6.16E+06,9.50E+06,,,,,
4,1.79E+06,3.21E+06,6.26E+06,9.57E+06,,,,,
5,1.75E+06,3.15E+06,6.18E+06,9.45E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00029767,,0.0034047,,,,,
2,,4.59E-01,,0.0042857,,,,,
3,,2.18E-01,,0.0031714,,,,,
4,,1.48E-01,,0.0040434,,,,,
5,,0.00019213,8.01E-01,0.003415,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,18.9822,10.61,5.37008,3.55331,,19.15724,10.82194,5.63242,3.577436
2,19.5245,11.1737,5.87826,3.66409,,,,,
3,19.1002,10.9339,5.77512,3.58909,,,,,
4,18.8225,10.3228,5.32493,3.49397,,,,,
5,19.3568,11.0693,5.81371,3.58672,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1386,0.57101,0.2999,0.24825,,1.64324,0.965914,0.618238,0.35825
2,1.9892,1.2415,0.83248,0.43464,,,,,
3,1.9637,1.2198,0.82833,0.43077,,,,,
4,1.1611,0.57596,0.30375,0.24557,,,,,
5,1.9636,1.2213,0.82673,0.43202,,,,,
HALF BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.6407,9.9291,4.9892,3.23907,,17.31156,9.74562,4.934458,3.14828
