TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR,
 ,,,,,,,,,,
COLSIZE:,0.01,,,,,,,,,
PADDING,,,,,,,,,,
TIME:,,,,,,,,,,
1,20.3829,11.5164,5.8577,4.46241,,20.07368,11.27288,5.672858,4.36265,
2,20.0583,11.2611,5.65236,4.33362,,,,,,
3,19.8387,11.189,5.55814,4.30939,,,,,,
4,19.8503,11.0963,5.58765,4.31779,,,,,,
5,20.2382,11.3016,5.70844,4.39004,,,,,,
PADDING,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0361,0.53788,0.27171,0.46487,,1.04164,0.53714,0.273156,0.46843,
2,1.048,0.53833,0.272,0.46888,,,,,,
3,1.037,0.53866,0.27346,0.46868,,,,,,
4,1.0371,0.5356,0.27528,0.46815,,,,,,
5,1.05,0.53523,0.27333,0.47157,,,,,,
PADDING,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,19.2183,10.9152,5.53995,4.27159,,18.90286,10.67222,5.355166,4.17084,
2,18.8816,10.6599,5.33609,4.14066,,,,,,
3,18.6741,10.5871,5.24126,4.11671,,,,,,
4,18.6847,10.4969,5.27105,4.1284,,,,,,
5,19.0556,10.702,5.38748,4.19684,,,,,,
PADDING,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,1.65E+06,2.91E+06,5.73E+06,7.52E+06,,,,,,
2,1.67E+06,2.98E+06,5.94E+06,7.74E+06,,,,,,
3,1.69E+06,3.00E+06,6.04E+06,7.79E+06,,,,,,
4,1.69E+06,3.02E+06,6.01E+06,7.77E+06,,,,,,
5,1.66E+06,2.97E+06,5.88E+06,7.64E+06,,,,,,
PADDING,,,,,,,,,,
ERROR:,,,,,,,,,,
1,0.012642,0.012642,0.012642,0.023321,,,,,,
2,0.0098396,0.0098398,0.0098396,0.010096,,,,,,
3,0.0064658,0.0064891,0.0064658,0.0072351,,,,,,
4,0.090405,0.090405,0.090405,0.096263,,,,,,
5,0.018506,0.018507,0.018506,0.021295,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
TIME:,,,,,,,,,,
1,19.9316,11.1793,5.72617,4.42371,,20.34866,11.41192,5.81189,4.444206,
2,20.5256,11.524,5.87733,4.4586,,,,,,
3,20.3223,11.4366,5.83403,4.4892,,,,,,
4,20.408,11.3626,5.74286,4.35449,,,,,,
5,20.5558,11.5571,5.87906,4.49503,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.1173,0.55115,0.28286,0.46748,,1.13094,0.555812,0.283334,0.46838,
2,1.1409,0.55388,0.28118,0.47159,,,,,,
3,1.1149,0.55778,0.28463,0.46541,,,,,,
4,1.143,0.55395,0.2825,0.46902,,,,,,
5,1.1386,0.5623,0.2855,0.4684,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,18.6602,10.5347,5.37827,3.91104,,19.06324,10.77174,5.46842,3.932508,
2,19.2302,10.8885,5.53574,3.94502,,,,,,
3,19.0531,10.7968,5.49071,3.9813,,,,,,
4,19.1091,10.7266,5.40294,3.84311,,,,,,
5,19.2636,10.9121,5.53444,3.98207,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,1.68E+06,3.00E+06,5.86E+06,7.59E+06,,,,,,
2,1.63E+06,2.91E+06,5.71E+06,7.53E+06,,,,,,
3,1.65E+06,2.93E+06,5.75E+06,7.47E+06,,,,,,
4,1.64E+06,2.95E+06,5.84E+06,7.71E+06,,,,,,
5,1.63E+06,2.90E+06,5.71E+06,7.46E+06,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
ERROR:,,,,,,,,,,
1,0.015988,0.015988,0.015988,0.015988,,,,,,
2,0.014076,0.014076,0.014076,0.014076,,,,,,
3,0.011901,0.011901,0.011901,0.011901,,,,,,
4,0.010422,0.010422,0.010422,0.010422,,,,,,
5,0.0095757,0.0095757,0.0095757,0.0095757,,,,,,
COLSIZE:,0.001,,,,,,,,,
PADDING,,,,,,,,,,
TIME:,,,,,,,,,,
1,18.0634,10.2686,5.15902,4.16608,,18.27894,10.40906,5.240912,4.217006,
2,18.6006,10.5914,5.36859,4.27834,,,,,,
3,18.1063,10.3364,5.20298,4.17466,,,,,,
4,18.3896,10.4452,5.29997,4.2012,,,,,,
5,18.2348,10.4037,5.174,4.26475,,,,,,
PADDING,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0627,0.53764,0.27312,0.47417,,1.0594,0.541052,0.272866,0.469508,
2,1.057,0.54413,0.2737,0.47,,,,,,
3,1.0564,0.54084,0.27339,0.46744,,,,,,
4,1.0577,0.53792,0.27249,0.46775,,,,,,
5,1.0632,0.54473,0.27163,0.46818,,,,,,
PADDING,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,16.8723,9.6675,4.84327,3.97409,,17.09116,9.804778,4.923476,4.024566,
2,17.4152,9.98415,5.04839,4.08675,,,,,,
3,16.9216,9.73209,4.88836,3.97943,,,,,,
4,17.2027,9.844,4.98165,4.0111,,,,,,
5,17.044,9.79615,4.85571,4.07146,,,,,,
PADDING,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,1.86E+06,3.27E+06,6.50E+06,8.05E+06,,,,,,
2,1.80E+06,3.17E+06,6.25E+06,7.84E+06,,,,,,
3,1.85E+06,3.25E+06,6.45E+06,8.04E+06,,,,,,
4,1.82E+06,3.21E+06,6.33E+06,7.99E+06,,,,,,
5,1.84E+06,3.23E+06,6.49E+06,7.87E+06,,,,,,
PADDING,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,8.38E-01,,0.00053302,,,,,,
2,,0.00026695,,0.00058927,,,,,,
3,,0.00074922,,7.16E-01,,,,,,
4,,3.06E-01,,0.00014163,,,,,,
5,,0.00014583,,9.37E-01,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
TIME:,,,,,,,,,,
1,18.8455,11.2015,5.88433,4.25078,,18.89906,10.9654,5.706028,4.219632,
2,19.29,11.1,5.81272,4.18986,,,,,,
3,18.9641,10.9628,5.74165,4.20176,,,,,,
4,18.1802,10.4005,5.24423,4.17942,,,,,,
5,19.2155,11.1622,5.84721,4.27634,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.8355,1.3812,0.95461,0.4664,,1.70338,1.105068,0.735052,0.463426,
2,1.853,1.204,0.81629,0.46466,,,,,,
3,1.8535,1.2003,0.81511,0.4611,,,,,,
4,1.1393,0.55234,0.27984,0.4653,,,,,,
5,1.8356,1.1875,0.80941,0.45967,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,16.8548,9.73482,4.86675,3.73909,,17.04208,9.775196,4.910258,3.712034,
2,17.2833,9.81296,4.93827,3.68142,,,,,,
3,16.9576,9.67155,4.86457,3.69765,,,,,,
4,16.8864,9.76656,4.90722,3.67195,,,,,,
5,17.2283,9.89009,4.97448,3.77006,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,1.78E+06,3.00E+06,5.70E+06,7.89E+06,,,,,,
2,1.74E+06,3.02E+06,5.77E+06,8.01E+06,,,,,,
3,1.77E+06,3.06E+06,5.84E+06,7.99E+06,,,,,,
4,1.85E+06,3.23E+06,6.40E+06,8.03E+06,,,,,,
5,1.75E+06,3.01E+06,5.74E+06,7.85E+06,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,,
PADDING,,,,,,,,,,
TIME:,,,,,,,,,,
1,15.6981,9.07633,4.60279,4.04515,,15.95484,9.26401,4.718842,3.936278,
2,16.0153,9.26507,4.6958,4.01686,,,,,,
3,16.6515,9.87131,5.09367,3.98818,,,,,,
4,15.6293,8.91767,4.62679,3.76663,,,,,,
5,15.78,9.18967,4.57516,3.86457,,,,,,
PADDING,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0359,0.5686,0.2873,0.46833,,1.14416,0.672138,0.362822,0.46438,
