TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.7234,12.0908,6.18266,3.87277,,21.71896,12.12698,6.19072,3.887242
2,21.7197,12.1568,6.20096,3.88526,,,,,
3,21.7227,12.1202,6.19187,3.88968,,,,,
4,21.7183,12.1357,6.18372,3.88111,,,,,
5,21.7107,12.1314,6.19439,3.90739,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1649,0.60566,0.31383,0.25239,,1.15752,0.604784,0.313272,0.25138
2,1.156,0.60651,0.31417,0.24939,,,,,
3,1.153,0.60416,0.31356,0.251,,,,,
4,1.1567,0.60272,0.31265,0.25127,,,,,
5,1.157,0.60487,0.31215,0.25285,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3801,11.3883,5.80175,3.57154,,20.38328,11.42418,5.810412,3.587346
2,20.3871,11.4503,5.81968,3.5879,,,,,
3,20.3898,11.4181,5.8118,3.59033,,,,,
4,20.3843,11.4335,5.80358,3.5793,,,,,
5,20.3751,11.4307,5.81525,3.60766,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.54E+06,2.78E+06,5.43E+06,8.66E+06,,,,,
2,1.54E+06,2.76E+06,5.41E+06,8.64E+06,,,,,
3,1.54E+06,2.77E+06,5.42E+06,8.63E+06,,,,,
4,1.54E+06,2.76E+06,5.43E+06,8.65E+06,,,,,
5,1.55E+06,2.77E+06,5.42E+06,8.59E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2674,0.2673,0.2674,0.2671,,,,,
2,0.141,0.141,0.141,0.1408,,,,,
3,0.0971,0.0971,0.0971,0.0969,,,,,
4,0.2722,0.2722,0.2722,0.2719,,,,,
5,0.181,0.181,0.181,0.1808,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.7537,12.1028,6.19899,3.91276,,21.7758,12.1397,6.207912,3.914258
2,21.7965,12.1657,6.21644,3.90263,,,,,
3,21.8001,12.1372,6.2117,3.91872,,,,,
4,21.7717,12.1493,6.20287,3.92597,,,,,
5,21.757,12.1435,6.20956,3.91121,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1557,0.59767,0.31079,0.25051,,1.15934,0.598214,0.311908,0.252646
2,1.1644,0.6015,0.31416,0.25498,,,,,
3,1.1566,0.59734,0.31025,0.2501,,,,,
4,1.1637,0.60036,0.31304,0.25588,,,,,
5,1.1563,0.5942,0.3113,0.25176,,,,,
HALF BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3929,11.3849,5.80599,3.58859,,20.41142,11.42158,5.81353,3.588786
2,20.4281,11.4446,5.81947,3.57471,,,,,
3,20.4381,11.4196,5.81898,3.59492,,,,,
4,20.403,11.4295,5.80776,3.59844,,,,,
5,20.395,11.4293,5.81545,3.58727,,,,,
HALF BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.54E+06,2.77E+06,5.41E+06,8.58E+06,,,,,
2,1.54E+06,2.76E+06,5.40E+06,8.60E+06,,,,,
3,1.54E+06,2.76E+06,5.40E+06,8.56E+06,,,,,
4,1.54E+06,2.76E+06,5.41E+06,8.55E+06,,,,,
5,1.54E+06,2.76E+06,5.40E+06,8.58E+06,,,,,
HALF BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2097,0.2097,0.2097,0.2094,,,,,
2,0.2534,0.2534,0.2534,0.2532,,,,,
3,0.105,0.105,0.105,0.1,,,,,
4,0.0595,0.0595,0.0595,0.0593,,,,,
5,0.2124,0.2124,0.2124,0.2122,,,,,
FULL BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.7676,12.0846,6.18503,3.89456,,21.74178,12.11592,6.187618,3.90327
2,21.7351,12.1315,6.18798,3.90299,,,,,
3,21.7388,12.1117,6.19183,3.90343,,,,,
4,21.7259,12.125,6.18121,3.90557,,,,,
5,21.7415,12.1268,6.19204,3.9098,,,,,
FULL BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1511,0.5942,0.31,0.24845,,1.15192,0.597716,0.31072,0.249502
2,1.1477,0.59631,0.31052,0.2483,,,,,
3,1.1512,0.5969,0.30973,0.24989,,,,,
4,1.1488,0.59758,0.30949,0.2489,,,,,
5,1.1608,0.60359,0.31386,0.25197,,,,,
FULL BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.4369,11.3925,5.80698,3.5897,,20.41158,11.42,5.809572,3.59658
2,20.4099,11.4368,5.81052,3.5972,,,,,
3,20.4088,11.4164,5.81405,3.59618,,,,,
4,20.3997,11.4293,5.80415,3.59829,,,,,
5,20.4026,11.425,5.81216,3.60153,,,,,
FULL BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.54E+06,2.78E+06,5.43E+06,8.62E+06,,,,,
2,1.54E+06,2.77E+06,5.42E+06,8.60E+06,,,,,
3,1.54E+06,2.77E+06,5.42E+06,8.60E+06,,,,,
4,1.54E+06,2.77E+06,5.43E+06,8.59E+06,,,,,
5,1.54E+06,2.77E+06,5.42E+06,8.58E+06,,,,,
FULL BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2262,0.2262,0.2262,0.226,,,,,
2,0.1773,0.1773,0.1773,0.1771,,,,,
3,0.2679,0.2679,0.2679,0.2677,,,,,
4,0.3247,0.3247,0.3247,0.324,,,,,
5,0.3428,0.3428,0.3428,0.3425,,,,,
COLSIZE:,0.001,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.4923,11.093,5.6645,3.73124,,20.50314,11.07822,5.66355,3.7186
2,20.5153,11.0699,5.66304,3.70802,,,,,
3,20.5011,11.0508,5.64686,3.72328,,,,,
4,20.495,11.0735,5.67069,3.69777,,,,,
5,20.512,11.1039,5.67266,3.73269,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1657,0.60951,0.31325,0.25166,,1.16544,0.606516,0.3132,0.25069
2,1.1664,0.60629,0.31334,0.24891,,,,,
3,1.1643,0.60418,0.31197,0.25103,,,,,
4,1.1653,0.60972,0.31252,0.2493,,,,,
5,1.1655,0.60288,0.31492,0.25255,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.149,10.3843,5.28366,3.42935,,19.15886,10.373,5.283012,3.418478
2,19.1694,10.365,5.28263,3.40996,,,,,
3,19.1597,10.3507,5.26669,3.42112,,,,,
4,19.1491,10.364,5.29046,3.39892,,,,,
5,19.1671,10.401,5.29162,3.43304,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.64E+06,3.02E+06,5.92E+06,8.99E+06,,,,,
2,1.64E+06,3.03E+06,5.93E+06,9.05E+06,,,,,
3,1.64E+06,3.04E+06,5.94E+06,9.01E+06,,,,,
4,1.64E+06,3.03E+06,5.92E+06,9.07E+06,,,,,
5,1.64E+06,3.02E+06,5.92E+06,8.99E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,1.67E-01,,7.37E-02,,,,,
2,0.09818,0.09818,0.09818,0.098189,,,,,
3,,5.75E-01,,8.43E-01,,,,,
4,,2.31E-01,,9.35E-01,,,,,
5,,3.85E-01,,4.11E-01,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,20.5459,11.096,5.67921,3.71397,,20.561,11.0912,5.681328,3.742486
2,20.5954,11.0926,5.68612,3.75307,,,,,
3,20.5391,11.079,5.67281,3.73959,,,,,
4,20.5255,11.0883,5.68567,3.75532,,,,,
5,20.5991,11.1001,5.68283,3.75048,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1631,0.60033,0.31175,0.24778,,1.16388,0.601088,0.311266,0.250462
2,1.1663,0.60257,0.31028,0.25092,,,,,
3,1.1625,0.59866,0.31208,0.2506,,,,,
4,1.1627,0.60575,0.3106,0.25178,,,,,
5,1.1648,0.59813,0.31162,0.25123,,,,,
