TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,21.5506,12.064,6.1668,4.45388,,21.54684,12.05564,6.152306,4.466276
2,21.5383,12.0693,6.15087,4.47209,,,,,
3,21.5492,12.0584,6.15754,4.45873,,,,,
4,21.5406,12.0138,6.13222,4.46307,,,,,
5,21.5555,12.0727,6.1541,4.48361,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.072,0.58031,0.29334,0.45845,,1.07338,0.579434,0.294426,0.460156
2,1.074,0.57711,0.29418,0.46313,,,,,
3,1.0727,0.5785,0.29475,0.4601,,,,,
4,1.0687,0.58171,0.29441,0.4655,,,,,
5,1.0795,0.57954,0.29545,0.4536,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3491,11.4247,5.83048,4.25692,,20.34482,11.41692,5.814504,4.268642
2,20.3361,11.4323,5.81342,4.27588,,,,,
3,20.3482,11.4196,5.81956,4.2624,,,,,
4,20.3437,11.3743,5.79485,4.26222,,,,,
5,20.347,11.4337,5.81421,4.28579,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.56E+06,2.78E+06,5.44E+06,7.53E+06,,,,,
2,1.56E+06,2.78E+06,5.46E+06,7.50E+06,,,,,
3,1.56E+06,2.78E+06,5.45E+06,7.53E+06,,,,,
4,1.56E+06,2.79E+06,5.47E+06,7.52E+06,,,,,
5,1.56E+06,2.78E+06,5.45E+06,7.48E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0371,0.0371,0.0371,0.037,,,,,
2,0.2404,0.2404,0.2404,0.2403,,,,,
3,0.2592,0.2592,0.2592,0.2591,,,,,
4,0.1294,0.1294,0.1294,0.1293,,,,,
5,0.0275,0.0275,0.0275,0.0273,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,21.5521,12.0486,6.16027,4.46356,,21.55198,12.04292,6.146982,4.458506
2,21.5507,12.0565,6.14884,4.43898,,,,,
3,21.5522,12.0477,6.15281,4.45747,,,,,
4,21.5519,12.0057,6.12793,4.44294,,,,,
5,21.553,12.0561,6.14506,4.48958,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0776,0.57203,0.29515,0.46018,,1.07552,0.572698,0.293128,0.460398
2,1.0729,0.57353,0.29301,0.46191,,,,,
3,1.0806,0.57422,0.29331,0.46215,,,,,
4,1.0749,0.573,0.29236,0.461,,,,,
5,1.0716,0.57071,0.29181,0.45675,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.3463,11.4116,5.82191,4.26442,,20.34734,11.40614,5.809328,4.261248
2,20.3488,11.421,5.81137,4.2433,,,,,
3,20.3429,11.4078,5.81492,4.26093,,,,,
4,20.348,11.3692,5.791,4.2437,,,,,
5,20.3507,11.4211,5.80744,4.29389,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.56E+06,2.78E+06,5.45E+06,7.52E+06,,,,,
2,1.56E+06,2.78E+06,5.46E+06,7.56E+06,,,,,
3,1.56E+06,2.79E+06,5.45E+06,7.53E+06,,,,,
4,1.56E+06,2.79E+06,5.48E+06,7.55E+06,,,,,
5,1.56E+06,2.78E+06,5.46E+06,7.47E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.194,0.194,0.194,0.194,,,,,
2,0.0245,0.0245,0.0245,0.0245,,,,,
3,0.1857,0.1857,0.1857,0.1857,,,,,
4,0.1814,0.1814,0.1814,0.1814,,,,,
5,0.2526,0.2526,0.2526,0.2526,,,,,
COLSIZE:,0.001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,20.2762,10.9934,5.605,4.33687,,20.28752,11.00314,5.606008,4.297666
2,20.3092,11.0063,5.60308,4.27337,,,,,
3,20.2676,11.0079,5.60299,4.29392,,,,,
4,20.285,11.0089,5.60014,4.28839,,,,,
5,20.2996,10.9992,5.61883,4.29578,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0771,0.57996,0.29412,0.46257,,1.079,0.580186,0.294528,0.461522
2,1.0802,0.57739,0.2936,0.46109,,,,,
3,1.0769,0.57821,0.29463,0.46282,,,,,
4,1.0804,0.58317,0.29531,0.45733,,,,,
5,1.0804,0.5822,0.29498,0.4638,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.0711,10.3528,5.26695,4.13561,,19.08014,10.36348,5.267138,4.100218
2,19.1003,10.3698,5.26423,4.07731,,,,,
3,19.0621,10.3705,5.26422,4.09813,,,,,
4,19.0764,10.3687,5.26119,4.09193,,,,,
5,19.0908,10.3556,5.2791,4.09811,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.65E+06,3.05E+06,5.99E+06,7.74E+06,,,,,
2,1.65E+06,3.05E+06,5.99E+06,7.85E+06,,,,,
3,1.66E+06,3.05E+06,5.99E+06,7.81E+06,,,,,
4,1.65E+06,3.05E+06,5.99E+06,7.82E+06,,,,,
5,1.65E+06,3.05E+06,5.97E+06,7.81E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,6.91E-01,,5.87E-02,,,,,
2,,3.56E-01,,7.09E-02,,,,,
3,,6.58E-01,,7.82E-01,,,,,
4,,1.67E-01,,3.25E-01,,,,,
5,,5.76E-01,,3.27E-01,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,20.2889,10.9844,5.60402,4.34172,,20.29242,10.99448,5.60707,4.294546
2,20.3094,11.0036,5.60477,4.27683,,,,,
3,20.303,10.9995,5.6084,4.28241,,,,,
4,20.2762,10.9981,5.60407,4.28105,,,,,
5,20.2846,10.9868,5.61409,4.29072,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0788,0.57874,0.29328,0.46159,,1.08096,0.576538,0.293338,0.460246
2,1.0827,0.57507,0.29425,0.45967,,,,,
3,1.0829,0.57277,0.2941,0.45962,,,,,
4,1.078,0.57644,0.29288,0.45883,,,,,
5,1.0824,0.57967,0.29218,0.46152,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.0808,10.3442,5.26576,4.14771,,19.08222,10.3558,5.268756,4.097708
2,19.0977,10.3668,5.26727,4.07916,,,,,
3,19.0905,10.3632,5.26911,4.0852,,,,,
4,19.0694,10.3587,5.26578,4.08253,,,,,
5,19.0727,10.3461,5.27586,4.09394,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.65E+06,3.05E+06,5.99E+06,7.73E+06,,,,,
2,1.65E+06,3.05E+06,5.99E+06,7.85E+06,,,,,
3,1.65E+06,3.05E+06,5.98E+06,7.84E+06,,,,,
4,1.65E+06,3.05E+06,5.99E+06,7.84E+06,,,,,
5,1.65E+06,3.05E+06,5.98E+06,7.82E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,1.90E-01,,,,,
2,,,,3.55E-01,,,,,
3,,,,3.98E-01,,,,,
4,,,,1.45E-01,,,,,
5,,,,2.94E-01,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,18.2323,9.76621,4.98975,4.3289,,18.23088,9.753934,4.98672,4.325356
2,18.2245,9.7507,4.98631,4.30568,,,,,
3,18.237,9.76008,4.99386,4.36237,,,,,
4,18.2331,9.74262,4.97877,4.31488,,,,,
5,18.2275,9.75006,4.98491,4.31495,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1147,0.5754,0.29229,0.45285,,1.11234,0.57336,0.291718,0.455954
2,1.1114,0.57207,0.29255,0.45875,,,,,
3,1.118,0.57536,0.29282,0.4594,,,,,
4,1.1068,0.57213,0.28931,0.45687,,,,,
5,1.1108,0.57184,0.29162,0.4519,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
