TAKE,1THR,2THR,4THR,8THR
 
COLSIZE:,0.01
NAIVE
TIME:
1.0,31.9432,16.4509,11.5021,
2.0,32.1559,16.5226,11.858,
3.0,32.2123,16.8244,12.0991,
4.0,32.4154,17.0283,12.2726,
5.0,32.4197,17.0852,12.2331,
NAIVE
THROUGHPUT:
1.0,1.05044e+06,2.03967e+06,2.91723e+06,
2.0,1.04349e+06,2.03082e+06,2.82968e+06,
3.0,1.04167e+06,1.99439e+06,2.7733e+06,
4.0,1.03514e+06,1.97051e+06,2.7341e+06,
5.0,1.035e+06,1.96395e+06,2.74293e+06,
NAIVE
ERROR:
1.0,.299,.299,.299,
2.0,.261,.261,.261,
3.0,.2718,.2718,.2718,
4.0,.2782,.2782,.2782,
5.0,.3056,.3056,.3056,
MERGED
TIME:
1.0,29.0489,14.2732,9.70826,
2.0,29.2395,14.6904,10.1888,
3.0,29.355,14.8899,10.585,
4.0,29.768,15.0348,10.5163,
5.0,30.0405,14.926,10.4856,
MERGED
THROUGHPUT:
1.0,1.1551e+06,2.35086e+06,3.45628e+06,
2.0,1.14757e+06,2.2841e+06,3.29325e+06,
3.0,1.14306e+06,2.25351e+06,3.16999e+06,
4.0,1.1272e+06,2.23179e+06,3.19072e+06,
5.0,1.11697e+06,2.24806e+06,3.20006e+06,
MERGED
ERROR:
1.0,.299,.299,.299,
2.0,.261,.261,.261,
3.0,.2718,.2718,.2718,
4.0,.2782,.2782,.2782,
5.0,.3056,.3056,.3056,
COLSIZE:,0.001
NAIVE
TIME:
1.0,33.2936,17.1767,13.0886,
2.0,33.2768,17.4543,13.2555,
3.0,33.4952,17.0663,12.824,
4.0,33.1728,16.6949,12.1751,
5.0,33.1858,16.741,12.4228,
NAIVE
THROUGHPUT:
1.0,1.00783e+06,1.95348e+06,2.56363e+06,
2.0,1.00834e+06,1.92242e+06,2.53137e+06,
3.0,1.00177e+06,1.96612e+06,2.61654e+06,
4.0,1.0115e+06,2.00986e+06,2.75599e+06,
5.0,1.01111e+06,2.00433e+06,2.70103e+06,
NAIVE
ERROR:
1.0,.085267,.085267,.085267,
2.0,.086150,.086150,.086150,
3.0,.085805,.085805,.085805,
4.0,.087062,.087062,.087062,
5.0,.084617,.084617,.084617,
MERGED
TIME:
1.0,30.3643,14.9898,10.9844,
2.0,30.2906,15.4523,11.3838,
3.0,30.1715,14.829,10.1849,
4.0,30.024,14.7702,10.1725,
5.0,30.1953,14.8608,10.5727,
MERGED
THROUGHPUT:
1.0,1.10506e+06,2.23849e+06,3.05474e+06,
2.0,1.10775e+06,2.17149e+06,2.94756e+06,
3.0,1.11212e+06,2.26275e+06,3.29453e+06,
4.0,1.11759e+06,2.27177e+06,3.29856e+06,
5.0,1.11125e+06,2.25792e+06,3.17367e+06,
MERGED
ERROR:
1.0,.085267,.085267,.085267,
2.0,.086150,.086150,.086150,
3.0,.085805,.085805,.085805,
4.0,.087062,.087062,.087062,
5.0,.084617,.084617,.084617,
COLSIZE:,0.0001
NAIVE
TIME:
1.0,34.62,20.6073,15.3657,
2.0,34.2537,20.6606,15.9692,
3.0,34.7977,21.7912,16.2125,
4.0,34.4893,21.2675,16.433,
5.0,34.2677,21.1041,16.4142,
NAIVE
THROUGHPUT:
1.0,969221,1.62828e+06,2.18373e+06,
2.0,979586,1.62408e+06,2.1012e+06,
3.0,964270,1.53982e+06,2.06966e+06,
4.0,972895,1.57773e+06,2.04189e+06,
5.0,979185,1.58995e+06,2.04423e+06,
NAIVE
ERROR:
1.0,.004450,.004450,.004450,
2.0,.0044880,.0044880,.0044880,
3.0,.0045130,.0045130,.0045130,
4.0,.0042465,.0042465,.0042465,
5.0,.0043407,.0043407,.0043407,
MERGED
TIME:
1.0,32.138,19.1958,14.3443,
2.0,31.9026,19.2256,14.7201,
3.0,32.254,19.909,14.7865,
4.0,32.1064,19.6531,14.8585,
5.0,32.1113,19.4808,15.0085,
MERGED
THROUGHPUT:
1.0,1.04407e+06,1.74801e+06,2.33922e+06,
2.0,1.05178e+06,1.7453e+06,2.27949e+06,
3.0,1.04032e+06,1.68539e+06,2.26926e+06,
4.0,1.0451e+06,1.70733e+06,2.25827e+06,
5.0,1.04494e+06,1.72244e+06,2.2357e+06,
MERGED
ERROR:
1.0,.004450,.004450,.004450,
2.0,.0044880,.0044880,.0044880,
3.0,.0045130,.0045130,.0045130,
4.0,.0042465,.0042465,.0042465,
5.0,.0043407,.0043407,.0043407,
COLSIZE:,0.00001
NAIVE
TIME:
1.0,45.2066,25.067,17.5956,
2.0,45.0733,24.6001,17.3067,
3.0,45.4081,24.7156,17.2823,
4.0,46.3054,25.0095,17.4664,
5.0,45.832,24.9235,17.5834,
NAIVE
THROUGHPUT:
1.0,742246,1.33859e+06,1.90698e+06,
2.0,744442,1.364e+06,1.93881e+06,
3.0,738952,1.35762e+06,1.94155e+06,
4.0,724633,1.34167e+06,1.92108e+06,
5.0,732119,1.3463e+06,1.9083e+06,
NAIVE
ERROR:
1.0,.00011616,.00011616,.00011616,
2.0,.00012961,.00012961,.00012961,
3.0,.00014311,.00014311,.00014311,
4.0,.00014431,.00014431,.00014431,
5.0,.00013518,.00013518,.00013518,
MERGED
TIME:
1.0,42.3674,23.0173,15.9771,
2.0,42.4089,22.8929,15.9193,
3.0,42.8122,23.1178,15.8643,
4.0,42.627,22.8743,15.4678,
5.0,42.3084,22.6537,15.3779,
MERGED
THROUGHPUT:
1.0,791987,1.45779e+06,2.10016e+06,
2.0,791212,1.46571e+06,2.10779e+06,
3.0,783759,1.45145e+06,2.11509e+06,
4.0,787163,1.46691e+06,2.16931e+06,
5.0,793092,1.48119e+06,2.18199e+06,
MERGED
ERROR:
1.0,.00011616,.00011616,.00011616,
2.0,.00012961,.00012961,.00012961,
3.0,.00014311,.00014311,.00014311,
4.0,.00014431,.00014431,.00014431,
5.0,.00013518,.00013518,.00013518,
