TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,27.6144,13.6847,8.76665,,27.80746,13.78396,8.792882
2,27.8817,13.8418,8.51782,,,,
3,27.711,13.7808,8.79015,,,,
4,27.8241,13.7712,9.01466,,,,
5,28.0061,13.8413,8.87513,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.0059,1.5131,0.96846,,3.02514,1.5285,0.97844
2,3.0191,1.5278,0.94092,,,,
3,3.0084,1.5261,0.97622,,,,
4,3.0146,1.5181,1.001,,,,
5,3.0777,1.5574,1.0056,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.5209,12.1414,7.79449,,24.695,12.22838,7.813506
2,24.773,12.2848,7.57402,,,,
3,24.6157,12.2294,7.81445,,,,
4,24.7251,12.2219,8.01582,,,,
5,24.8403,12.2644,7.86875,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.22E+06,2.45E+06,3.83E+06,,,,
2,1.20E+06,2.42E+06,3.94E+06,,,,
3,1.21E+06,2.43E+06,3.82E+06,,,,
4,1.21E+06,2.44E+06,3.72E+06,,,,
5,1.20E+06,2.42E+06,3.78E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.26767,0.26767,0.26767,,,,
2,0.26366,0.26366,0.26366,,,,
3,0.2702,0.2702,0.2702,,,,
4,0.26606,0.26605,0.26606,,,,
5,0.23642,0.23642,0.23642,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,27.9691,13.8096,8.71052,,27.95646,13.81646,8.717272
2,28.0161,13.9079,8.69413,,,,
3,27.8691,13.7909,8.80833,,,,
4,27.8097,13.7128,8.64776,,,,
5,28.1183,13.8611,8.72562,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.0495,1.528,0.97061,,3.07572,1.5468,0.977414
2,3.0628,1.545,0.96282,,,,
3,3.0579,1.541,0.9823,,,,
4,3.0961,1.5506,0.983,,,,
5,3.1123,1.5694,0.98834,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,24.8073,12.2278,7.70015,,24.76888,12.2123,7.698704
2,24.8387,12.303,7.6864,,,,
3,24.6983,12.1885,7.78239,,,,
4,24.6058,12.1032,7.62918,,,,
5,24.8943,12.239,7.6954,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.43E+06,3.85E+06,,,,
2,1.20E+06,2.41E+06,3.86E+06,,,,
3,1.20E+06,2.43E+06,3.81E+06,,,,
4,1.21E+06,2.45E+06,3.88E+06,,,,
5,1.19E+06,2.42E+06,3.85E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.2931,0.2931,0.2931,,,,
2,0.28001,0.28001,0.28001,,,,
3,0.25799,0.25799,0.25799,,,,
4,0.26946,0.26946,0.26946,,,,
5,0.25901,0.25901,0.25901,,,,
COLSIZE:,0.001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,26.5688,13.0938,8.51815,,26.584,13.11824,8.480104
2,26.7108,13.2273,8.82655,,,,
3,26.6117,13.0931,8.44285,,,,
4,26.503,13.0806,8.2328,,,,
5,26.5257,13.0964,8.38017,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.0156,1.519,0.9907,,3.03086,1.52844,0.989774
2,3.0274,1.5291,1.01,,,,
3,3.0252,1.5199,0.9794,,,,
4,3.024,1.526,0.97142,,,,
5,3.0621,1.5482,0.99735,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.4652,11.5388,7.51358,,23.46766,11.55566,7.47349
2,23.6004,11.6672,7.77405,,,,
3,23.5016,11.5395,7.45994,,,,
4,23.3912,11.5194,7.25665,,,,
5,23.3799,11.5134,7.36323,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.26E+06,2.56E+06,3.94E+06,,,,
2,1.26E+06,2.54E+06,3.80E+06,,,,
3,1.26E+06,2.56E+06,3.97E+06,,,,
4,1.27E+06,2.57E+06,4.08E+06,,,,
5,1.26E+06,2.56E+06,4.00E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0090519,0.0090515,0.0090519,,,,
2,0.0088816,0.0088816,0.0088751,,,,
3,0.0085864,0.0085864,0.0085864,,,,
4,0.0088484,0.0088484,0.0088484,,,,
5,0.01003,0.01003,0.01003,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,26.7235,13.1479,8.54404,,26.80146,13.18154,8.421858
2,26.8947,13.2276,8.43574,,,,
3,26.8435,13.1587,8.52444,,,,
4,26.7987,13.18,8.26635,,,,
5,26.7469,13.1935,8.33872,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.0637,1.5374,1.0037,,3.09178,1.55134,0.996274
2,3.1147,1.567,1.002,,,,
3,3.0753,1.5353,0.99863,,,,
4,3.1092,1.557,0.98555,,,,
5,3.096,1.56,0.99149,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,23.5475,11.5518,7.50042,,23.59986,11.57168,7.385224
2,23.6733,11.6034,7.38732,,,,
3,23.6585,11.5685,7.4883,,,,
4,23.5769,11.5564,7.24091,,,,
5,23.5431,11.5783,7.30917,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.26E+06,2.55E+06,3.93E+06,,,,
2,1.25E+06,2.54E+06,3.98E+06,,,,
3,1.25E+06,2.55E+06,3.94E+06,,,,
4,1.25E+06,2.55E+06,4.06E+06,,,,
5,1.25E+06,2.54E+06,4.02E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.0080143,0.0080143,0.0080143,,,,
2,0.0087853,0.0087853,0.0087853,,,,
3,0.0091747,0.0091747,0.0091747,,,,
4,0.0083169,0.0083169,0.0083169,,,,
5,0.0088906,0.0088906,0.0088906,,,,
COLSIZE:,0.0001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,25.8683,12.7989,8.31239,,25.93884,12.90422,8.185842
2,25.8734,12.8316,8.31805,,,,
3,26.0072,12.9879,8.18225,,,,
4,26.0202,12.9812,8.14619,,,,
5,25.9251,12.9215,7.97033,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.0697,1.5529,1.0132,,3.11924,1.58532,1.012208
2,3.1435,1.5993,1.0459,,,,
3,3.0928,1.5713,0.99809,,,,
4,3.1368,1.5967,1.0117,,,,
5,3.1534,1.6064,0.99215,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,22.7139,11.2073,7.28194,,22.733,11.2871,7.16105
2,22.6458,11.2066,7.25718,,,,
3,22.8254,11.3865,7.16874,,,,
4,22.7974,11.3407,7.12686,,,,
5,22.6825,11.2944,6.97053,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.30E+06,2.62E+06,4.04E+06,,,,
2,1.30E+06,2.61E+06,4.03E+06,,,,
3,1.29E+06,2.58E+06,4.10E+06,,,,
4,1.29E+06,2.58E+06,4.12E+06,,,,
5,1.29E+06,2.60E+06,4.21E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.00022122,0.00022122,0.00022122,,,,
2,0.00026604,0.00026604,0.00026604,,,,
3,0.00018791,0.00018764,0.00018791,,,,
4,0.00019831,0.00019831,0.00019831,,,,
5,0.00021265,0.00021265,0.00021217,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,25.7314,12.7733,8.21641,,26.0997,12.92484,8.076308
2,26.2116,12.9368,8.21417,,,,
3,26.1826,12.9456,7.99042,,,,
4,26.1472,12.9916,7.99513,,,,
5,26.2257,12.9769,7.96541,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.0799,1.5511,1.001,,3.09876,1.56438,0.980998
2,3.0959,1.5629,0.98824,,,,
3,3.1152,1.571,0.97668,,,,
4,3.0963,1.5658,0.9714,,,,
5,3.1065,1.5711,0.96767,,,,
PADDING WITH BARRIER,,,,,,,
