TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,31.5403,16.6255,11.8508,,31.42614,16.62468,12.00956
2,31.6965,16.6208,11.9099,,,,
3,30.836,16.2692,11.846,,,,
4,31.4435,16.7218,12.4016,,,,
5,31.6144,16.8861,12.0395,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.06E+06,2.02E+06,2.83E+06,,,,
2,1.06E+06,2.02E+06,2.82E+06,,,,
3,1.09E+06,2.06E+06,2.83E+06,,,,
4,1.07E+06,2.01E+06,2.71E+06,,,,
5,1.06E+06,1.99E+06,2.79E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,0.24944,0.2494,0.24943,,,,
2,0.22863,0.2286,0.22862,,,,
3,0.27019,0.27019,0.27019,,,,
4,0.24241,0.2424,0.2424,,,,
5,0.26146,0.26146,0.26145,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,29.0743,15.3244,10.7149,,29.18244,15.39918,10.91316
2,29.4784,15.384,10.6146,,,,
3,28.7484,15.5259,10.9678,,,,
4,29.2777,15.3457,11.0244,,,,
5,29.3334,15.4159,11.2441,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.15E+06,2.19E+06,3.13E+06,,,,
2,1.14E+06,2.18E+06,3.16E+06,,,,
3,1.17E+06,2.16E+06,3.06E+06,,,,
4,1.15E+06,2.19E+06,3.04E+06,,,,
5,1.14E+06,2.18E+06,2.98E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,0.24944,0.24963,0.2493,,,,
2,0.22863,0.22877,0.22843,,,,
3,0.27019,0.27039,0.27014,,,,
4,0.24241,0.24261,0.2423,,,,
5,0.26146,0.26166,0.2614,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,28.3711,14.0172,9.29113,,28.59428,14.08608,9.56884
2,28.5288,13.9903,9.43962,,,,
3,28.2707,13.9443,9.51703,,,,
4,28.6623,14.0657,9.78548,,,,
5,29.1385,14.4129,9.81094,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.18E+06,2.39E+06,3.61E+06,,,,
2,1.18E+06,2.40E+06,3.55E+06,,,,
3,1.19E+06,2.41E+06,3.53E+06,,,,
4,1.17E+06,2.39E+06,3.43E+06,,,,
5,1.15E+06,2.33E+06,3.42E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,0.24944,0.24945,0.24945,,,,
2,0.22863,0.22863,0.22863,,,,
3,0.27019,0.27019,0.27019,,,,
4,0.24241,0.2424,0.24241,,,,
5,0.26146,0.26146,0.26146,,,,
COLSIZE:,0.001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,31.1993,16.3648,11.7497,,31.15664,16.30052,11.42028
2,31.373,16.3027,11.3247,,,,
3,31.143,16.1836,11.467,,,,
4,31.2574,16.5017,11.5749,,,,
5,30.8105,16.1498,10.9851,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.08E+06,2.05E+06,2.86E+06,,,,
2,1.07E+06,2.06E+06,2.96E+06,,,,
3,1.08E+06,2.07E+06,2.93E+06,,,,
4,1.07E+06,2.03E+06,2.90E+06,,,,
5,1.09E+06,2.08E+06,3.05E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,0.008994,0.0089957,0.0090504,,,,
2,0.0083034,0.0083089,0.0083925,,,,
3,0.008038,0.0080519,0.008105,,,,
4,0.0083864,0.0083937,0.0084538,,,,
5,0.0085763,0.0085805,0.0086738,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,28.7998,15.2735,10.5725,,28.66206,15.17044,10.36582
2,28.6734,15.2716,10.6008,,,,
3,28.4566,15.1038,10.5,,,,
4,28.5726,14.8298,10.1128,,,,
5,28.8079,15.3735,10.043,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.17E+06,2.20E+06,3.17E+06,,,,
2,1.17E+06,2.20E+06,3.17E+06,,,,
3,1.18E+06,2.22E+06,3.20E+06,,,,
4,1.17E+06,2.26E+06,3.32E+06,,,,
5,1.16E+06,2.18E+06,3.34E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,0.008994,0.016602,0.01519,,,,
2,0.0083034,0.014996,0.013001,,,,
3,0.008038,0.016161,0.014986,,,,
4,0.0083864,0.016743,0.015628,,,,
5,0.0085763,0.016353,0.015335,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,28.034,13.6397,9.07627,,27.80362,13.5632,8.97599
2,27.8373,13.6668,9.30371,,,,
3,27.8732,13.4717,9.14718,,,,
4,27.6215,13.5046,8.84559,,,,
5,27.6521,13.5332,8.5072,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.46E+06,3.70E+06,,,,
2,1.21E+06,2.46E+06,3.61E+06,,,,
3,1.20E+06,2.49E+06,3.67E+06,,,,
4,1.21E+06,2.48E+06,3.79E+06,,,,
5,1.21E+06,2.48E+06,3.94E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,0.008994,0.0089924,0.0089991,,,,
2,0.0083034,0.0083004,0.0083034,,,,
3,0.008038,0.0080385,0.0080389,,,,
4,0.0083864,0.0083867,0.0083874,,,,
5,0.0085763,0.0085763,0.0085763,,,,
COLSIZE:,0.0001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,30.6111,16.0325,10.9261,,29.25684,15.29416,9.972
2,28.728,15.0044,9.68606,,,,
3,28.8125,15.1015,9.50971,,,,
4,29.1261,15.2222,9.74614,,,,
5,29.0065,15.1102,9.99199,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.10E+06,2.09E+06,3.07E+06,,,,
2,1.17E+06,2.24E+06,3.46E+06,,,,
3,1.16E+06,2.22E+06,3.53E+06,,,,
4,1.15E+06,2.20E+06,3.44E+06,,,,
5,1.16E+06,2.22E+06,3.36E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,0.00022961,0.00030967,0.0010412,,,,
2,0.00019042,0.00046556,0.0019038,,,,
3,0.0002428,0.00038515,0.0016503,,,,
4,0.00025975,0.0004613,0.0018461,,,,
5,0.00021041,0.00046551,0.0019121,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,27.1232,14.1762,8.96575,,27.33546,14.25874,9.07245
2,27.21,14.176,9.01761,,,,
3,27.1925,14.2524,8.81154,,,,
4,27.2101,14.2412,8.9864,,,,
5,27.9415,14.4479,9.58095,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.24E+06,2.37E+06,3.74E+06,,,,
2,1.23E+06,2.37E+06,3.72E+06,,,,
3,1.23E+06,2.35E+06,3.81E+06,,,,
4,1.23E+06,2.36E+06,3.73E+06,,,,
5,1.20E+06,2.32E+06,3.50E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,0.00022961,0.014324,0.014218,,,,
2,0.00019042,0.014644,0.014417,,,,
3,0.0002428,0.014556,0.013957,,,,
4,0.00025975,0.014473,0.014467,,,,
5,0.00021041,0.014604,0.013913,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,26.5209,13.0968,8.14065,,26.54974,13.11852,8.29842
2,26.5514,13.0803,8.34368,,,,
3,26.4775,13.1626,8.10699,,,,
4,26.4871,13.1536,8.15196,,,,
5,26.7118,13.0993,8.74882,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.27E+06,2.56E+06,4.12E+06,,,,
2,1.26E+06,2.57E+06,4.02E+06,,,,
3,1.27E+06,2.55E+06,4.14E+06,,,,
4,1.27E+06,2.55E+06,4.12E+06,,,,
5,1.26E+06,2.56E+06,3.84E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,0.00022961,0.00023355,0.00022462,,,,
2,0.00019042,0.00019042,0.00019038,,,,
3,0.0002428,0.00023978,0.00023862,,,,
4,0.00025975,0.00026022,0.00026031,,,,
5,0.00021041,0.0002091,0.00020646,,,,
COLSIZE:,0.00001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
