TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,27.3627,13.5702,8.37145,,27.57594,13.6692,8.45981
2,27.6605,13.7133,8.53761,,,,
3,27.7763,13.7482,8.38294,,,,
4,27.712,13.7435,8.22351,,,,
5,27.3682,13.5708,8.78354,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,2.9422,1.474,0.9148,,2.9545,1.48316,0.921454
2,2.956,1.4863,0.92363,,,,
3,2.9669,1.4892,0.91078,,,,
4,2.9614,1.4877,0.89705,,,,
5,2.946,1.4786,0.96101,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,24.3347,12.0577,7.445,,24.53522,12.15318,7.529394
2,24.6187,12.1977,7.60009,,,,
3,24.7212,12.2252,7.46782,,,,
4,24.6632,12.2271,7.32404,,,,
5,24.3383,12.0582,7.81002,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.23E+06,2.47E+06,4.01E+06,,,,
2,1.21E+06,2.45E+06,3.93E+06,,,,
3,1.21E+06,2.44E+06,4.00E+06,,,,
4,1.21E+06,2.44E+06,4.08E+06,,,,
5,1.23E+06,2.47E+06,3.82E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.1078,0.1078,0.1078,,,,
2,0.095947,0.095947,0.095947,,,,
3,0.1107,0.1107,0.1107,,,,
4,0.073281,0.073281,0.073295,,,,
5,0.066219,0.066219,0.066219,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,27.5871,13.7199,8.78364,,27.75258,13.7576,8.602198
2,27.7706,13.7383,8.44454,,,,
3,27.7044,13.755,8.36747,,,,
4,27.9057,13.8339,8.63251,,,,
5,27.7951,13.7409,8.78283,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9985,1.5094,0.98069,,2.97916,1.49844,0.942952
2,3.0045,1.5224,0.94187,,,,
3,2.9571,1.4845,0.90716,,,,
4,2.9719,1.4918,0.9283,,,,
5,2.9638,1.4841,0.95674,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.5015,12.1712,7.7982,,24.6881,12.22944,7.649266
2,24.6811,12.2019,7.49281,,,,
3,24.6636,12.2405,7.44792,,,,
4,24.8469,12.3137,7.69401,,,,
5,24.7474,12.2199,7.81339,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.22E+06,2.45E+06,3.82E+06,,,,
2,1.21E+06,2.44E+06,3.97E+06,,,,
3,1.21E+06,2.44E+06,4.01E+06,,,,
4,1.20E+06,2.43E+06,3.89E+06,,,,
5,1.21E+06,2.44E+06,3.82E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.06355,0.06355,0.06355,,,,
2,0.074992,0.074993,0.074992,,,,
3,0.07414,0.074146,0.07414,,,,
4,0.083663,0.083663,0.083664,,,,
5,0.13871,0.13871,0.13871,,,,
COLSIZE:,0.001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,26.4165,13.0575,8.39774,,26.35844,13.05042,8.60786
2,26.3199,12.954,8.63,,,,
3,26.0705,12.9235,8.57084,,,,
4,26.4588,13.172,8.85008,,,,
5,26.5265,13.1451,8.59064,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,2.9663,1.4907,0.95405,,2.96808,1.48698,0.983158
2,2.9608,1.4825,0.99028,,,,
3,2.95,1.4755,0.98174,,,,
4,2.9854,1.4956,1.0092,,,,
5,2.9779,1.4906,0.98052,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,23.3642,11.5413,7.43355,,23.30514,11.5334,7.613166
2,23.276,11.4323,7.6333,,,,
3,23.0335,11.4193,7.57535,,,,
4,23.3899,11.6459,7.82946,,,,
5,23.4621,11.6282,7.59417,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.27E+06,2.57E+06,4.00E+06,,,,
2,1.27E+06,2.59E+06,3.89E+06,,,,
3,1.29E+06,2.60E+06,3.91E+06,,,,
4,1.27E+06,2.55E+06,3.79E+06,,,,
5,1.26E+06,2.55E+06,3.91E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.00087667,0.00087667,0.00087667,,,,
2,0.00080394,0.00080394,0.0007997,,,,
3,0.0009536,0.0009536,0.0009536,,,,
4,0.00081665,0.0008116,0.00081665,,,,
5,0.00084515,0.00084515,0.00084572,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,26.7507,13.1836,8.20216,,26.60722,13.10564,8.5455
2,26.626,13.0668,8.48274,,,,
3,26.6148,13.0788,8.79888,,,,
4,26.4617,13.1473,8.89058,,,,
5,26.5829,13.0517,8.35314,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.029,1.528,0.96738,,3.0161,1.51044,0.994058
2,3.0369,1.5167,1.001,,,,
3,2.9726,1.4813,1.0014,,,,
4,3.059,1.5324,1.0485,,,,
5,2.983,1.4938,0.95201,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.634,11.6365,7.22091,,23.5045,11.56838,7.540346
2,23.5052,11.5197,7.48282,,,,
3,23.5535,11.5678,7.78252,,,,
4,23.3181,11.5842,7.83141,,,,
5,23.5117,11.5337,7.38407,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.25E+06,2.55E+06,4.09E+06,,,,
2,1.26E+06,2.57E+06,3.96E+06,,,,
3,1.26E+06,2.57E+06,3.81E+06,,,,
4,1.27E+06,2.55E+06,3.77E+06,,,,
5,1.26E+06,2.57E+06,4.02E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0007897,0.0007897,0.0007897,,,,
2,0.00091982,0.00091982,0.00091982,,,,
3,0.001202,0.001202,0.0012019,,,,
4,0.0010726,0.0010726,0.0010726,,,,
5,0.000756,0.000756,0.0007566,,,,
COLSIZE:,0.0001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,24.8415,12.251,7.94418,,24.78698,12.28368,7.580232
2,24.523,12.1893,7.47312,,,,
3,25.0392,12.3489,7.56661,,,,
4,25.0635,12.4694,7.55436,,,,
5,24.4677,12.1598,7.36289,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,2.9824,1.4986,0.97108,,3.00408,1.5112,0.938128
2,2.9674,1.5004,0.9151,,,,
3,3.0412,1.5272,0.95078,,,,
4,3.0615,1.541,0.94296,,,,
5,2.9679,1.4888,0.91072,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,21.7753,10.7152,6.96317,,21.69824,10.74014,6.629396
2,21.4728,10.6582,6.54591,,,,
3,21.9139,10.7905,6.59565,,,,
4,21.9153,10.8924,6.6004,,,,
5,21.4139,10.6444,6.44185,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.35E+06,2.74E+06,4.22E+06,,,,
2,1.37E+06,2.75E+06,4.49E+06,,,,
3,1.34E+06,2.72E+06,4.43E+06,,,,
4,1.34E+06,2.69E+06,4.44E+06,,,,
5,1.37E+06,2.76E+06,4.56E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,,,6.40E-01,,,,
2,,6.36E-01,,,,,
3,,2.22E-02,0.00020728,,,,
4,,9.02E-01,1.34E-01,,,,
5,,,,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,24.94,12.3261,7.81786,,24.90264,12.3065,7.57202
2,25.0628,12.4223,7.64432,,,,
3,24.7313,12.2498,7.52685,,,,
4,24.9011,12.2594,7.35403,,,,
5,24.878,12.2749,7.51704,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9828,1.4978,0.95555,,3.01684,1.51594,0.940954
2,3.0421,1.5266,0.95019,,,,
3,3.035,1.5274,0.9504,,,,
4,3.003,1.5064,0.9002,,,,
5,3.0213,1.5215,0.94843,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,21.8738,10.7982,6.84719,,21.80102,10.75778,6.619002
2,21.9374,10.8651,6.67394,,,,
