TAKE,1THR,2THR,4THR,8THR
 
COLSIZE:,0.01
NAIVE
TIME:
1.0,32.6584,16.2718,11.1157,
2.0,32.464,16.1416,11.0126,
3.0,31.6966,15.9456,11.0094,
4.0,32.2188,16.1947,11.0117,
5.0,31.4538,15.7366,10.5211,
NAIVE
THROUGHPUT:
1.0,1.02744e+06,2.06213e+06,3.01866e+06,
2.0,1.03359e+06,2.07876e+06,3.0469e+06,
3.0,1.05861e+06,2.10431e+06,3.04779e+06,
4.0,1.04145e+06,2.07194e+06,3.04716e+06,
5.0,1.06678e+06,2.13226e+06,3.18926e+06,
NAIVE
ERROR:
1.0,.089462,.089462,.089462,
2.0,.074225,.074225,.074225,
3.0,.08038,.08038,.08038,
4.0,.065332,.065332,.065332,
5.0,.076608,.076608,.076608,
MERGED
TIME:
1.0,28.8492,14.1507,9.19194,
2.0,29.0751,14.34,9.64842,
3.0,28.5755,14.0551,9.87936,
4.0,29.0382,14.2635,9.55804,
5.0,28.4764,14.5902,9.92206,
MERGED
THROUGHPUT:
1.0,1.1631e+06,2.37121e+06,3.65042e+06,
2.0,1.15406e+06,2.33991e+06,3.47771e+06,
3.0,1.17424e+06,2.38735e+06,3.39642e+06,
4.0,1.15553e+06,2.35247e+06,3.5106e+06,
5.0,1.17832e+06,2.29979e+06,3.3818e+06,
MERGED
ERROR:
1.0,.089462,.089462,.089462,
2.0,.074225,.074225,.074225,
3.0,.08038,.08038,.08038,
4.0,.065332,.065332,.065332,
5.0,.076608,.076608,.076608,
COLSIZE:,0.001
NAIVE
TIME:
1.0,31.3784,15.6034,10.4467,
2.0,31.5435,15.6826,10.5798,
3.0,31.9122,15.8267,10.9057,
4.0,31.3545,15.5379,10.3256,
5.0,31.7896,15.8398,10.7967,
NAIVE
THROUGHPUT:
1.0,1.06935e+06,2.15046e+06,3.21195e+06,
2.0,1.06375e+06,2.1396e+06,3.17156e+06,
3.0,1.05146e+06,2.12011e+06,3.07679e+06,
4.0,1.07016e+06,2.15952e+06,3.24963e+06,
5.0,1.05551e+06,2.11836e+06,3.10783e+06,
NAIVE
ERROR:
1.0,.0007893,.0007893,.0007893,
2.0,.00080393,.00080393,.00080393,
3.0,.00099411,.00099411,.00099411,
4.0,.0010244,.0010244,.0010244,
5.0,.0013087,.0013087,.0013087,
MERGED
TIME:
1.0,28.1236,14.3869,9.43338,
2.0,28.2528,14.4273,9.64886,
3.0,28.05,13.7291,9.19107,
4.0,28.2229,14.3426,9.36988,
5.0,28.2406,13.9969,9.82716,
MERGED
THROUGHPUT:
1.0,1.19311e+06,2.33229e+06,3.55699e+06,
2.0,1.18765e+06,2.32576e+06,3.47755e+06,
3.0,1.19624e+06,2.44405e+06,3.65076e+06,
4.0,1.18891e+06,2.33949e+06,3.58109e+06,
5.0,1.18816e+06,2.39728e+06,3.41446e+06,
MERGED
ERROR:
1.0,.0007893,.0007893,.0007893,
2.0,.00080393,.00080393,.00080393,
3.0,.00099411,.00099411,.00099411,
4.0,.0010244,.0010244,.0010244,
5.0,.0013087,.0013087,.0013087,
COLSIZE:,0.0001
NAIVE
TIME:
1.0,28.199,13.9456,9.05582,
2.0,29.5917,14.6858,9.88274,
3.0,28.1458,13.8835,8.98149,
4.0,29.1576,14.5008,9.25457,
5.0,30.1945,15.0186,10.1662,
NAIVE
THROUGHPUT:
1.0,1.18992e+06,2.40609e+06,3.70529e+06,
2.0,1.13392e+06,2.28482e+06,3.39526e+06,
3.0,1.19216e+06,2.41685e+06,3.73595e+06,
4.0,1.1508e+06,2.31397e+06,3.62571e+06,
5.0,1.11128e+06,2.23419e+06,3.3006e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,26.226,12.8688,8.38627,
2.0,26.6479,13.0965,8.30846,
3.0,27.5026,13.5297,8.81291,
4.0,26.7637,13.2512,8.2465,
5.0,27.7718,13.7096,8.75853,
MERGED
THROUGHPUT:
1.0,1.27943e+06,2.60742e+06,4.00112e+06,
2.0,1.25918e+06,2.56209e+06,4.03859e+06,
3.0,1.22004e+06,2.48006e+06,3.80742e+06,
4.0,1.25373e+06,2.53218e+06,4.06893e+06,
5.0,1.20822e+06,2.44752e+06,3.83106e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
COLSIZE:,0.00001
NAIVE
TIME:
1.0,27.154,13.5612,8.88072,
2.0,28.3528,14.1072,9.40099,
3.0,28.7839,14.6747,9.84988,
4.0,28.2225,14.0588,9.40833,
5.0,26.9244,13.3446,8.74731,
NAIVE
THROUGHPUT:
1.0,1.23571e+06,2.47429e+06,3.77835e+06,
2.0,1.18346e+06,2.37853e+06,3.56924e+06,
3.0,1.16574e+06,2.28656e+06,3.40658e+06,
4.0,1.18892e+06,2.38672e+06,3.56646e+06,
5.0,1.24625e+06,2.51445e+06,3.83597e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,26.3445,12.9859,8.3602,
2.0,25.1637,12.4427,7.63403,
3.0,25.5625,12.5252,8.163,
4.0,25.0406,12.3541,7.95298,
5.0,25.0816,12.427,8.15277,
MERGED
THROUGHPUT:
1.0,1.27368e+06,2.58391e+06,4.01359e+06,
2.0,1.33345e+06,2.69673e+06,4.39537e+06,
3.0,1.31264e+06,2.67895e+06,4.11055e+06,
4.0,1.34e+06,2.71606e+06,4.2191e+06,
5.0,1.33781e+06,2.70013e+06,4.11571e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
