TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,27.7617,13.7764,8.29507,,27.5285,13.68906,8.406678
2,27.5519,13.683,8.57521,,,,
3,27.399,13.6414,8.39117,,,,
4,27.5756,13.585,8.42614,,,,
5,27.3543,13.7595,8.3458,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9591,1.4895,0.89366,,2.9682,1.49026,0.918638
2,2.9427,1.4756,0.9303,,,,
3,2.957,1.4873,0.91237,,,,
4,2.973,1.4876,0.91901,,,,
5,3.0092,1.5113,0.93785,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.716,12.2632,7.37493,,24.47474,12.17552,7.476912
2,24.5265,12.1815,7.63222,,,,
3,24.357,12.1386,7.4672,,,,
4,24.5158,12.0757,7.50384,,,,
5,24.2584,12.2186,7.40637,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.21E+06,2.44E+06,4.05E+06,,,,
2,1.22E+06,2.45E+06,3.91E+06,,,,
3,1.22E+06,2.46E+06,4.00E+06,,,,
4,1.22E+06,2.47E+06,3.98E+06,,,,
5,1.23E+06,2.44E+06,4.02E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.070508,0.070508,0.070521,,,,
2,0.079721,0.079721,0.079721,,,,
3,0.061373,0.061373,0.061373,,,,
4,0.065512,0.065512,0.065512,,,,
5,0.089704,0.089704,0.089688,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,27.73,13.7426,8.35722,,27.59108,13.6717,8.307622
2,27.7095,13.7562,8.48171,,,,
3,27.3052,13.5776,8.3579,,,,
4,27.8952,13.7603,8.22932,,,,
5,27.3155,13.5218,8.11196,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,2.9482,1.4824,0.89719,,2.99044,1.50238,0.916042
2,3.0202,1.5223,0.94727,,,,
3,2.9743,1.4938,0.91381,,,,
4,3.051,1.527,0.92391,,,,
5,2.9585,1.4864,0.89803,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,24.6777,12.2038,7.42519,,24.49308,12.1184,7.3547
2,24.5837,12.1823,7.49904,,,,
3,24.2226,12.0373,7.40677,,,,
4,24.7345,12.1836,7.26693,,,,
5,24.2469,11.985,7.17557,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.21E+06,2.44E+06,4.02E+06,,,,
2,1.21E+06,2.44E+06,3.96E+06,,,,
3,1.23E+06,2.47E+06,4.01E+06,,,,
4,1.20E+06,2.44E+06,4.08E+06,,,,
5,1.23E+06,2.48E+06,4.14E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.098694,0.098694,0.098694,,,,
2,0.086724,0.086724,0.086724,,,,
3,0.066347,0.066347,0.066347,,,,
4,0.085999,0.085999,0.085999,,,,
5,0.066947,0.066947,0.066947,,,,
COLSIZE:,0.001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,26.5036,13.1675,8.0727,,26.28284,13.05044,7.965088
2,26.1938,12.9417,7.90402,,,,
3,26.4942,13.1659,8.0456,,,,
4,26.2704,13.0241,7.72644,,,,
5,25.9522,12.953,8.07668,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9615,1.4836,0.91712,,2.9741,1.49512,0.914272
2,2.9578,1.4857,0.90989,,,,
3,2.9738,1.4899,0.9154,,,,
4,2.9653,1.4884,0.88379,,,,
5,3.0121,1.528,0.94516,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.4547,11.6538,7.14254,,23.22304,11.52734,7.038152
2,23.1525,11.4277,6.98585,,,,
3,23.4335,11.6469,7.11772,,,,
4,23.2185,11.4956,6.8297,,,,
5,22.856,11.4127,7.11495,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.27E+06,2.55E+06,4.16E+06,,,,
2,1.28E+06,2.59E+06,4.25E+06,,,,
3,1.27E+06,2.55E+06,4.17E+06,,,,
4,1.28E+06,2.58E+06,4.34E+06,,,,
5,1.29E+06,2.59E+06,4.15E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0011395,0.0011395,0.0011395,,,,
2,0.00059712,0.00059712,0.00059712,,,,
3,0.0011021,0.0011024,0.001102,,,,
4,0.00071535,0.0007153,0.00071535,,,,
5,0.00081715,0.00081715,0.00081715,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,26.5116,13.0596,8.17731,,26.39348,13.02306,7.892452
2,26.1348,12.9427,7.8704,,,,
3,26.4431,13.0196,7.8464,,,,
4,26.5535,13.1079,7.80423,,,,
5,26.3244,12.9855,7.76392,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,2.974,1.4859,0.93177,,2.99058,1.50014,0.907806
2,2.9758,1.491,0.90634,,,,
3,3.0436,1.5336,0.92669,,,,
4,2.9835,1.4935,0.8838,,,,
5,2.976,1.4967,0.89043,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,23.4254,11.5195,7.20783,,23.29358,11.47036,6.945064
2,23.0525,11.4029,6.92643,,,,
3,23.2898,11.433,6.87464,,,,
4,23.4598,11.5551,6.87933,,,,
5,23.2404,11.4413,6.83709,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.27E+06,2.57E+06,4.10E+06,,,,
2,1.28E+06,2.59E+06,4.26E+06,,,,
3,1.27E+06,2.58E+06,4.28E+06,,,,
4,1.26E+06,2.56E+06,4.30E+06,,,,
5,1.27E+06,2.58E+06,4.32E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.0008549,0.0008549,0.0008549,,,,
2,0.00077776,0.00077776,0.00077776,,,,
3,0.00089183,0.00089183,0.00089183,,,,
4,0.00081435,0.00081435,0.00081435,,,,
5,0.0011609,0.0011609,0.0011609,,,,
COLSIZE:,0.0001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,24.8571,12.3237,7.40565,,24.75154,12.32506,7.38973
2,24.7277,12.2516,7.44293,,,,
3,24.8851,12.3829,7.43518,,,,
4,24.5271,12.3101,7.24994,,,,
5,24.7607,12.357,7.41495,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9554,1.4887,0.89732,,2.96222,1.49376,0.901636
2,2.9675,1.4884,0.91415,,,,
3,2.9668,1.5002,0.90901,,,,
4,2.9561,1.495,0.88437,,,,
5,2.9653,1.4965,0.90333,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,21.82,10.7951,6.49539,,21.70496,10.7996,6.476472
2,21.6761,10.7363,6.51723,,,,
3,21.8298,10.8518,6.51413,,,,
4,21.4882,10.7845,6.35331,,,,
5,21.7107,10.8303,6.5023,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.35E+06,2.72E+06,4.53E+06,,,,
2,1.36E+06,2.74E+06,4.51E+06,,,,
3,1.35E+06,2.71E+06,4.51E+06,,,,
4,1.37E+06,2.73E+06,4.63E+06,,,,
5,1.36E+06,2.72E+06,4.53E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,1.53E-01,,,,
3,,4.56E-01,0.00011149,,,,
4,,,,,,,
5,,4.30E-01,2.61E-02,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,25.0386,12.3929,7.44681,,24.8792,12.29716,7.313368
2,24.4723,12.0421,7.22559,,,,
3,24.9125,12.3148,7.31315,,,,
4,24.9598,12.372,7.30976,,,,
5,25.0128,12.364,7.27153,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,2.9629,1.4898,0.905,,2.99802,1.50752,0.905902
2,2.974,1.4886,0.89607,,,,
3,3.036,1.5275,0.91768,,,,
4,2.9645,1.4939,0.89022,,,,
5,3.0527,1.5378,0.92054,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,21.9716,10.851,6.50406,,21.77312,10.73118,6.367786
