TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,32.0087,17.512,12.5653,,31.90542,17.27374,12.63706
2,31.6964,17.2632,12.9633,,,,
3,32.2751,17.5182,12.8163,,,,
4,31.3804,16.9187,12.2731,,,,
5,32.1665,17.1566,12.5673,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.05E+06,1.92E+06,2.67E+06,,,,
2,1.06E+06,1.94E+06,2.59E+06,,,,
3,1.04E+06,1.92E+06,2.62E+06,,,,
4,1.07E+06,1.98E+06,2.73E+06,,,,
5,1.04E+06,1.96E+06,2.67E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,0.017366,0.017369,0.01743,,,,
2,0.02371,0.02371,0.023747,,,,
3,0.021616,0.021617,0.021663,,,,
4,0.023608,0.023615,0.02368,,,,
5,0.0070908,0.0070988,0.007195,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,28.9921,15.7842,11.8196,,29.94568,16.03122,11.36348
2,29.5735,15.86,11.1284,,,,
3,30.3697,16.7498,11.703,,,,
4,29.2478,15.702,11.0835,,,,
5,31.5453,16.0601,11.0829,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.16E+06,2.13E+06,2.84E+06,,,,
2,1.13E+06,2.12E+06,3.02E+06,,,,
3,1.10E+06,2.00E+06,2.87E+06,,,,
4,1.15E+06,2.14E+06,3.03E+06,,,,
5,1.06E+06,2.09E+06,3.03E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,0.017366,0.020053,0.0185,,,,
2,0.02371,0.02647,0.024505,,,,
3,0.021616,0.024886,0.022564,,,,
4,0.023608,0.026309,0.024479,,,,
5,0.0070908,0.014175,0.0091629,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,29.0183,14.397,10.1706,,28.91812,14.26456,9.94369
2,28.7031,14.1397,9.87495,,,,
3,29.5325,14.6058,10.1549,,,,
4,28.7259,14.1226,9.84813,,,,
5,28.6108,14.0577,9.66987,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.16E+06,2.33E+06,3.30E+06,,,,
2,1.17E+06,2.37E+06,3.40E+06,,,,
3,1.14E+06,2.30E+06,3.30E+06,,,,
4,1.17E+06,2.38E+06,3.41E+06,,,,
5,1.17E+06,2.39E+06,3.47E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,0.017366,0.017366,0.017366,,,,
2,0.02371,0.02371,0.02371,,,,
3,0.021616,0.021608,0.021616,,,,
4,0.023608,0.023608,0.023608,,,,
5,0.0070908,0.0070908,0.0070908,,,,
COLSIZE:,0.001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,31.239,16.8148,12.1892,,30.72408,16.62604,11.98806
2,30.9396,16.655,12.1061,,,,
3,30.3724,16.4182,11.77,,,,
4,30.45,16.6443,11.9792,,,,
5,30.6194,16.5979,11.8958,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.07E+06,2.00E+06,2.75E+06,,,,
2,1.08E+06,2.01E+06,2.77E+06,,,,
3,1.10E+06,2.04E+06,2.85E+06,,,,
4,1.10E+06,2.02E+06,2.80E+06,,,,
5,1.10E+06,2.02E+06,2.82E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,,0.0005105,0.00137,,,,
2,,0.0006097,0.0015094,,,,
3,,0.00050283,0.0018971,,,,
4,,0.0006349,0.0019647,,,,
5,,0.000646,0.0018323,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,29.2164,15.4685,11.3994,,28.74474,15.49186,11.12192
2,28.057,15.1453,10.2902,,,,
3,29.7946,16.1444,11.8099,,,,
4,28.2094,15.3407,10.7836,,,,
5,28.4463,15.3604,11.3265,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.15E+06,2.17E+06,2.94E+06,,,,
2,1.20E+06,2.22E+06,3.26E+06,,,,
3,1.13E+06,2.08E+06,2.84E+06,,,,
4,1.19E+06,2.19E+06,3.11E+06,,,,
5,1.18E+06,2.18E+06,2.96E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,,0.013011,0.0083857,,,,
2,,0.01196,0.0059741,,,,
3,,0.012139,0.0081956,,,,
4,,0.011941,0.0072243,,,,
5,,0.01206,0.0071667,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,27.7568,13.6206,9.36965,,27.61018,13.58046,9.29286
2,27.8163,13.5086,9.15981,,,,
3,27.9653,13.7024,9.35089,,,,
4,26.9038,13.3552,9.13059,,,,
5,27.6087,13.7155,9.45336,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.21E+06,2.46E+06,3.58E+06,,,,
2,1.21E+06,2.48E+06,3.66E+06,,,,
3,1.20E+06,2.45E+06,3.59E+06,,,,
4,1.25E+06,2.51E+06,3.67E+06,,,,
5,1.22E+06,2.45E+06,3.55E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,,6.21E-02,2.63E-01,,,,
2,,9.52E-01,3.15E-01,,,,
3,,7.83E-01,0.00026811,,,,
4,,8.96E-01,7.22E-01,,,,
5,,8.99E-01,3.62E-01,,,,
COLSIZE:,0.0001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,29.5145,15.9949,11.6954,,28.77964,15.61346,11.19994
2,28.02,15.1972,10.7654,,,,
3,28.8119,15.6618,11.3482,,,,
4,28.4706,15.3792,10.5772,,,,
5,29.0812,15.8342,11.6135,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.14E+06,2.10E+06,2.87E+06,,,,
2,1.20E+06,2.21E+06,3.12E+06,,,,
3,1.16E+06,2.14E+06,2.96E+06,,,,
4,1.18E+06,2.18E+06,3.17E+06,,,,
5,1.15E+06,2.12E+06,2.89E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,,0.0005016,0.0017645,,,,
2,,0.00066074,0.0021618,,,,
3,,0.00056718,0.001827,,,,
4,,0.00063537,0.0020428,,,,
5,,0.00060886,0.001827,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,26.289,14.2714,9.72895,,26.11446,14.21314,9.7597
2,25.8654,14.148,9.81665,,,,
3,25.9999,14.143,9.72828,,,,
4,26.4395,14.3844,9.68721,,,,
5,25.9785,14.1189,9.83741,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.28E+06,2.35E+06,3.45E+06,,,,
2,1.30E+06,2.37E+06,3.42E+06,,,,
3,1.29E+06,2.37E+06,3.45E+06,,,,
4,1.27E+06,2.33E+06,3.46E+06,,,,
5,1.29E+06,2.38E+06,3.41E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,,0.011995,0.0061381,,,,
2,,0.01211,0.006,,,,
3,,0.011991,0.006274,,,,
4,,0.011955,0.0061373,,,,
5,,0.011634,0.0066392,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,25.1452,12.3147,8.24423,,25.0166,12.31818,8.353748
2,24.8701,12.3565,8.56611,,,,
3,24.8962,12.2254,8.54373,,,,
4,25.4701,12.4772,8.17117,,,,
5,24.7014,12.2171,8.2435,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.33E+06,2.72E+06,4.07E+06,,,,
2,1.35E+06,2.72E+06,3.92E+06,,,,
3,1.35E+06,2.74E+06,3.93E+06,,,,
4,1.32E+06,2.69E+06,4.11E+06,,,,
5,1.36E+06,2.75E+06,4.07E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,,8.04E-01,6.24E-02,,,,
2,,0.00021996,9.43E-01,,,,
3,,6.46E-01,3.14E-01,,,,
4,,4.63E-01,7.13E-01,,,,
5,,6.40E-01,0.00017958,,,,
COLSIZE:,0.00001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,26.9741,14.753,10.5481,,27.4804,15.04786,10.6976
2,27.1046,14.6939,10.3316,,,,
3,28.4271,15.6285,11.4706,,,,
4,26.8268,14.6312,10.0677,,,,
5,28.0694,15.5327,11.07,,,,
NAIVE,,,,,,,
