TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,28.1334,13.9386,9.7169,,27.97414,13.99254,9.710678
2,27.8191,13.9383,9.67503,,,,
3,27.9629,14.0904,9.90696,,,,
4,28.007,13.9824,9.57835,,,,
5,27.9483,14.013,9.67615,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.3127,1.6505,1.1377,,3.29886,1.66076,1.1413
2,3.2809,1.6599,1.137,,,,
3,3.3025,1.6714,1.1655,,,,
4,3.301,1.662,1.1268,,,,
5,3.2972,1.66,1.1395,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,24.732,12.2485,8.5711,,24.59028,12.29624,8.561008
2,24.4553,12.25,8.53272,,,,
3,24.5778,12.3819,8.73179,,,,
4,24.6191,12.2874,8.44508,,,,
5,24.5672,12.3134,8.52435,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.19E+06,2.41E+06,3.45E+06,,,,
2,1.21E+06,2.41E+06,3.47E+06,,,,
3,1.20E+06,2.38E+06,3.39E+06,,,,
4,1.20E+06,2.40E+06,3.50E+06,,,,
5,1.20E+06,2.39E+06,3.47E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.0458,0.0458,0.0458,,,,
2,0.2219,0.2219,0.2219,,,,
3,0.2588,0.2588,0.2588,,,,
4,0.16,0.16,0.16,,,,
5,0.3454,0.3454,0.3454,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,28.4877,13.8966,9.43882,,28.3641,13.9246,9.604242
2,28.309,13.9932,9.87617,,,,
3,28.3602,13.943,9.54758,,,,
4,28.3887,13.9229,9.80039,,,,
5,28.2749,13.8673,9.35825,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3674,1.6544,1.1144,,3.35048,1.66012,1.134
2,3.3357,1.6684,1.1626,,,,
3,3.3466,1.6579,1.1274,,,,
4,3.3644,1.6703,1.1633,,,,
5,3.3383,1.6496,1.1023,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,25.0289,12.2,8.31647,,24.92666,12.22842,8.456158
2,24.8884,12.2943,8.7086,,,,
3,24.9295,12.2474,8.41334,,,,
4,24.9351,12.2192,8.62488,,,,
5,24.8514,12.1812,8.2175,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.18E+06,2.41E+06,3.55E+06,,,,
2,1.19E+06,2.40E+06,3.40E+06,,,,
3,1.18E+06,2.41E+06,3.51E+06,,,,
4,1.18E+06,2.41E+06,3.42E+06,,,,
5,1.19E+06,2.42E+06,3.59E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.1387,0.1387,0.1387,,,,
2,0.2842,0.2842,0.2842,,,,
3,0.0234,0.0234,0.0234,,,,
4,0.0476,0.0476,0.0476,,,,
5,0.275,0.275,0.275,,,,
COLSIZE:,0.001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,26.945,13.3012,8.71743,,27.01572,13.42038,9.182784
2,27.0028,13.3308,9.02888,,,,
3,26.9885,13.3912,9.32063,,,,
4,26.9823,13.3881,9.35478,,,,
5,27.16,13.6906,9.4922,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.2858,1.641,1.0731,,3.30298,1.66532,1.13276
2,3.3069,1.659,1.1155,,,,
3,3.3012,1.664,1.1476,,,,
4,3.3006,1.667,1.1546,,,,
5,3.3204,1.6956,1.173,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,23.573,11.622,7.62967,,23.62914,11.7201,8.037916
2,23.6122,11.6366,7.90484,,,,
3,23.6052,11.6958,8.15972,,,,
4,23.5992,11.6927,8.18765,,,,
5,23.7561,11.9534,8.3077,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.25E+06,2.52E+06,3.85E+06,,,,
2,1.24E+06,2.52E+06,3.72E+06,,,,
3,1.24E+06,2.51E+06,3.60E+06,,,,
4,1.24E+06,2.51E+06,3.59E+06,,,,
5,1.24E+06,2.45E+06,3.53E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,3.60E-01,,,,
5,,7.87E-01,,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,27.2825,13.3473,9.07412,,27.43858,13.4535,9.369914
2,27.3941,13.3531,9.28949,,,,
3,27.4087,13.4005,9.35553,,,,
4,27.4343,13.554,9.47022,,,,
5,27.6733,13.6126,9.66021,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.343,1.6561,1.123,,3.36276,1.6756,1.16002
2,3.365,1.6694,1.1541,,,,
3,3.3526,1.6689,1.155,,,,
4,3.3538,1.687,1.1691,,,,
5,3.3994,1.6966,1.1989,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.8508,11.6515,7.93817,,23.99072,11.74488,8.196584
2,23.9438,11.6482,8.1201,,,,
3,23.973,11.7027,8.18937,,,,
4,23.9967,11.8391,8.28908,,,,
5,24.1893,11.8829,8.4462,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.23E+06,2.51E+06,3.70E+06,,,,
2,1.22E+06,2.51E+06,3.61E+06,,,,
3,1.22E+06,2.50E+06,3.59E+06,,,,
4,1.22E+06,2.48E+06,3.54E+06,,,,
5,1.21E+06,2.46E+06,3.47E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.098406,0.098406,0.098406,,,,
2,,6.95E-01,,,,,
3,,,,,,,
4,,,,,,,
5,0.13974,0.13974,0.13974,,,,
COLSIZE:,0.0001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,27.9879,14.2067,10.4369,,28.0812,14.1237,10.203614
2,27.9222,14.0274,10.0886,,,,
3,28.2414,14.0382,9.93057,,,,
4,28.2175,14.0137,10.1504,,,,
5,28.037,14.3325,10.4116,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.3358,1.7074,1.2474,,3.35298,1.69808,1.2197
2,3.3472,1.6916,1.2071,,,,
3,3.3668,1.6846,1.1861,,,,
4,3.3688,1.6872,1.2091,,,,
5,3.3463,1.7196,1.2488,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,24.5572,12.4579,9.1607,,24.63122,12.37424,8.950634
2,24.4829,12.2825,8.85206,,,,
3,24.7723,12.2966,8.7006,,,,
4,24.7483,12.2775,8.9037,,,,
5,24.5954,12.5567,9.13611,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.36E+06,3.21E+06,,,,
2,1.20E+06,2.39E+06,3.33E+06,,,,
3,1.19E+06,2.39E+06,3.38E+06,,,,
4,1.19E+06,2.39E+06,3.31E+06,,,,
5,1.20E+06,2.34E+06,3.22E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,4.36E-01,,,,,
4,,8.00E-04,,,,,
5,,,,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,28.3275,14.0032,10.2499,,28.4676,14.11948,10.28048
2,28.2577,14.0455,10.1108,,,,
3,28.546,14.0144,10.2707,,,,
4,28.6015,13.9964,10.3007,,,,
5,28.6053,14.5379,10.4703,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3782,1.685,1.2287,,3.39626,1.69524,1.22908
2,3.3737,1.689,1.2087,,,,
3,3.4101,1.6852,1.2241,,,,
4,3.4201,1.687,1.2284,,,,
5,3.3992,1.73,1.2555,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.8556,12.2791,8.99823,,24.97374,12.37276,9.02063
2,24.7918,12.3058,8.87799,,,,
3,25.0354,12.2717,8.99951,,,,
4,25.0788,12.262,9.03367,,,,
5,25.1071,12.7452,9.19375,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.18E+06,2.40E+06,3.27E+06,,,,
2,1.19E+06,2.39E+06,3.32E+06,,,,
