TAKE,1THR,2THR,4THR,8THR
 
COLSIZE:,0.01
NAIVE
TIME:
1.0,31.8874,16.0727,10.5601,
2.0,31.9053,16.0775,11.102,
3.0,31.8786,16.0663,10.7257,
4.0,31.8102,16.1188,10.6708,
5.0,32.0121,16.1883,10.7791,
NAIVE
THROUGHPUT:
1.0,1.05228e+06,2.08767e+06,3.17747e+06,
2.0,1.05169e+06,2.08704e+06,3.02237e+06,
3.0,1.05257e+06,2.0885e+06,3.12841e+06,
4.0,1.05483e+06,2.0817e+06,3.1445e+06,
5.0,1.04818e+06,2.07276e+06,3.11291e+06,
NAIVE
ERROR:
1.0,.0175,.0175,.0175,
2.0,.1611,.1611,.1611,
3.0,.1703,.1703,.1703,
4.0,.2293,.2293,.2293,
5.0,.116,.116,.116,
MERGED
TIME:
1.0,28.9671,14.2984,9.00345,
2.0,28.8563,14.2255,9.05874,
3.0,28.785,14.1555,8.86782,
4.0,28.6286,14.1521,8.71769,
5.0,28.633,14.1247,8.99971,
MERGED
THROUGHPUT:
1.0,1.15836e+06,2.34673e+06,3.72684e+06,
2.0,1.16281e+06,2.35876e+06,3.7041e+06,
3.0,1.16569e+06,2.37041e+06,3.78384e+06,
4.0,1.17206e+06,2.37099e+06,3.849e+06,
5.0,1.17188e+06,2.37559e+06,3.72839e+06,
MERGED
ERROR:
1.0,.0175,.0175,.0175,
2.0,.1611,.1611,.1611,
3.0,.1703,.1703,.1703,
4.0,.2293,.2293,.2293,
5.0,.116,.116,.116,
COLSIZE:,0.001
NAIVE
TIME:
1.0,33.4605,16.7278,11.4873,
2.0,33.667,16.8527,11.8234,
3.0,33.9778,17.1561,12.2099,
4.0,33.7464,16.9852,12.1178,
5.0,33.7831,16.872,12.3458,
NAIVE
THROUGHPUT:
1.0,1.00281e+06,2.00591e+06,2.92101e+06,
2.0,996657,1.99104e+06,2.83796e+06,
3.0,987539,1.95583e+06,2.74813e+06,
4.0,994313,1.97551e+06,2.76901e+06,
5.0,993231,1.98877e+06,2.71787e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,.097956,.097956,.097956,
MERGED
TIME:
1.0,30.3018,14.858,9.70787,
2.0,30.3824,14.9539,9.88892,
3.0,30.3491,14.9242,10.3245,
4.0,30.5233,15.1005,10.3031,
5.0,30.5486,14.9649,10.3312,
MERGED
THROUGHPUT:
1.0,1.10734e+06,2.25835e+06,3.45641e+06,
2.0,1.1044e+06,2.24386e+06,3.39313e+06,
3.0,1.10562e+06,2.24832e+06,3.24998e+06,
4.0,1.09931e+06,2.22207e+06,3.25674e+06,
5.0,1.0984e+06,2.24221e+06,3.24787e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,.097956,.097956,.097956,
COLSIZE:,0.0001
NAIVE
TIME:
1.0,32.1903,20.7743,17.9599,
2.0,32.2572,20.6656,18.234,
3.0,33.2725,21.6718,18.8642,
4.0,33.4607,22.1281,19.0796,
5.0,33.5631,22.1373,18.7904,
NAIVE
THROUGHPUT:
1.0,1.04238e+06,1.61519e+06,1.86829e+06,
2.0,1.04021e+06,1.62368e+06,1.84021e+06,
3.0,1.00847e+06,1.5483e+06,1.77873e+06,
4.0,1.0028e+06,1.51637e+06,1.75866e+06,
5.0,999743,1.51574e+06,1.78572e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,29.4894,18.8592,16.4169,
2.0,29.6306,18.8362,16.5112,
3.0,29.5419,19.072,16.7501,
4.0,29.7306,19.3779,16.7368,
5.0,29.8658,19.3733,16.6468,
MERGED
THROUGHPUT:
1.0,1.13785e+06,1.7792e+06,2.04389e+06,
2.0,1.13242e+06,1.78138e+06,2.03222e+06,
3.0,1.13583e+06,1.75936e+06,2.00323e+06,
4.0,1.12862e+06,1.73158e+06,2.00483e+06,
5.0,1.12351e+06,1.732e+06,2.01567e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
COLSIZE:,0.00001
NAIVE
TIME:
1.0,36.851,26.2172,20.4515,
2.0,36.7029,26.0033,20.4132,
3.0,38.2513,26.9754,20.9026,
4.0,37.2372,26.4815,20.154,
5.0,37.1114,26.2815,20.0132,
NAIVE
THROUGHPUT:
1.0,910542,1.27986e+06,1.64068e+06,
2.0,914219,1.29039e+06,1.64376e+06,
3.0,877210,1.24389e+06,1.60528e+06,
4.0,901100,1.26709e+06,1.6649e+06,
5.0,904155,1.27673e+06,1.67661e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,33.6041,24.311,19.0524,
2.0,33.5959,24.2495,18.7339,
3.0,33.9907,24.6063,18.8017,
4.0,33.9737,24.5646,18.6598,
5.0,33.8286,24.4634,18.5972,
MERGED
THROUGHPUT:
1.0,998522,1.38022e+06,1.76117e+06,
2.0,998766,1.38372e+06,1.79111e+06,
3.0,987165,1.36365e+06,1.78465e+06,
4.0,987659,1.36597e+06,1.79822e+06,
5.0,991896,1.37162e+06,1.80428e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
