TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,27.7412,13.8717,8.04012,,27.736,13.84006,7.991408
2,27.8581,13.9,8.0146,,,,
3,27.6172,13.7767,7.93614,,,,
4,27.8465,13.876,7.92882,,,,
5,27.617,13.7759,8.03736,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.262,1.6457,0.94899,,3.2713,1.64308,0.947
2,3.2886,1.651,0.95121,,,,
3,3.2579,1.6343,0.94061,,,,
4,3.2893,1.6503,0.94196,,,,
5,3.2587,1.6341,0.95223,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.3937,12.188,7.08145,,24.38072,12.1601,7.033142
2,24.4843,12.2189,7.05336,,,,
3,24.2776,12.1006,6.98275,,,,
4,24.4714,12.1943,6.97445,,,,
5,24.2766,12.0987,7.0737,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.21E+06,2.42E+06,4.17E+06,,,,
2,1.20E+06,2.41E+06,4.19E+06,,,,
3,1.21E+06,2.44E+06,4.23E+06,,,,
4,1.20E+06,2.42E+06,4.23E+06,,,,
5,1.21E+06,2.44E+06,4.17E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0096,0.0096,0.0096,,,,
2,0.2279,0.2279,0.2279,,,,
3,0.197,0.197,0.197,,,,
4,0.232,0.232,0.232,,,,
5,0.2497,0.2497,0.2497,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,27.9644,13.8869,8.07175,,27.98108,13.86226,8.04915
2,28.079,13.9077,7.99043,,,,
3,27.9394,13.8091,8.14353,,,,
4,28.0818,13.9127,8.04854,,,,
5,27.8408,13.7949,7.9915,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.3043,1.6561,0.95693,,3.31164,1.65292,0.958086
2,3.319,1.6547,0.94926,,,,
3,3.3123,1.6497,0.97351,,,,
4,3.3375,1.6661,0.9627,,,,
5,3.2851,1.638,0.94803,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,24.5474,12.1792,7.08074,,24.55958,12.15306,7.057042
2,24.6488,12.1962,7.00499,,,,
3,24.5205,12.1016,7.13816,,,,
4,24.6334,12.1901,7.04963,,,,
5,24.4478,12.0982,7.01169,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.42E+06,4.16E+06,,,,
2,1.20E+06,2.41E+06,4.20E+06,,,,
3,1.20E+06,2.43E+06,4.12E+06,,,,
4,1.19E+06,2.41E+06,4.17E+06,,,,
5,1.21E+06,2.43E+06,4.20E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.1462,0.1462,0.1462,,,,
2,0.0413,0.0413,0.0413,,,,
3,0.165,0.165,0.165,,,,
4,0.156,0.156,0.156,,,,
5,0.17,0.17,0.17,,,,
COLSIZE:,0.001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,26.7265,13.2175,7.75384,,26.96674,13.44016,8.740022
2,26.8364,13.3174,8.14358,,,,
3,26.9127,13.319,8.88856,,,,
4,27.1499,13.5631,9.30444,,,,
5,27.2082,13.7838,9.60969,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.2572,1.6326,0.95959,,3.2973,1.66466,1.079438
2,3.2828,1.6577,1.0106,,,,
3,3.2918,1.6478,1.098,,,,
4,3.3232,1.68,1.147,,,,
5,3.3315,1.7052,1.182,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.3874,11.5434,6.78076,,23.58378,11.73736,7.644436
2,23.4673,11.6248,7.11953,,,,
3,23.5392,11.6284,7.77482,,,,
4,23.7367,11.8467,8.1386,,,,
5,23.7883,12.0435,8.40847,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.26E+06,2.54E+06,4.33E+06,,,,
2,1.25E+06,2.52E+06,4.12E+06,,,,
3,1.25E+06,2.52E+06,3.78E+06,,,,
4,1.24E+06,2.47E+06,3.61E+06,,,,
5,1.23E+06,2.43E+06,3.49E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,,,9.57E-01,,,,
2,,,,,,,
3,0.097544,0.097544,0.097544,,,,
4,,2.55E-01,6.99E-01,,,,
5,,8.45E-01,,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,27.0275,13.2486,7.72098,,27.40002,13.53196,8.93157
2,27.1645,13.3327,8.56349,,,,
3,27.3781,13.4018,9.17937,,,,
4,27.648,13.719,9.4781,,,,
5,27.782,13.9577,9.71591,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.3243,1.6512,0.96791,,3.36186,1.68186,1.106722
2,3.3276,1.6587,1.0599,,,,
3,3.3684,1.6718,1.1397,,,,
4,3.3847,1.699,1.169,,,,
5,3.4043,1.7286,1.1971,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,23.5959,11.5396,6.72219,,23.92516,11.7924,7.7838
2,23.7229,11.6212,7.46487,,,,
3,23.9018,11.6727,7.99739,,,,
4,24.1445,11.9604,8.26318,,,,
5,24.2607,12.1681,8.47137,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.24E+06,2.53E+06,4.35E+06,,,,
2,1.24E+06,2.52E+06,3.92E+06,,,,
3,1.23E+06,2.50E+06,3.66E+06,,,,
4,1.21E+06,2.45E+06,3.54E+06,,,,
5,1.21E+06,2.40E+06,3.45E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
COLSIZE:,0.0001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,28.0752,14.6204,10.7751,,28.32122,14.97622,11.22332
2,28.4562,14.9138,11.141,,,,
3,28.2672,14.8042,11.3373,,,,
4,28.6041,15.293,11.3695,,,,
5,28.2034,15.2497,11.4937,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3551,1.7622,1.292,,3.39588,1.80426,1.3434
2,3.4281,1.809,1.3423,,,,
3,3.4094,1.7958,1.3756,,,,
4,3.411,1.8243,1.3471,,,,
5,3.3758,1.83,1.36,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.6255,12.8199,9.4578,,24.82782,13.12438,9.844444
2,24.9281,13.0606,9.75229,,,,
3,24.7635,12.9548,9.93925,,,,
4,25.0873,13.4218,9.97868,,,,
5,24.7347,13.3648,10.0942,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.30E+06,3.11E+06,,,,
2,1.18E+06,2.25E+06,3.01E+06,,,,
3,1.19E+06,2.27E+06,2.96E+06,,,,
4,1.17E+06,2.19E+06,2.95E+06,,,,
5,1.19E+06,2.20E+06,2.92E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,,8.96E-01,2.54E-01,,,,
2,,8.64E-01,3.83E-01,,,,
3,,,,,,,
4,,8.92E-01,,,,,
5,,,,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,28.825,14.8915,11.0355,,28.967,15.13406,11.33138
2,29.0791,15.0234,11.1669,,,,
3,28.9205,15.0758,11.5305,,,,
4,29.2171,15.2334,11.4171,,,,
5,28.7933,15.4462,11.5069,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.4291,1.7848,1.3106,,3.45562,1.8137,1.34868
2,3.461,1.7974,1.3245,,,,
3,3.482,1.8256,1.4021,,,,
4,3.4754,1.8153,1.3468,,,,
5,3.4306,1.8454,1.3594,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,25.2695,13.0471,9.6667,,25.38404,13.24866,9.91394
2,25.4861,13.1501,9.76331,,,,
3,25.315,13.183,10.0676,,,,
4,25.6079,13.3397,9.98969,,,,
5,25.2417,13.5234,10.0824,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
