TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,31.7885,16.5335,11.5582,,31.7478,16.53136,11.5228
2,32.0607,16.6362,11.5731,,,,
3,31.4137,16.5247,11.4079,,,,
4,31.506,16.4302,11.5676,,,,
5,31.9701,16.5322,11.5072,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.06E+06,2.03E+06,2.90E+06,,,,
2,1.05E+06,2.02E+06,2.90E+06,,,,
3,1.07E+06,2.03E+06,2.94E+06,,,,
4,1.07E+06,2.04E+06,2.90E+06,,,,
5,1.05E+06,2.03E+06,2.92E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,0.1202,0.1202,0.1201,,,,
2,0.0666,0.0666,0.0665,,,,
3,0.2669,0.2668,0.2666,,,,
4,0.1541,0.154,0.15,,,,
5,0.1775,0.1774,0.1773,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,28.8041,15.1529,10.395,,28.9847,15.15726,10.36566
2,29.0234,15.184,10.3556,,,,
3,29.0274,15.1291,10.3632,,,,
4,29.0316,15.1436,10.4541,,,,
5,29.037,15.1767,10.2604,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.16E+06,2.21E+06,3.23E+06,,,,
2,1.16E+06,2.21E+06,3.24E+06,,,,
3,1.16E+06,2.22E+06,3.24E+06,,,,
4,1.16E+06,2.22E+06,3.21E+06,,,,
5,1.16E+06,2.21E+06,3.27E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,0.1202,0.1192,0.1179,,,,
2,0.0666,0.0653,0.0641,,,,
3,0.2669,0.2654,0.263,,,,
4,0.1541,0.1527,0.1512,,,,
5,0.1775,0.1761,0.175,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,28.6907,14.1755,9.40034,,28.80776,14.18678,9.558172
2,28.962,14.2606,9.63385,,,,
3,28.6573,14.174,9.73807,,,,
4,28.7948,14.1299,9.54002,,,,
5,28.934,14.1939,9.47858,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.17E+06,2.37E+06,3.57E+06,,,,
2,1.16E+06,2.35E+06,3.48E+06,,,,
3,1.17E+06,2.37E+06,3.45E+06,,,,
4,1.17E+06,2.37E+06,3.52E+06,,,,
5,1.16E+06,2.36E+06,3.54E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,0.1202,0.1202,0.1202,,,,
2,0.0666,0.0666,0.0666,,,,
3,0.2669,0.2669,0.2669,,,,
4,0.1541,0.1541,0.1541,,,,
5,0.1775,0.1775,0.1775,,,,
COLSIZE:,0.001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,32.7153,16.6437,11.6749,,32.84012,16.6647,11.48188
2,32.79,16.808,11.8981,,,,
3,32.8419,16.6117,11.2804,,,,
4,33.0088,16.6494,11.1821,,,,
5,32.8446,16.6107,11.3739,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.03E+06,2.02E+06,2.87E+06,,,,
2,1.02E+06,2.00E+06,2.82E+06,,,,
3,1.02E+06,2.02E+06,2.97E+06,,,,
4,1.02E+06,2.02E+06,3.00E+06,,,,
5,1.02E+06,2.02E+06,2.95E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,,2.53E-01,6.58E-01,,,,
2,,5.64E-01,4.87E-01,,,,
3,,8.06E-01,5.17E-01,,,,
4,,2.18E-01,6.93E-02,,,,
5,,6.51E-02,6.26E-01,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,30.2297,15.0898,10.2482,,30.23338,15.08554,10.02263
2,30.2235,15.1194,10.1223,,,,
3,30.1822,15.0574,9.71134,,,,
4,30.3261,15.1067,9.95171,,,,
5,30.2054,15.0544,10.0796,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.11E+06,2.22E+06,3.27E+06,,,,
2,1.11E+06,2.22E+06,3.31E+06,,,,
3,1.11E+06,2.23E+06,3.46E+06,,,,
4,1.11E+06,2.22E+06,3.37E+06,,,,
5,1.11E+06,2.23E+06,3.33E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,,0.00037907,0.0011912,,,,
2,,0.00038054,0.0011894,,,,
3,,0.00037539,0.001192,,,,
4,,0.00037571,0.001142,,,,
5,,0.0003627,0.0011241,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,27.8475,13.5917,9.14033,,27.85354,13.59684,9.015064
2,27.8906,13.6177,9.05953,,,,
3,27.7551,13.5769,8.71579,,,,
4,27.9456,13.6156,8.98063,,,,
5,27.8289,13.5823,9.17904,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.20E+06,2.47E+06,3.67E+06,,,,
2,1.20E+06,2.46E+06,3.70E+06,,,,
3,1.21E+06,2.47E+06,3.85E+06,,,,
4,1.20E+06,2.46E+06,3.74E+06,,,,
5,1.21E+06,2.47E+06,3.66E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,2.88E-01,,,,,
3,,6.15E-01,9.61E-01,,,,
4,,7.73E-01,9.56E-01,,,,
5,,8.75E-01,,,,,
COLSIZE:,0.0001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,31.9066,16.3274,11.5437,,32.37808,16.64968,12.06334
2,32.9347,17.1107,12.1991,,,,
3,31.8897,16.2211,11.9746,,,,
4,31.9183,16.3935,12.1371,,,,
5,33.2411,17.1957,12.4622,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
1,1.05E+06,2.06E+06,2.91E+06,,,,
2,1.02E+06,1.96E+06,2.75E+06,,,,
3,1.05E+06,2.07E+06,2.80E+06,,,,
4,1.05E+06,2.05E+06,2.76E+06,,,,
5,1.01E+06,1.95E+06,2.69E+06,,,,
NAIVE,,,,,,,
ERROR:,,,,,,,
1,,,9.82E-01,,,,
2,,2.29E-01,6.45E-01,,,,
3,,3.68E-01,5.93E-01,,,,
4,,1.85E-01,6.98E-01,,,,
5,,2.35E-01,4.49E-01,,,,
MERGED,,,,,,,
TIME:,,,,,,,
1,29.6368,14.5808,9.99111,,29.65402,14.7165,10.191502
2,29.7234,14.8013,10.0614,,,,
3,29.5405,14.6395,10.4733,,,,
4,29.4757,14.6453,10.1618,,,,
5,29.8937,14.9156,10.2699,,,,
MERGED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.13E+06,2.30E+06,3.36E+06,,,,
2,1.13E+06,2.27E+06,3.33E+06,,,,
3,1.14E+06,2.29E+06,3.20E+06,,,,
4,1.14E+06,2.29E+06,3.30E+06,,,,
5,1.12E+06,2.25E+06,3.27E+06,,,,
MERGED,,,,,,,
ERROR:,,,,,,,
1,,0.00016027,0.00062294,,,,
2,,0.00014885,0.00057789,,,,
3,,0.00015429,0.00059292,,,,
4,,0.00015842,0.00060771,,,,
5,,0.00015187,0.00061288,,,,
BATCHED,,,,,,,
TIME:,,,,,,,
1,28.8674,14.3329,10.2663,,28.91982,14.39684,10.39596
2,29.1347,14.4901,10.3137,,,,
3,28.8104,14.2817,10.5591,,,,
4,28.7259,14.3295,10.3506,,,,
5,29.0607,14.55,10.4901,,,,
BATCHED,,,,,,,
THROUGHPUT:,,,,,,,
1,1.16E+06,2.34E+06,3.27E+06,,,,
2,1.15E+06,2.32E+06,3.25E+06,,,,
3,1.16E+06,2.35E+06,3.18E+06,,,,
4,1.17E+06,2.34E+06,3.24E+06,,,,
5,1.15E+06,2.31E+06,3.20E+06,,,,
BATCHED,,,,,,,
ERROR:,,,,,,,
1,,5.09E-01,9.14E-01,,,,
2,,7.32E-01,,,,,
3,,1.46E-01,,,,,
4,,2.19E-01,1.32E-01,,,,
5,,9.94E-01,4.54E-01,,,,
COLSIZE:,0.00001,,,,,,
NAIVE,,,,,,,
TIME:,,,,,,,
1,38.1313,19.3313,13.5903,,37.65396,18.90818,13.14438
2,36.8896,18.5619,12.9186,,,,
3,37.2293,18.7434,12.9155,,,,
4,37.8101,18.8705,13.0854,,,,
5,38.2095,19.0338,13.2121,,,,
NAIVE,,,,,,,
THROUGHPUT:,,,,,,,
