TAKE,1THR,2THR,4THR,8THR,16THR
 ,,,,,
COLSIZE:,0.01,,,,
BATCHED,,,,,
TIME,,,,,
1,49.8542,45.8311,25.2792,17.2001,15.4996
2,50.1787,46.0202,25.8979,16.219,15.0158
3,48.2433,45.1644,26.054,16.5964,14.8132
4,48.6556,43.8897,23.7837,14.6646,14.3973
5,48.6326,43.7914,26.0018,16.9115,15.6261
HASH TIME,,,,,
1,14.3784,10.9649,5.77108,3.06236,1.7777
2,14.6938,10.228,5.41738,2.87441,1.83304
3,12.9947,7.05482,3.66218,2.07069,1.41893
4,13.0511,6.91299,3.58803,2.11497,2.07999
5,13.0158,6.70671,3.91951,2.36332,1.4076
WRITE TIME,,,,,
1,35.0515,34.2995,19.9652,14.2948,13.6824
2,35.0501,35.3138,20.5748,13.2835,13.1558
3,34.8369,36.801,21.7781,14.036,13.185
4,35.1778,36.0267,19.5159,12.195,12.6577
5,35.1881,35.9167,21.7767,14.3963,13.9486
ERROR,,,,,
1,1.65374,1.65375,1.65374,1.65373,1.65375
2,1.58763,1.58763,1.58764,1.58764,1.58765
3,1.60206,1.60206,1.60206,1.60206,1.60205
4,1.59205,1.59204,1.59205,1.59205,1.59203
5,1.62354,1.62354,1.62353,1.62354,1.62354
THROUGHPUT,,,,,
1,2.15E+07,2.34E+07,4.25E+07,6.24E+07,6.93E+07
2,2.14E+07,2.33E+07,4.15E+07,6.62E+07,7.15E+07
3,2.23E+07,2.38E+07,4.12E+07,6.47E+07,7.25E+07
4,2.21E+07,2.45E+07,4.51E+07,7.32E+07,7.46E+07
5,2.21E+07,2.45E+07,4.13E+07,6.35E+07,6.87E+07
BATCHED PADDED,,,,,
TIME,,,,,
1,50.0576,35.1349,21.0353,10.6436,9.66693
2,49.5994,34.814,16.6263,9.43949,8.99824
3,48.2169,32.1342,17.0706,9.31263,9.27836
4,48.5035,31.8482,16.744,8.80839,8.40014
5,48.4028,31.7518,16.8476,9.19114,9.1893
HASH TIME,,,,,
1,14.3079,9.97199,5.43714,2.7818,2.06052
2,14.2186,9.87377,5.11992,2.50992,1.70475
3,12.9555,6.63233,3.82101,2.18544,1.44262
4,13.0894,6.60726,3.93015,2.10114,1.38053
5,13.1384,6.61837,5.11662,2.23678,1.92617
WRITE TIME,,,,,
1,35.33,24.4114,15.6354,7.74323,7.73034
2,34.9535,24.2335,11.5923,6.53152,7.17886
3,34.8344,24.2406,12.7166,6.76663,7.59741
4,35.018,23.9817,12.3685,6.33456,6.81603
5,34.8225,23.8772,11.342,6.64229,7.57385
ERROR,,,,,
1,1.58367,1.58369,1.58368,1.58367,1.58372
2,1.59124,1.59125,1.59125,1.59124,1.59127
3,1.59139,1.59139,1.59139,1.59139,1.5914
4,1.61332,1.61332,1.61332,1.61332,1.61331
5,1.63893,1.63893,1.63893,1.63893,1.63892
THROUGHPUT,,,,,
1,2.15E+07,3.06E+07,5.10E+07,1.01E+08,1.11E+08
2,2.16E+07,3.08E+07,6.46E+07,1.14E+08,1.19E+08
3,2.23E+07,3.34E+07,6.29E+07,1.15E+08,1.16E+08
4,2.21E+07,3.37E+07,6.41E+07,1.22E+08,1.28E+08
5,2.22E+07,3.38E+07,6.37E+07,1.17E+08,1.17E+08
COLSIZE:,0.001,,,,
BATCHED,,,,,
TIME,,,,,
1,50.4646,40.7192,19.527,11.6521,13.0619
2,48.922,34.7643,19.8288,12.8114,11.2808
3,49.8664,40.0432,19.3044,11.0328,9.93813
4,48.243,35.6881,17.6167,10.6546,9.60135
5,50.0754,35.0469,18.0412,10.7416,10.7376
HASH TIME,,,,,
1,14.5765,12.233,5.30009,2.82061,2.36408
2,13.1335,6.63494,4.40011,2.60034,1.66695
3,14.3823,11.6519,5.31136,2.82458,1.77797
4,13.0021,6.97605,3.59223,2.32297,1.39599
5,13.4706,7.01666,3.71767,2.15348,1.59436
WRITE TIME,,,,,
1,35.4516,29.2238,14.1877,8.74845,11.2602
2,35.3561,27.0148,15.2058,10.1911,9.50848
3,35.0439,28.2263,14.1034,8.07236,8.10754
4,34.8054,27.8704,13.3195,8.09432,7.95286
5,36.1369,27.2696,13.774,8.20408,8.99131
ERROR,,,,,
1,0.119299,0.11929,0.119293,0.119298,0.119273
2,0.116705,0.116704,0.116701,0.116703,0.116696
3,0.118524,0.118514,0.118526,0.118525,0.118506
4,0.119377,0.119375,0.119379,0.119374,0.11938
5,0.117688,0.117688,0.117686,0.117692,0.117684
THROUGHPUT,,,,,
1,2.13E+07,2.64E+07,5.50E+07,9.22E+07,8.22E+07
2,2.19E+07,3.09E+07,5.42E+07,8.38E+07,9.52E+07
3,2.15E+07,2.68E+07,5.56E+07,9.73E+07,1.08E+08
4,2.23E+07,3.01E+07,6.10E+07,1.01E+08,1.12E+08
5,2.14E+07,3.06E+07,5.95E+07,1.00E+08,1.00E+08
BATCHED PADDED,,,,,
TIME,,,,,
1,50.3841,34.899,17.1929,11.2306,9.18924
2,48.4234,31.6092,20.1587,12.4243,10.5559
3,50.0809,35.1762,16.3176,9.24345,8.72013
4,48.387,31.334,16.9038,10.1835,10.6817
5,48.2542,31.4018,17.3566,9.21753,10.0851
HASH TIME,,,,,
1,14.4887,10.346,5.10889,2.92711,1.6223
2,12.9006,6.87431,4.52643,2.64578,1.69323
3,14.4403,10.2622,5.12062,2.58041,1.60492
4,12.9774,6.71461,3.93657,2.20698,1.79896
5,12.9299,6.59194,4.06464,2.106,1.83259
WRITE TIME,,,,,
1,35.442,24.0851,11.8955,8.21231,7.31904
2,35.0818,23.6432,15.6923,9.78644,8.79827
3,35.2144,24.1567,11.1194,6.39053,7.00601
4,34.9567,23.5509,12.4923,7.59541,9.05951
5,34.8932,23.5797,12.953,6.7151,8.44305
ERROR,,,,,
1,0.116705,0.116708,0.116702,0.116702,0.116694
2,0.119588,0.119589,0.119586,0.119581,0.119582
3,0.118997,0.119002,0.118998,0.118998,0.118994
4,0.121742,0.121741,0.121739,0.121743,0.121743
5,0.119645,0.119645,0.119643,0.119646,0.119651
THROUGHPUT,,,,,
1,2.13E+07,3.08E+07,6.25E+07,9.56E+07,1.17E+08
2,2.22E+07,3.40E+07,5.33E+07,8.64E+07,1.02E+08
3,2.14E+07,3.05E+07,6.58E+07,1.16E+08,1.23E+08
4,2.22E+07,3.43E+07,6.35E+07,1.05E+08,1.01E+08
5,2.23E+07,3.42E+07,6.19E+07,1.16E+08,1.06E+08
COLSIZE:,0.0001,,,,
BATCHED,,,,,
TIME,,,,,
1,52.793,32.9652,17.4211,10.021,12.0666
2,52.45,32.0388,18.1975,9.83767,9.44055
3,52.3046,32.7592,19.2995,10.6347,9.62994
4,51.5131,30.8569,16.854,9.13512,8.8101
5,51.9948,31.9489,16.7299,10.2165,11.2238
HASH TIME,,,,,
1,15.0506,9.12816,4.67311,2.58781,2.2505
2,15.036,9.03094,5.04384,2.67544,1.81539
3,14.8749,8.99905,5.22914,2.94924,1.79737
4,13.8637,7.1514,4.16156,2.20225,1.47913
5,14.821,8.80642,4.52142,2.60575,1.9958
WRITE TIME,,,,,
1,37.2097,22.6407,12.1959,6.99716,10.2125
2,36.8864,22.0867,12.9512,6.84816,7.61133
3,36.8948,22.8591,13.744,7.35742,7.79922
4,37.133,22.5818,12.3888,6.55012,7.1914
5,36.6474,22.2293,11.5874,7.27174,9.39798
ERROR,,,,,
1,0.00785435,0.0078543,0.00785178,0.00785387,0.00782814
2,0.00759325,0.00759255,0.00758632,0.00759504,0.00758082
3,0.00788357,0.00788196,0.00787851,0.00787589,0.00785182
4,0.00762919,0.0076288,0.00762486,0.00762876,0.00762248
5,0.00762475,0.00762304,0.00762368,0.00762227,0.00758536
THROUGHPUT,,,,,
1,2.03E+07,3.26E+07,6.16E+07,1.07E+08,8.90E+07
2,2.05E+07,3.35E+07,5.90E+07,1.09E+08,1.14E+08
3,2.05E+07,3.28E+07,5.56E+07,1.01E+08,1.12E+08
4,2.08E+07,3.48E+07,6.37E+07,1.18E+08,1.22E+08
5,2.07E+07,3.36E+07,6.42E+07,1.05E+08,9.57E+07
BATCHED PADDED,,,,,
TIME,,,,,
1,51.7468,30.2298,19.1529,10.7227,10.0098
2,51.8194,31.018,19.5749,10.1725,9.09016
