TAKE,1THR,2THR,4THR,8THR,16THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,,
COLSIZE:,0.01,,,,,,,,,
NAIVE,,,,,,,,,,
TIME,,,,,,,,,,
1,51.2757,267.45,181.326,108.267,76.362,,51.9814,266.733,180.908,108.0205
2,52.6871,266.016,180.49,107.774,74.8157,,,,,
ERROR,,,,,,,,,,
1,1.57519,1.56707,1.54993,1.51873,1.46837,,,,,
2,1.63333,1.62481,1.60695,1.57399,1.51783,,,,,
THROUGHPUT,,,,,,,,,,
1,2.09E+07,4.01E+06,5.92E+06,9.92E+06,1.41E+07,,,,,
2,2.04E+07,4.04E+06,5.95E+06,9.96E+06,1.44E+07,,,,,
MERGED,,,,,,,,,,
TIME,,,,,,,,,,
1,49.6901,258.29,183.912,111.167,72.1766,,50.20145,259.492,184.1655,111.387
2,50.7128,260.694,184.419,111.607,72.9111,,,,,
ERROR,,,,,,,,,,
1,1.57519,1.56888,1.55474,1.52878,1.48676,,,,,
2,1.63333,1.62658,1.61191,1.58482,1.54009,,,,,
THROUGHPUT,,,,,,,,,,
1,2.16E+07,4.16E+06,5.84E+06,9.66E+06,1.49E+07,,,,,
2,2.12E+07,4.12E+06,5.82E+06,9.62E+06,1.47E+07,,,,,
MERGED AND BATCHED,,,,,,,,,,
TIME,,,,,,,,,,
1,49.0163,42.4361,22.1898,16.3495,15.7336,,49.6468,44.21895,22.5324,15.7586
2,50.2773,46.0018,22.875,15.1677,15.5677,,,,,
ERROR,,,,,,,,,,
1,1.57519,1.57519,1.57519,1.5752,1.57519,,,,,
2,1.63333,1.63331,1.63333,1.63333,1.63334,,,,,
THROUGHPUT,,,,,,,,,,
1,2.19E+07,2.53E+07,4.84E+07,6.57E+07,6.82E+07,,,,,
2,2.14E+07,2.33E+07,4.69E+07,7.08E+07,6.90E+07,,,,,
COLSIZE:,0.001,,,,,,,,,
NAIVE,,,,,,,,,,
TIME,,,,,,,,,,
1,52.7113,171.625,120.698,79.9983,52.7395,,53.1841,171.3205,120.833,79.3909
2,53.6569,171.016,120.968,78.7835,52.048,,,,,
ERROR,,,,,,,,,,
1,0.118659,0.117761,0.118343,0.125616,0.143567,,,,,
2,0.115174,0.114279,0.114922,0.122411,0.1407,,,,,
THROUGHPUT,,,,,,,,,,
1,2.04E+07,6.26E+06,8.90E+06,1.34E+07,2.04E+07,,,,,
2,2.00E+07,6.28E+06,8.88E+06,1.36E+07,2.06E+07,,,,,
MERGED,,,,,,,,,,
TIME,,,,,,,,,,
1,49.2367,174.598,118.777,77.1573,49.6402,,50.03545,173.5295,119.2565,77.09235
2,50.8342,172.461,119.736,77.0274,49.9609,,,,,
ERROR,,,,,,,,,,
1,0.118659,0.117868,0.117918,0.122524,0.136954,,,,,
2,0.115174,0.114436,0.114541,0.119459,0.13328,,,,,
THROUGHPUT,,,,,,,,,,
1,2.18E+07,6.15E+06,9.04E+06,1.39E+07,2.16E+07,,,,,
2,2.11E+07,6.23E+06,8.97E+06,1.39E+07,2.15E+07,,,,,
MERGED AND BATCHED,,,,,,,,,,
TIME,,,,,,,,,,
1,48.9943,36.2097,18.3154,10.2599,9.72763,,49.7656,38.16255,18.7675,10.27665
2,50.5369,40.1154,19.2196,10.2934,9.66229,,,,,
ERROR,,,,,,,,,,
1,0.118659,0.118658,0.118658,0.118661,0.118658,,,,,
2,0.115174,0.115157,0.11517,0.115173,0.115155,,,,,
THROUGHPUT,,,,,,,,,,
1,2.19E+07,2.97E+07,5.86E+07,1.05E+08,1.10E+08,,,,,
2,2.12E+07,2.68E+07,5.59E+07,1.04E+08,1.11E+08,,,,,
COLSIZE:,0.0001,,,,,,,,,
NAIVE,,,,,,,,,,
TIME,,,,,,,,,,
1,66.3524,83.8618,53.3173,36.9369,27.9371,,65.92285,84.2819,53.7228,37.29435
2,65.4933,84.702,54.1283,37.6518,28.0846,,,,,
ERROR,,,,,,,,,,
1,0.00788562,0.00788557,0.0180298,0.0506757,0.0904538,,,,,
2,0.00792016,0.00790681,0.0182941,0.0511409,0.0899613,,,,,
THROUGHPUT,,,,,,,,,,
1,1.62E+07,1.28E+07,2.01E+07,2.91E+07,3.84E+07,,,,,
2,1.64E+07,1.27E+07,1.98E+07,2.85E+07,3.82E+07,,,,,
MERGED,,,,,,,,,,
TIME,,,,,,,,,,
1,55.4932,78.6856,52.3022,36.7018,27.5894,,55.2976,78.7355,52.5669,36.9088
2,55.102,78.7854,52.8316,37.1158,27.767,,,,,
ERROR,,,,,,,,,,
1,0.00788562,0.00786498,0.0177327,0.0478014,0.083972,,,,,
2,0.00792016,0.00790335,0.0180741,0.048267,0.0839022,,,,,
THROUGHPUT,,,,,,,,,,
1,1.93E+07,1.36E+07,2.05E+07,2.93E+07,3.89E+07,,,,,
2,1.95E+07,1.36E+07,2.03E+07,2.89E+07,3.87E+07,,,,,
MERGED AND BATCHED,,,,,,,,,,
TIME,,,,,,,,,,
1,52.5594,32.7492,18.3272,14.4285,9.6966,,52.0817,31.91205,17.00245,12.58485
2,51.604,31.0749,15.6777,10.7412,9.13371,,,,,
ERROR,,,,,,,,,,
1,0.00788562,0.00788371,0.00787914,0.00785443,0.00786455,,,,,
2,0.00792016,0.00791965,0.0079196,0.00792391,0.00791514,,,,,
THROUGHPUT,,,,,,,,,,
1,2.04E+07,3.28E+07,5.86E+07,7.44E+07,1.11E+08,,,,,
2,2.08E+07,3.46E+07,6.85E+07,1.00E+08,1.18E+08,,,,,
COLSIZE:,0.00001,,,,,,,,,
NAIVE,,,,,,,,,,
TIME,,,,,,,,,,
1,67.7983,77.9161,50.6153,36.03,27.4263,,66.62765,77.70535,50.55695,35.9321
2,65.457,77.4946,50.4986,35.8342,27.4335,,,,,
ERROR,,,,,,,,,,
1,0.000453879,0.00121187,0.0177334,0.0519716,0.090642,,,,,
2,0.000442783,0.00108992,0.017923,0.051834,0.0908183,,,,,
THROUGHPUT,,,,,,,,,,
1,1.58E+07,1.38E+07,2.12E+07,2.98E+07,3.92E+07,,,,,
2,1.64E+07,1.39E+07,2.13E+07,3.00E+07,3.91E+07,,,,,
MERGED,,,,,,,,,,
TIME,,,,,,,,,,
1,56.1098,72.0401,50.5234,35.8688,27.3784,,55.97345,72.1302,50.4519,36.0012
2,55.8371,72.2203,50.3804,36.1336,27.6162,,,,,
ERROR,,,,,,,,,,
1,0.000453879,0.00120111,0.0181243,0.0498275,0.0860532,,,,,
2,0.000442783,0.00104772,0.0181035,0.0499122,0.0857724,,,,,
THROUGHPUT,,,,,,,,,,
1,1.91E+07,1.49E+07,2.13E+07,2.99E+07,3.92E+07,,,,,
2,1.92E+07,1.49E+07,2.13E+07,2.97E+07,3.89E+07,,,,,
MERGED AND BATCHED,,,,,,,,,,
TIME,,,,,,,,,,
1,53.3908,31.5869,18.4099,12.3748,13.6883,,53.18955,31.449,18.49275,11.949
2,52.9883,31.3111,18.5756,11.5232,12.2776,,,,,
ERROR,,,,,,,,,,
1,0.000453879,0.000453985,0.000450646,0.000452978,0.000444183,,,,,
2,0.000442783,0.000443325,0.000440472,0.000440931,0.00043286,,,,,
THROUGHPUT,,,,,,,,,,
1,2.01E+07,3.40E+07,5.83E+07,8.68E+07,7.84E+07,,,,,
2,2.03E+07,3.43E+07,5.78E+07,9.32E+07,8.75E+07,,,,,
