TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,62.409,35.0383,21.1244,12.7374,,62.66838,36.99448,21.7888,12.74268
2,64.2497,35.2192,20.5695,12.2711,,,,,
3,62.9884,43.6749,25.2121,14.2795,,,,,
4,62.1883,35.543,19.9953,12.5227,,,,,
5,61.5065,35.497,22.0427,11.9027,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.374,7.1913,3.9883,2.323,,14.7034,9.09328,4.87234,2.70342
2,15.104,7.3048,3.855,2.2426,,,,,
3,15.491,16.043,8.4048,4.2851,,,,,
4,14.357,7.4477,3.8743,2.54,,,,,
5,14.191,7.4796,4.2393,2.1264,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,47.5102,27.0356,16.7408,10.2475,,47.42622,27.12546,16.49438,9.857328
2,48.6221,27.1783,16.1382,9.75069,,,,,
3,46.952,27.0293,16.4598,9.85804,,,,,
4,47.2988,27.481,15.6691,10.0612,,,,,
5,46.748,26.9031,17.464,9.36921,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.72E+07,3.06E+07,5.08E+07,8.43E+07,,,,,
2,1.67E+07,3.05E+07,5.22E+07,8.75E+07,,,,,
3,1.70E+07,2.46E+07,4.26E+07,7.52E+07,,,,,
4,1.73E+07,3.02E+07,5.37E+07,8.57E+07,,,,,
5,1.75E+07,3.02E+07,4.87E+07,9.02E+07,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00047053,0.00047071,0.0004717,0.00047086,,,,,
2,0.0004414,0.00044147,0.00043888,0.0004419,,,,,
3,0.00043493,0.00043513,0.00043353,0.00043437,,,,,
4,0.00042169,0.00042232,0.00042094,0.00042305,,,,,
5,0.00042417,0.00042293,0.00042131,0.0004239,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,61.3391,35.0552,19.8965,12.9245,,61.46524,36.98022,23.18324,12.63714
2,61.2137,35.025,20.3929,11.8803,,,,,
3,62.6851,43.5901,31.8327,13.8736,,,,,
4,61.096,34.8689,21.827,12.1097,,,,,
5,60.9923,36.3619,21.9671,12.3976,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.013,7.0744,3.8015,2.4298,,14.1552,8.82228,5.27314,2.66696
2,13.866,7.0834,4.0203,2.1938,,,,,
3,15.379,15.613,9.8812,4.302,,,,,
4,13.902,7.0911,4.518,2.2035,,,,,
5,13.616,7.2495,4.1447,2.2057,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.8375,27.0301,15.5155,10.3706,,46.81246,27.23756,17.71742,9.7788
