TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,66.1325,32.6403,17.5904,13.1705,,66.14806,32.7864,18.0084,12.44392
2,67.0478,32.5479,16.9855,12.1431,,,,,
3,65.397,33.2169,17.5743,12.5975,,,,,
4,65.4659,33.0286,19.2055,12.141,,,,,
5,66.6971,32.4983,18.6863,12.1675,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.62E+07,3.29E+07,6.10E+07,8.15E+07,,,,,
2,1.60E+07,3.30E+07,6.32E+07,8.84E+07,,,,,
3,1.64E+07,3.23E+07,6.11E+07,8.52E+07,,,,,
4,1.64E+07,3.25E+07,5.59E+07,8.84E+07,,,,,
5,1.61E+07,3.30E+07,5.75E+07,8.82E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00042495,0.00042495,0.00042495,0.00042495,,,,,
2,0.00042963,0.00042963,0.00042963,0.00042963,,,,,
3,0.00043434,0.00043434,0.00043434,0.00043434,,,,,
4,0.00042052,0.00042052,0.00042052,0.00042052,,,,,
5,0.0004671,0.0004671,0.0004671,0.0004671,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,54.8311,27.6536,15.3633,10.5662,,55.06538,27.54658,15.01346,10.7862
2,55.2554,27.3041,15.0323,11.0057,,,,,
3,55.0278,27.3424,15.1127,10.7876,,,,,
4,55.0406,27.6457,15.1017,10.5808,,,,,
5,55.172,27.7871,14.4573,10.9907,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.96E+07,3.88E+07,6.99E+07,1.02E+08,,,,,
2,1.94E+07,3.93E+07,7.14E+07,9.76E+07,,,,,
3,1.95E+07,3.93E+07,7.10E+07,9.95E+07,,,,,
4,1.95E+07,3.88E+07,7.11E+07,1.01E+08,,,,,
5,1.95E+07,3.86E+07,7.43E+07,9.77E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00042495,0.00042495,0.00042495,0.00042495,,,,,
2,0.00042963,0.00042963,0.00042963,0.00042963,,,,,
3,0.00043434,0.00043434,0.00043434,0.00043434,,,,,
4,0.00042052,0.00042052,0.00042052,0.00042052,,,,,
5,0.0004671,0.0004671,0.0004671,0.0004671,,,,,
COLSIZE:,0.000001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,94.5045,47.1648,26.6389,15.434,,95.40434,48.40958,28.35382,16.03824
2,95.9206,50.9794,29.1103,15.8631,,,,,
3,94.6502,48.109,27.0429,16.5586,,,,,
4,95.6106,47.8862,29.0281,16.6421,,,,,
5,96.3358,47.9085,29.9489,15.6934,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.14E+07,2.28E+07,4.03E+07,6.96E+07,,,,,
2,1.12E+07,2.11E+07,3.69E+07,6.77E+07,,,,,
3,1.13E+07,2.23E+07,3.97E+07,6.48E+07,,,,,
4,1.12E+07,2.24E+07,3.70E+07,6.45E+07,,,,,
5,1.11E+07,2.24E+07,3.59E+07,6.84E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,6.63E-01,6.63E-01,6.63E-01,6.63E-01,,,,,
2,5.39E-01,5.39E-01,5.39E-01,5.39E-01,,,,,
3,5.14E-01,5.14E-01,5.14E-01,5.14E-01,,,,,
4,5.61E-01,5.61E-01,5.61E-01,5.61E-01,,,,,
5,4.25E-01,4.25E-01,4.25E-01,4.25E-01,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,81.5681,41.7164,24.0366,14.0471,,82.33514,41.61134,24.72674,14.42606
2,82.3317,41.4023,24.3008,14.7134,,,,,
3,82.4648,41.6406,25.2758,15.2194,,,,,
4,83.4317,41.7129,25.0124,13.8466,,,,,
5,81.8794,41.5845,25.0081,14.3038,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.32E+07,2.57E+07,4.47E+07,7.64E+07,,,,,
2,1.30E+07,2.59E+07,4.42E+07,7.30E+07,,,,,
3,1.30E+07,2.58E+07,4.25E+07,7.06E+07,,,,,
4,1.29E+07,2.57E+07,4.29E+07,7.75E+07,,,,,
5,1.31E+07,2.58E+07,4.29E+07,7.51E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,6.63E-01,6.63E-01,6.63E-01,6.63E-01,,,,,
2,5.39E-01,5.39E-01,5.39E-01,5.39E-01,,,,,
3,5.14E-01,5.14E-01,5.14E-01,5.14E-01,,,,,
4,5.61E-01,5.61E-01,5.61E-01,5.61E-01,,,,,
5,4.25E-01,4.25E-01,4.25E-01,4.25E-01,,,,,
