TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,59.9653,32.9292,19.9808,12.9251,,60.59916,33.45616,20.90064,13.59236
2,60.8058,33.2947,20.7618,13.0878,,,,,
3,60.4638,32.998,20.8282,13.5068,,,,,
4,62.092,34.4101,21.1952,14.0788,,,,,
5,59.6689,33.6488,21.7372,14.3633,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.093,6.6924,3.7631,2.3314,,13.3742,6.83996,3.8769,2.3723
2,13.26,6.7019,3.8347,2.3371,,,,,
3,13.197,6.7237,3.7912,2.3286,,,,,
4,14.386,7.4142,4.2098,2.5527,,,,,
5,12.935,6.6676,3.7857,2.3117,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.4261,25.8724,15.9205,10.3448,,46.78066,26.21924,16.68686,10.95688
2,47.1094,26.201,16.6007,10.4837,,,,,
3,46.8372,25.9623,16.6983,10.9163,,,,,
4,47.2454,26.506,16.6241,11.2387,,,,,
5,46.2852,26.5545,17.5907,11.8009,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.79E+07,3.26E+07,5.37E+07,8.31E+07,,,,,
2,1.77E+07,3.22E+07,5.17E+07,8.20E+07,,,,,
3,1.78E+07,3.25E+07,5.16E+07,7.95E+07,,,,,
4,1.73E+07,3.12E+07,5.07E+07,7.63E+07,,,,,
5,1.80E+07,3.19E+07,4.94E+07,7.48E+07,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.559,0.559,0.559,0.559,,,,,
2,0.5611,0.5611,0.5611,0.5611,,,,,
3,0.5572,0.5572,0.5572,0.5572,,,,,
4,0.5729,0.5729,0.5729,0.5729,,,,,
5,0.5919,0.5919,0.5919,0.5919,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,59.638,31.5064,17.4798,10.4194,,60.06698,31.31858,17.5289,10.46976
2,59.5502,31.3074,17.4547,10.4416,,,,,
3,59.9032,30.8274,17.364,10.3987,,,,,
4,61.2646,31.7954,17.8892,10.6929,,,,,
5,59.9789,31.1563,17.4568,10.3962,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.88,6.7666,3.8096,2.3462,,13.19,6.8791,3.89574,2.39656
2,12.883,6.7404,3.8385,2.3504,,,,,
3,12.94,6.6583,3.766,2.3382,,,,,
4,14.297,7.5423,4.2613,2.602,,,,,
5,12.95,6.6879,3.8033,2.346,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.3287,24.3295,13.3251,7.82945,,46.44722,24.05126,13.29636,7.807774
2,46.2455,24.2108,13.3235,7.80821,,,,,
3,46.5361,23.8385,13.2636,7.79386,,,,,
4,46.5392,23.7885,13.2685,7.83226,,,,,
5,46.5866,24.089,13.3011,7.77509,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.80E+07,3.41E+07,6.14E+07,1.03E+08,,,,,
2,1.80E+07,3.43E+07,6.15E+07,1.03E+08,,,,,
3,1.79E+07,3.48E+07,6.18E+07,1.03E+08,,,,,
4,1.75E+07,3.38E+07,6.00E+07,1.00E+08,,,,,
5,1.79E+07,3.45E+07,6.15E+07,1.03E+08,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.54,0.54,0.546,0.54,,,,,
2,0.5511,0.5511,0.5511,0.5511,,,,,
3,0.563,0.563,0.563,0.563,,,,,
4,0.5725,0.5725,0.5725,0.5725,,,,,
5,0.5542,0.5542,0.5542,0.5542,,,,,
COLSIZE:,0.001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.3705,32.6193,18.1482,11.1496,,61.03734,32.18072,18.11018,10.79396
2,61.3461,32.1335,18.0198,10.8487,,,,,
3,60.084,31.494,17.6877,10.5815,,,,,
4,61.2089,32.3158,18.3749,10.7244,,,,,
5,61.1772,32.341,18.3203,10.6656,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.287,7.6091,4.2728,2.5706,,14.1788,7.43118,4.22448,2.53902
2,14.499,7.4943,4.2541,2.5766,,,,,
3,13.157,6.737,3.844,2.347,,,,,
4,14.443,7.6205,4.3755,2.6111,,,,,
5,14.508,7.695,4.376,2.5898,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.639,24.5564,13.6111,8.28308,,46.41996,24.27746,13.55734,7.958442
2,46.4151,24.1105,13.4094,7.97245,,,,,
3,46.4754,24.2919,13.4886,7.9254,,,,,
4,46.3288,24.2184,13.6654,7.83317,,,,,
5,46.2415,24.2101,13.6122,7.77811,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.75E+07,3.29E+07,5.92E+07,9.63E+07,,,,,
2,1.75E+07,3.34E+07,5.96E+07,9.90E+07,,,,,
3,1.79E+07,3.41E+07,6.07E+07,1.01E+08,,,,,
4,1.75E+07,3.32E+07,5.84E+07,1.00E+08,,,,,
5,1.76E+07,3.32E+07,5.86E+07,1.01E+08,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.12007,0.12,0.12007,0.12,,,,,
2,0.11502,0.11502,0.11502,0.11502,,,,,
3,0.11845,0.11845,0.11845,0.11845,,,,,
4,0.11223,0.11223,0.11223,0.11223,,,,,
5,0.11805,0.11805,0.11805,0.11805,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,61.1798,31.9178,18.2424,10.8818,,61.25792,32.0598,18.2397,10.99912
2,62.0125,32.6682,19.162,12.1334,,,,,
3,60.3115,31.3283,17.6414,10.4814,,,,,
4,61.1679,32.1019,18.1896,10.7766,,,,,
5,61.6179,32.2828,17.9631,10.7224,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.274,7.5179,4.3778,2.5663,,14.1266,7.43478,4.2377,2.53712
2,14.456,7.6171,4.289,2.5821,,,,,
3,13.19,6.8258,3.872,2.3464,,,,,
4,14.315,7.578,4.3181,2.5987,,,,,
5,14.398,7.6351,4.3316,2.5921,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.4876,24.0446,13.6527,8.04545,,46.70386,24.21988,13.69664,8.17333
2,47.1115,24.6728,14.5271,9.25862,,,,,
3,46.6898,24.1014,13.4251,7.8198,,,,,
4,46.4306,24.0641,13.5218,7.88485,,,,,
5,46.7998,24.2165,13.3565,7.85793,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.76E+07,3.36E+07,5.89E+07,9.87E+07,,,,,
2,1.73E+07,3.29E+07,5.60E+07,8.85E+07,,,,,
3,1.78E+07,3.43E+07,6.09E+07,1.02E+08,,,,,
4,1.76E+07,3.34E+07,5.90E+07,9.96E+07,,,,,
5,1.74E+07,3.33E+07,5.98E+07,1.00E+08,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.11292,0.11291,0.11292,0.11292,,,,,
2,0.11354,0.11354,0.11354,0.11354,,,,,
3,0.11725,0.11725,0.11725,0.11725,,,,,
4,0.1136,0.11366,0.1136,0.1136,,,,,
5,0.11838,0.11838,0.11838,0.11838,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.6482,31.7506,17.4352,10.4558,,61.98036,32.63212,17.90202,10.72632
2,62.0473,33.0625,18.0012,10.7914,,,,,
3,62.4561,32.9564,18.0379,10.8094,,,,,
4,62.7916,32.5231,18.078,10.817,,,,,
5,61.9586,32.868,17.9578,10.758,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.527,6.9784,3.858,2.3651,,14.6932,7.76914,4.25818,2.57632
2,14.913,7.9472,4.368,2.626,,,,,
3,15.078,7.901,4.362,2.6617,,,,,
4,15.19,7.8687,4.3624,2.6088,,,,,
5,14.758,8.1504,4.3405,2.62,,,,,
BATCH,,,,,,,,,
