TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,75.6576,37.4471,16.3653,8.97492,,61.61532,33.74692,16.11946,9.040368
2,50.734,38.6613,17.6267,9.88824,,,,,
3,79.3612,38.0157,16.226,8.76188,,,,,
4,51.4854,27.2404,14.7844,8.80552,,,,,
5,50.8384,27.3701,15.5949,8.77128,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.42E+07,2.87E+07,6.56E+07,1.20E+08,,,,,
2,2.12E+07,2.78E+07,6.09E+07,1.09E+08,,,,,
3,1.35E+07,2.82E+07,6.62E+07,1.23E+08,,,,,
4,2.09E+07,3.94E+07,7.26E+07,1.22E+08,,,,,
5,2.11E+07,3.92E+07,6.89E+07,1.22E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.5494,0.5494,0.5494,0.5494,,,,,
2,0.5863,0.5863,0.5863,0.5863,,,,,
3,0.5451,0.5451,0.5451,0.5451,,,,,
4,0.5712,0.5712,0.5712,0.5712,,,,,
5,0.6021,0.6021,0.6021,0.6021,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,65.7273,25.9964,13.6899,7.97711,,57.29912,25.04002,13.6102,7.954294
2,77.1584,25.9174,13.5655,8.0308,,,,,
3,48.702,24.7748,13.7201,7.98847,,,,,
4,47.6235,24.1078,13.3591,7.81991,,,,,
5,47.2844,24.4037,13.7164,7.95518,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.63E+07,4.13E+07,7.84E+07,1.35E+08,,,,,
2,1.39E+07,4.14E+07,7.92E+07,1.34E+08,,,,,
3,2.20E+07,4.33E+07,7.83E+07,1.34E+08,,,,,
4,2.25E+07,4.45E+07,8.04E+07,1.37E+08,,,,,
5,2.27E+07,4.40E+07,7.83E+07,1.35E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.5494,0.5494,0.5494,0.5494,,,,,
2,0.5863,0.5863,0.5863,0.5863,,,,,
3,0.5451,0.5451,0.5451,0.5451,,,,,
4,0.5712,0.5712,0.5712,0.5712,,,,,
5,0.6021,0.6021,0.6021,0.6021,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,52.4656,26.6231,14.9484,8.67601,,53.26318,27.0276,14.99676,8.757136
2,52.2319,27.1813,15.0189,8.82043,,,,,
3,52.3458,27.3453,15.1149,8.7408,,,,,
4,53.1577,27.0956,14.8602,8.72392,,,,,
5,56.1149,26.8927,15.0414,8.82452,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.05E+07,4.03E+07,7.18E+07,1.24E+08,,,,,
2,2.06E+07,3.95E+07,7.15E+07,1.22E+08,,,,,
3,2.05E+07,3.93E+07,7.10E+07,1.23E+08,,,,,
4,2.02E+07,3.96E+07,7.23E+07,1.23E+08,,,,,
5,1.91E+07,3.99E+07,7.14E+07,1.22E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1165,0.1165,0.1165,0.1165,,,,,
2,0.1149,0.1149,0.1149,0.1149,,,,,
3,0.1144,0.1144,0.1144,0.1144,,,,,
4,0.11636,0.11636,0.11636,0.11636,,,,,
5,0.1153,0.1153,0.1153,0.1153,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.3709,24.3104,13.7253,7.89625,,47.6885,24.28238,13.7301,7.9265
2,47.3167,24.0846,14.0645,7.95945,,,,,
3,47.4721,24.2663,13.6144,7.87652,,,,,
4,48.7194,24.4425,13.5763,7.94405,,,,,
5,47.5634,24.3081,13.67,7.95623,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.27E+07,4.42E+07,7.82E+07,1.36E+08,,,,,
2,2.27E+07,4.46E+07,7.63E+07,1.35E+08,,,,,
3,2.26E+07,4.42E+07,7.89E+07,1.36E+08,,,,,
4,2.20E+07,4.39E+07,7.91E+07,1.35E+08,,,,,
5,2.26E+07,4.42E+07,7.85E+07,1.35E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1165,0.1165,0.1165,0.1165,,,,,
2,0.1149,0.1149,0.1149,0.1149,,,,,
3,0.1144,0.1144,0.1144,0.1144,,,,,
4,0.11636,0.11636,0.11636,0.11636,,,,,
5,0.1153,0.1153,0.1153,0.1153,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,64.6697,33.7229,17.8893,10.1809,,64.9803,33.59072,18.03992,10.2433
2,64.7799,33.4362,17.9219,10.2291,,,,,
3,65.3929,33.5069,18.0175,10.3011,,,,,
4,65.254,34.1906,17.8642,10.2475,,,,,
5,64.805,33.097,18.5067,10.2579,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.66E+07,3.18E+07,6.00E+07,1.05E+08,,,,,
2,1.66E+07,3.21E+07,5.99E+07,1.05E+08,,,,,
3,1.64E+07,3.20E+07,5.96E+07,1.04E+08,,,,,
4,1.65E+07,3.14E+07,6.01E+07,1.05E+08,,,,,
5,1.66E+07,3.24E+07,5.80E+07,1.05E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0078057,0.0078057,0.0078057,0.0078057,,,,,
2,0.0075891,0.0075891,0.0075891,0.0075891,,,,,
3,0.0075607,0.0075607,0.0075607,0.0075607,,,,,
4,0.0074393,0.0074393,0.0074393,0.0074393,,,,,
5,0.0077036,0.0077036,0.0077036,0.0077036,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,54.0224,28.1489,15.2441,8.66226,,54.14162,28.38832,15.3155,8.725556
2,54.2837,27.7057,15.1483,8.67733,,,,,
3,54.0252,29.8133,15.7098,8.84103,,,,,
4,54.3282,28.6125,15.0645,8.80852,,,,,
5,54.0486,27.6612,15.4108,8.63864,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.99E+07,3.81E+07,7.04E+07,1.24E+08,,,,,
2,1.98E+07,3.88E+07,7.09E+07,1.24E+08,,,,,
3,1.99E+07,3.60E+07,6.83E+07,1.21E+08,,,,,
4,1.98E+07,3.75E+07,7.13E+07,1.22E+08,,,,,
5,1.99E+07,3.88E+07,6.97E+07,1.24E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0078057,0.0078057,0.0078057,0.0078057,,,,,
2,0.0075891,0.0075891,0.0075891,0.0075891,,,,,
3,0.0075607,0.0075607,0.0075607,0.0075607,,,,,
4,0.0074393,0.0074393,0.0074393,0.0074393,,,,,
5,0.0077036,0.0077036,0.0077036,0.0077036,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,65.7308,33.9783,23.5814,16.8073,,65.81146,34.05672,23.30004,16.24478
2,66.0479,33.5699,23.5764,16.6984,,,,,
3,66.6249,33.6677,23.6803,16.652,,,,,
4,65.7159,36.555,22.7862,14.682,,,,,
5,64.9378,32.5127,22.8759,16.3842,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.63E+07,3.16E+07,4.55E+07,6.39E+07,,,,,
2,1.63E+07,3.20E+07,4.55E+07,6.43E+07,,,,,
3,1.61E+07,3.19E+07,4.53E+07,6.45E+07,,,,,
4,1.63E+07,2.94E+07,4.71E+07,7.31E+07,,,,,
5,1.65E+07,3.30E+07,4.69E+07,6.55E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00044006,0.00044006,0.00044006,0.00044006,,,,,
2,0.0004555,0.0004555,0.0004555,0.0004555,,,,,
3,0.00043087,0.00043087,0.00043087,0.00043087,,,,,
4,0.00043616,0.00043616,0.00043616,0.00043616,,,,,
5,0.00045735,0.00045735,0.00045735,0.00045735,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,55.0779,28.3115,20.6959,15.0097,,60.37476,28.5916,20.46916,14.4044
2,55.3596,28.1699,20.6061,14.8272,,,,,
