TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,51.2981,102.577,75.6966,48.5838,,51.875,102.528,75.2547,48.59825
2,52.4519,102.479,74.8128,48.6127,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.09E+07,1.05E+07,1.42E+07,2.21E+07,,,,,
2,2.05E+07,1.05E+07,1.44E+07,2.21E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.5505,0.5422,0.5244,0.4916,,,,,
2,0.5805,0.5721,0.5541,0.5205,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.5992,104.136,79.7377,49.6992,,49.2559,103.218,79.4021,49.58695
2,50.9126,102.3,79.0665,49.4747,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.26E+07,1.03E+07,1.35E+07,2.16E+07,,,,,
2,2.11E+07,1.05E+07,1.36E+07,2.17E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.5505,0.5441,0.5302,0.504,,,,,
2,0.5805,0.574,0.5596,0.5333,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,53.8049,84.5868,64.7311,41.5634,,53.69065,84.73735,64.64235,41.5913
2,53.5764,84.8879,64.5536,41.6192,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.00E+07,1.27E+07,1.66E+07,2.58E+07,,,,,
2,2.00E+07,1.26E+07,1.66E+07,2.58E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1152,0.11438,0.11612,0.12,,,,,
2,0.115,0.11507,0.11646,0.12433,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.7624,86.5717,64.7865,41.6153,,47.56315,86.69595,65.2666,41.6349
2,47.3639,86.8202,65.7467,41.6545,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.25E+07,1.24E+07,1.66E+07,2.58E+07,,,,,
2,2.27E+07,1.24E+07,1.63E+07,2.58E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1152,0.11448,0.11514,0.12087,,,,,
2,0.115,0.11516,0.11577,0.12138,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,65.1543,71.9969,57.6676,37.5318,,64.8793,72.5218,57.6519,37.6152
2,64.6043,73.0467,57.6362,37.6986,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.65E+07,1.49E+07,1.86E+07,2.86E+07,,,,,
2,1.66E+07,1.47E+07,1.86E+07,2.85E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0079348,0.013008,0.035398,0.06846,,,,,
2,0.0076199,0.012842,0.035366,0.068609,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,54.1571,76.9915,60.4715,38.4827,,54.1827,76.5478,60.195,38.43255
2,54.2083,76.1041,59.9185,38.3824,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.98E+07,1.39E+07,1.78E+07,2.79E+07,,,,,
2,1.98E+07,1.41E+07,1.79E+07,2.80E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0079348,0.011382,0.02808,0.055593,,,,,
2,0.0076199,0.011124,0.027888,0.055408,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,66.2371,62.7299,44.3147,28.9992,,65.89845,62.80145,44.32515,29.03215
2,65.5598,62.873,44.3356,29.0651,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.62E+07,1.71E+07,2.42E+07,3.70E+07,,,,,
2,1.64E+07,1.71E+07,2.42E+07,3.69E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00044367,0.0098811,0.031966,0.065426,,,,,
2,0.00045115,0.0099209,0.032137,0.065556,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,55.603,65.1722,46.5996,30.2397,,54.7574,64.56895,46.54765,30.2511
2,53.9118,63.9657,46.4957,30.2625,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.93E+07,1.65E+07,2.30E+07,3.55E+07,,,,,
2,1.99E+07,1.68E+07,2.31E+07,3.55E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00044367,0.0086504,0.02665,0.054036,,,,,
2,0.00045115,0.008725,0.026911,0.054418,,,,,
