TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,55.5515,34.62464,18.91026,10.93553
1,54.8509,34.0098,18.9351,10.2398,,,,,
2,55.0445,33.6056,17.201,9.64855,,,,,
3,56.1941,34.8078,19.7035,10.7576,,,,,
4,55.7394,35.5622,17.5863,10.5929,,,,,
5,55.9286,35.1378,21.1254,13.4388,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.146,7.0652,3.8262,2.2406,,13.8838,7.86764,4.42778,2.4973
2,13.147,6.8817,3.6947,2.0335,,,,,
3,14.476,8.2654,5.1057,2.6854,,,,,
4,14.294,8.6155,4.609,2.6272,,,,,
5,14.356,8.5104,4.9033,2.8998,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.2626,25.7751,14.4075,7.79549,,41.21906,25.6743,13.99562,8.199984
2,41.4453,25.7145,12.7674,7.14292,,,,,
3,41.2679,25.235,14.3964,7.8675,,,,,
4,40.9961,25.9298,12.4047,7.68681,,,,,
5,41.1234,25.7171,16.0021,10.5072,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.96E+07,3.16E+07,5.67E+07,1.05E+08,,,,,
2,1.95E+07,3.20E+07,6.24E+07,1.11E+08,,,,,
3,1.91E+07,3.08E+07,5.45E+07,9.98E+07,,,,,
4,1.93E+07,3.02E+07,6.11E+07,1.01E+08,,,,,
5,1.92E+07,3.06E+07,5.08E+07,7.99E+07,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2712,0.27124,0.27123,0.2712,,,,,
2,0.26099,0.26099,0.26099,0.261,,,,,
3,0.30793,0.30793,0.30794,0.30793,,,,,
4,0.28321,0.2832,0.28322,0.28322,,,,,
5,0.25525,0.2552,0.25526,0.25525,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,54.2266,34.2675,24.3158,11.3454,,54.80346,35.61318,21.0722,11.00186
2,54.0624,34.121,20.0159,10.6365,,,,,
3,55.2159,37.4282,18.2777,11.3261,,,,,
4,55.3663,36.0328,20.2818,10.5015,,,,,
5,55.1461,36.2164,22.4698,11.1998,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.813,6.6101,5.029,2.2436,,13.5584,7.77738,4.86736,2.40922
2,12.805,6.6162,3.9912,2.125,,,,,
3,14.147,8.922,4.5545,2.5685,,,,,
4,14.026,8.2656,5.2257,2.4909,,,,,
5,14.001,8.473,5.5364,2.6181,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.8213,26.0539,17.7003,8.10959,,40.6641,26.02572,14.6846,7.691776
2,40.68,26.004,14.2669,7.58822,,,,,
3,40.487,26.4139,12.4641,7.80077,,,,,
4,40.7576,25.776,13.7525,7.25111,,,,,
5,40.5746,25.8808,15.2392,7.70919,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.98E+07,3.13E+07,4.42E+07,9.46E+07,,,,,
2,1.99E+07,3.15E+07,5.36E+07,1.01E+08,,,,,
3,1.94E+07,2.87E+07,5.87E+07,9.48E+07,,,,,
4,1.94E+07,2.98E+07,5.29E+07,1.02E+08,,,,,
5,1.95E+07,2.96E+07,4.78E+07,9.59E+07,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.31056,0.31056,0.31056,0.31056,,,,,
2,0.2674,0.2674,0.2674,0.2674,,,,,
3,0.2526,0.2526,0.2526,0.2526,,,,,
4,0.28759,0.28759,0.28759,0.28759,,,,,
5,0.2534,0.2534,0.2534,0.2534,,,,,
COLSIZE:,0.001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,55.3251,35.0328,17.6448,10.1323,,54.94948,34.63614,17.3902,10.547662
2,54.5537,33.7158,16.7623,9.76012,,,,,
3,54.8626,34.7232,18.1319,13.0486,,,,,
4,54.5343,34.5063,16.9841,9.60729,,,,,
5,55.4717,35.2026,17.4279,10.19,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.192,8.4788,4.6295,2.5124,,13.4734,7.56914,3.95558,2.31756
2,12.981,6.9759,3.4678,2.0583,,,,,
3,13.04,7.1215,3.7741,2.5251,,,,,
4,12.981,6.8836,3.5912,1.994,,,,,
5,14.173,8.3859,4.3153,2.498,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.687,25.6308,12.4118,7.22144,,41.02962,26.02718,12.7483,7.855982
2,41.1189,25.4754,12.466,7.27163,,,,,
3,41.3784,26.6158,13.7793,10.4146,,,,,
4,41.1119,26.6898,12.717,7.07534,,,,,
5,40.8519,25.7241,12.3674,7.2969,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.94E+07,3.06E+07,6.09E+07,1.06E+08,,,,,
2,1.97E+07,3.18E+07,6.41E+07,1.10E+08,,,,,
3,1.96E+07,3.09E+07,5.92E+07,8.23E+07,,,,,
4,1.97E+07,3.11E+07,6.32E+07,1.12E+08,,,,,
5,1.94E+07,3.05E+07,6.16E+07,1.05E+08,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00953,0.0095357,0.009539,0.0095404,,,,,
2,0.0091583,0.0091588,0.0091591,0.0091573,,,,,
3,0.0094532,0.009453,0.0094526,0.0094532,,,,,
4,0.0098146,0.0098146,0.00981,0.0098139,,,,,
5,0.0092174,0.0092181,0.009217,0.009217,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,55.6193,36.4647,18.4725,11.5165,,54.5042,34.80992,18.67772,11.58388
2,53.9269,33.5039,17.6421,11.1409,,,,,
3,53.8723,33.8052,20.4608,13.4383,,,,,
4,53.905,34.4005,17.3306,11.1235,,,,,
5,55.1975,35.8753,19.4826,10.7002,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.1,8.6735,4.543,2.6723,,13.2852,7.46336,4.07252,2.4214
2,12.752,6.657,3.5441,2.3129,,,,,
3,12.752,6.6348,4.1542,2.5031,,,,,
4,12.749,6.6979,3.5256,2.17,,,,,
5,14.073,8.6536,4.5957,2.4487,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.9373,25.759,12.7297,7.90538,,40.62584,25.61082,13.30582,8.15359
2,40.5699,25.2974,12.9199,7.90303,,,,,
3,40.5287,25.6547,14.8054,9.51509,,,,,
4,40.5585,26.0508,12.637,7.94401,,,,,
5,40.5348,25.2922,13.4371,7.50044,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.93E+07,2.94E+07,5.81E+07,9.32E+07,,,,,
2,1.99E+07,3.20E+07,6.09E+07,9.64E+07,,,,,
3,1.99E+07,3.18E+07,5.25E+07,7.99E+07,,,,,
4,1.99E+07,3.12E+07,6.20E+07,9.65E+07,,,,,
5,1.95E+07,2.99E+07,5.51E+07,1.00E+08,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0091309,0.0091309,0.0091309,0.0091309,,,,,
2,0.0098662,0.0098662,0.0098662,0.0098662,,,,,
3,0.008992,0.008992,0.008992,0.008992,,,,,
4,0.0086394,0.0086394,0.0086394,0.0086394,,,,,
5,0.0092177,0.0092177,0.0092177,0.0092177,,,,,
COLSIZE:,0.0001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,56.038,34.0556,17.55614,10.771616
1,56.635,35.5296,18.9382,12.2042,,,,,
2,55.3258,31.33,16.4684,10.6156,,,,,
3,56.8563,35.8212,17.9353,10.0491,,,,,
4,56.6864,36.5256,17.7327,11.0152,,,,,
5,54.6865,31.0716,16.7061,9.97398,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,15.027,11.178,4.7391,2.842,,14.4496,9.59638,4.2497,2.4782
2,13.651,7.0467,3.7136,2.1871,,,,,
3,15.127,11.617,4.5422,2.4873,,,,,
