TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.184,32.3836,18.0385,11.6126,,60.35598,32.66604,18.50484,12.25816
2,60.3424,32.0874,18.1093,11.5003,,,,,
3,61.2727,34.4303,19.4033,13.8241,,,,,
4,59.8885,32.4192,18.6799,12.4231,,,,,
5,60.0923,32.0097,18.2932,11.9307,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.78E+07,3.32E+07,5.95E+07,9.25E+07,,,,,
2,1.78E+07,3.35E+07,5.93E+07,9.34E+07,,,,,
3,1.75E+07,3.12E+07,5.53E+07,7.77E+07,,,,,
4,1.79E+07,3.31E+07,5.75E+07,8.64E+07,,,,,
5,1.79E+07,3.35E+07,5.87E+07,9.00E+07,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.25952,0.25952,0.25952,0.25952,,,,,
2,0.24766,0.24766,0.24766,0.2476,,,,,
3,0.25558,0.25558,0.25558,0.25558,,,,,
4,0.30167,0.30167,0.30167,0.30167,,,,,
5,0.2727,0.2727,0.2727,0.2727,,,,,
COLSIZE:,0.001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,62.3134,33.0583,19.0522,11.9577,,60.8004,32.00646,17.88922,10.82268
2,60.4413,31.6339,17.4429,10.5197,,,,,
3,60.0449,31.5554,17.4532,10.4342,,,,,
4,60.2357,31.33,17.5187,10.4857,,,,,
5,60.9667,32.4547,17.9791,10.7161,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.72E+07,3.25E+07,5.64E+07,8.98E+07,,,,,
2,1.78E+07,3.39E+07,6.16E+07,1.02E+08,,,,,
3,1.79E+07,3.40E+07,6.15E+07,1.03E+08,,,,,
4,1.78E+07,3.43E+07,6.13E+07,1.02E+08,,,,,
5,1.76E+07,3.31E+07,5.97E+07,1.00E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0086357,0.0086355,0.0086355,0.00863,,,,,
2,0.0084029,0.0084019,0.008402,0.0084031,,,,,
3,0.0085121,0.0085118,0.0085114,0.008512,,,,,
4,0.0096166,0.0096167,0.0096165,0.0096167,,,,,
5,0.0096596,0.0096592,0.0096591,0.0096594,,,,,
COLSIZE:,0.0001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.5242,31.4714,17.4336,10.4145,,60.9026,32.29056,17.7314,10.5593
2,61.1477,32.7532,17.9978,10.6343,,,,,
3,61.3254,32.4519,17.846,10.5512,,,,,
4,60.087,31.3985,17.4527,10.4102,,,,,
5,61.4287,33.3778,17.9269,10.7863,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.77E+07,3.41E+07,6.16E+07,1.03E+08,,,,,
2,1.76E+07,3.28E+07,5.97E+07,1.01E+08,,,,,
3,1.75E+07,3.31E+07,6.02E+07,1.02E+08,,,,,
4,1.79E+07,3.42E+07,6.15E+07,1.03E+08,,,,,
5,1.75E+07,3.22E+07,5.99E+07,9.95E+07,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0002839,0.00028348,0.00028444,0.00028384,,,,,
2,0.00030031,0.00030135,0.00030054,0.00030052,,,,,
3,0.00029776,0.00029759,0.00029822,0.00029747,,,,,
4,0.00029607,0.00029597,0.00029576,0.0002959,,,,,
5,0.00026616,0.00026529,0.00026502,0.00026687,,,,,
COLSIZE:,0.00001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.0712,34.655,18.607,10.9379,,61.03202,33.54384,18.93066,11.43852
2,62.2304,34.2697,18.8374,11.1052,,,,,
3,60.7724,36.0724,22.1216,14.3823,,,,,
4,60.1835,31.4134,17.7085,10.3288,,,,,
5,60.9026,31.3087,17.3788,10.4384,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.76E+07,3.10E+07,5.77E+07,9.82E+07,,,,,
2,1.73E+07,3.13E+07,5.70E+07,9.67E+07,,,,,
3,1.77E+07,2.98E+07,4.85E+07,7.47E+07,,,,,
4,1.78E+07,3.42E+07,6.06E+07,1.04E+08,,,,,
5,1.76E+07,3.43E+07,6.18E+07,1.03E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,3.17E-01,2.98E-02,6.66E-01,5.76E-01,,,,,
2,7.67E-01,6.68E-01,9.32E-01,1.04E-01,,,,,
3,2.28E-01,7.95E-01,1.15E-01,9.06E-02,,,,,
4,4.22E-01,2.99E-01,3.38E-01,2.99E-01,,,,,
5,9.80E-01,2.77E-01,4.30E-01,4.77E-02,,,,,
