TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,59.4868,32.1119,17.8194,10.8012,,59.9457,32.043,18.02428,10.84838
2,61.3095,32.4356,18.1047,10.9788,,,,,
3,59.688,31.649,17.7405,10.5748,,,,,
4,59.6357,31.9868,18.1131,10.7537,,,,,
5,59.6085,32.0317,18.3437,11.1334,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.7,6.766,3.7487,2.3045,,13.128,6.8194,3.85622,2.34974
2,14.285,7.4289,4.2241,2.5499,,,,,
3,12.76,6.6672,3.7842,2.294,,,,,
4,12.943,6.6072,3.759,2.3033,,,,,
5,12.952,6.6277,3.7651,2.297,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.336,24.8655,13.74,8.20698,,46.3749,24.7608,13.85322,8.221606
2,46.5791,24.5171,13.5795,8.1479,,,,,
3,46.4982,24.5812,13.6738,8.00223,,,,,
4,46.2394,24.8742,14.0106,8.19233,,,,,
5,46.2218,24.966,14.2622,8.55859,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.81E+07,3.34E+07,6.03E+07,9.94E+07,,,,,
2,1.75E+07,3.31E+07,5.93E+07,9.78E+07,,,,,
3,1.80E+07,3.39E+07,6.05E+07,1.02E+08,,,,,
4,1.80E+07,3.36E+07,5.93E+07,9.98E+07,,,,,
5,1.80E+07,3.35E+07,5.85E+07,9.64E+07,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.070901,0.070904,0.070901,0.070911,,,,,
2,0.073975,0.073975,0.073977,0.073974,,,,,
3,0.074006,0.074006,0.074006,0.074,,,,,
4,0.087562,0.087563,0.087562,0.087564,,,,,
5,0.1149,0.1149,0.1149,0.11497,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,59.5032,31.4798,17.399,10.4763,,59.8028,31.46546,17.66794,10.5212
2,60.9749,32.0832,17.9975,10.7048,,,,,
3,59.3505,31.1657,17.7126,10.3991,,,,,
4,59.7519,31.3518,17.6803,10.5154,,,,,
5,59.4335,31.2468,17.5503,10.5104,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.68,6.6799,3.7573,2.3093,,12.9452,6.7973,3.86792,2.35394
2,13.995,7.4906,4.244,2.5432,,,,,
3,12.65,6.5967,3.794,2.2973,,,,,
4,12.725,6.6015,3.7742,2.3183,,,,,
5,12.676,6.6178,3.7701,2.3016,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.3929,24.4675,13.3483,7.90462,,46.42432,24.2678,13.47316,7.8931
2,46.5369,24.1146,13.4215,7.87875,,,,,
3,46.2732,24.1809,13.6068,7.85571,,,,,
4,46.5899,24.3456,13.5335,7.92444,,,,,
5,46.3287,24.2304,13.4557,7.90198,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.80E+07,3.41E+07,6.17E+07,1.02E+08,,,,,
2,1.76E+07,3.35E+07,5.97E+07,1.00E+08,,,,,
3,1.81E+07,3.45E+07,6.06E+07,1.03E+08,,,,,
4,1.80E+07,3.42E+07,6.07E+07,1.02E+08,,,,,
5,1.81E+07,3.44E+07,6.12E+07,1.02E+08,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.066828,0.066832,0.066828,0.066836,,,,,
2,0.094404,0.094405,0.094404,0.094409,,,,,
3,0.11026,0.11026,0.11026,0.11026,,,,,
4,0.12694,0.12694,0.12695,0.12695,,,,,
5,0.078104,0.07812,0.078109,0.078106,,,,,
COLSIZE:,0.001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.9762,31.9395,18.3657,11.9573,,60.5495,31.50094,17.70896,10.8365
2,60.8928,31.7165,17.7313,10.6575,,,,,
3,60.0245,31.0754,17.3407,10.41,,,,,
4,59.9,31.1311,17.3368,10.4526,,,,,
5,60.954,31.6422,17.7703,10.7051,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.315,7.3653,4.1966,2.5484,,13.7846,7.03766,4.0027,2.4499
2,14.2,7.3817,4.1787,2.5381,,,,,
3,13.072,6.5719,3.7279,2.2986,,,,,
4,13.026,6.5533,3.7196,2.299,,,,,
5,14.31,7.3161,4.1907,2.5654,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.2257,24.1684,13.8655,9.13034,,46.32304,24.00448,13.38724,8.096896
2,46.2197,23.879,13.2006,7.81489,,,,,
3,46.5118,24.0436,13.3044,7.82401,,,,,
4,46.4588,24.0826,13.3063,7.85747,,,,,
5,46.1992,23.8488,13.2594,7.85777,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.76E+07,3.36E+07,5.85E+07,8.98E+07,,,,,
2,1.76E+07,3.39E+07,6.06E+07,1.01E+08,,,,,
3,1.79E+07,3.46E+07,6.19E+07,1.03E+08,,,,,
4,1.79E+07,3.45E+07,6.19E+07,1.03E+08,,,,,
5,1.76E+07,3.39E+07,6.04E+07,1.00E+08,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.001008,0.0010075,0.0010085,0.0010082,,,,,
2,0.00069585,0.00069583,0.00069502,0.00069482,,,,,
3,0.00086175,0.00085938,0.00086118,0.00086206,,,,,
4,0.00080424,0.0008036,0.00080489,0.00080431,,,,,
5,0.00073869,0.00073852,0.000737,0.00073836,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,60.5205,31.5734,17.7635,10.6282,,60.33934,31.35592,17.65078,10.55796
2,60.6129,31.5056,17.7663,10.6591,,,,,
3,59.3056,30.7958,17.5624,10.3783,,,,,
4,59.3946,30.8033,17.3106,10.4247,,,,,
5,61.8631,32.1015,17.8511,10.6995,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.905,7.3643,4.1795,2.535,,13.4372,7.02446,4.00368,2.4421
2,13.926,7.322,4.1861,2.5285,,,,,
3,12.621,6.5273,3.7579,2.2968,,,,,
4,12.63,6.5241,3.7145,2.2928,,,,,
5,14.104,7.3846,4.1804,2.5574,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.2008,23.7715,13.2722,7.80504,,46.48902,23.90626,13.3124,7.826718
2,46.2714,23.7061,13.2564,7.82331,,,,,
3,46.2707,23.8326,13.4537,7.80632,,,,,
4,46.3627,23.8766,13.256,7.82989,,,,,
5,47.3395,24.3445,13.3237,7.86903,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.77E+07,3.40E+07,6.04E+07,1.01E+08,,,,,
2,1.77E+07,3.41E+07,6.04E+07,1.01E+08,,,,,
3,1.81E+07,3.49E+07,6.11E+07,1.03E+08,,,,,
4,1.81E+07,3.49E+07,6.20E+07,1.03E+08,,,,,
5,1.74E+07,3.34E+07,6.01E+07,1.00E+08,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0013122,0.0013128,0.0013122,0.0013126,,,,,
2,0.00082647,0.00082697,0.00082624,0.00082624,,,,,
3,0.00074273,0.000743,0.0007432,0.00074472,,,,,
4,0.0010661,0.0010669,0.001066,0.001066,,,,,
5,0.0006437,0.00064291,0.00064351,0.00064667,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,59.5681,30.8509,17.2915,10.3886,,60.5885,31.47022,17.6333,10.57072
2,60.9175,31.4993,17.6986,10.6306,,,,,
3,60.8552,31.601,17.802,10.6568,,,,,
4,60.8115,31.6709,17.6805,10.5694,,,,,
5,60.7902,31.729,17.6939,10.6082,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.832,6.5752,3.7367,2.302,,13.8978,7.30864,4.11918,2.50582
2,14.25,7.5351,4.2908,2.5978,,,,,
3,14.153,7.4678,4.2161,2.5528,,,,,
