TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,50.488,25.741,14.203,8.33299,,50.61208,25.71422,14.17132,8.315374
2,50.5004,25.8331,14.1888,8.30738,,,,,
3,50.4556,25.8302,14.1979,8.31122,,,,,
4,50.6073,25.6216,14.136,8.34284,,,,,
5,51.0091,25.5452,14.1309,8.28244,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.13E+07,4.17E+07,7.56E+07,1.29E+08,,,,,
2,2.13E+07,4.16E+07,7.57E+07,1.29E+08,,,,,
3,2.13E+07,4.16E+07,7.56E+07,1.29E+08,,,,,
4,2.12E+07,4.19E+07,7.60E+07,1.29E+08,,,,,
5,2.11E+07,4.20E+07,7.60E+07,1.30E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.021229,0.021229,0.021229,0.021229,,,,,
2,0.014839,0.014839,0.014839,0.014839,,,,,
3,0.016741,0.016741,0.016741,0.016741,,,,,
4,0.02088,0.02088,0.02088,0.02088,,,,,
5,0.017215,0.017215,0.017215,0.017215,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.1871,23.7623,13.199,7.73499,,47.3635,23.8088,13.27702,7.77168
2,47.7282,23.8852,13.3055,7.79165,,,,,
3,47.2849,23.8352,13.2989,7.77338,,,,,
4,47.3437,23.7631,13.2863,7.76459,,,,,
5,47.2736,23.7982,13.2954,7.79379,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.28E+07,4.52E+07,8.14E+07,1.39E+08,,,,,
2,2.25E+07,4.50E+07,8.07E+07,1.38E+08,,,,,
3,2.27E+07,4.50E+07,8.07E+07,1.38E+08,,,,,
4,2.27E+07,4.52E+07,8.08E+07,1.38E+08,,,,,
5,2.27E+07,4.51E+07,8.08E+07,1.38E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.021229,0.021229,0.021229,0.021229,,,,,
2,0.014839,0.014839,0.014839,0.014839,,,,,
3,0.016741,0.016741,0.016741,0.016741,,,,,
4,0.02088,0.02088,0.02088,0.02088,,,,,
5,0.017215,0.017215,0.017215,0.017215,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,50.4447,25.6883,14.221,8.29549,,50.49388,25.62236,14.20718,8.314198
2,50.4856,25.6684,14.2992,8.34059,,,,,
3,50.4394,25.6354,14.1776,8.31213,,,,,
4,50.4112,25.6149,14.1648,8.30696,,,,,
5,50.6885,25.5048,14.1733,8.31582,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.13E+07,4.18E+07,7.55E+07,1.29E+08,,,,,
2,2.13E+07,4.18E+07,7.51E+07,1.29E+08,,,,,
3,2.13E+07,4.19E+07,7.57E+07,1.29E+08,,,,,
4,2.13E+07,4.19E+07,7.58E+07,1.29E+08,,,,,
5,2.12E+07,4.21E+07,7.58E+07,1.29E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.0312,23.6516,13.1724,7.7292,,47.08734,23.69688,13.23168,7.765414
2,47.1521,23.6965,13.2467,7.76114,,,,,
3,47.0792,23.7357,13.3372,7.87735,,,,,
4,47.0349,23.6374,13.1523,7.7217,,,,,
5,47.1393,23.7632,13.2498,7.73768,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.28E+07,4.54E+07,8.15E+07,1.39E+08,,,,,
2,2.28E+07,4.53E+07,8.11E+07,1.38E+08,,,,,
3,2.28E+07,4.52E+07,8.05E+07,1.36E+08,,,,,
4,2.28E+07,4.54E+07,8.16E+07,1.39E+08,,,,,
5,2.28E+07,4.52E+07,8.10E+07,1.39E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,50.5293,25.8219,14.1213,8.27387,,51.63958,26.04252,14.14846,8.341632
2,50.3952,25.6041,14.1525,8.30068,,,,,
3,50.6453,25.5188,14.1607,8.33586,,,,,
4,50.4217,25.7841,14.2078,8.29473,,,,,
5,56.2064,27.4837,14.1,8.50302,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.12E+07,4.16E+07,7.60E+07,1.30E+08,,,,,
2,2.13E+07,4.19E+07,7.59E+07,1.29E+08,,,,,
3,2.12E+07,4.21E+07,7.58E+07,1.29E+08,,,,,
4,2.13E+07,4.16E+07,7.56E+07,1.29E+08,,,,,
5,1.91E+07,3.91E+07,7.62E+07,1.26E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.0084,23.6855,13.2122,7.73734,,46.9767,23.6571,13.284,7.741248
2,46.9652,23.5766,13.673,7.76078,,,,,
3,46.9758,23.6224,13.223,7.7463,,,,,
4,46.9925,23.7592,13.1742,7.7386,,,,,
5,46.9416,23.6418,13.1376,7.72322,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.28E+07,4.53E+07,8.13E+07,1.39E+08,,,,,
2,2.29E+07,4.55E+07,7.85E+07,1.38E+08,,,,,
3,2.29E+07,4.55E+07,8.12E+07,1.39E+08,,,,,
4,2.28E+07,4.52E+07,8.15E+07,1.39E+08,,,,,
5,2.29E+07,4.54E+07,8.17E+07,1.39E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,69.1617,27.2982,14.2951,7.82327,,56.86976,26.70232,14.34124,8.171658
2,63.3662,27.9555,14.611,7.85434,,,,,
3,50.5443,25.9383,14.3232,8.48527,,,,,
4,50.4687,26.3492,14.1869,8.3392,,,,,
5,50.8079,25.9704,14.29,8.35621,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.55E+07,3.93E+07,7.51E+07,1.37E+08,,,,,
2,1.69E+07,3.84E+07,7.35E+07,1.37E+08,,,,,
3,2.12E+07,4.14E+07,7.50E+07,1.27E+08,,,,,
4,2.13E+07,4.08E+07,7.57E+07,1.29E+08,,,,,
5,2.11E+07,4.13E+07,7.51E+07,1.28E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,59.4297,24.1321,13.6321,7.19308,,52.95294,24.97568,13.62212,7.529956
2,63.4208,25.6093,13.7631,7.02901,,,,,
3,47.2962,24.0077,13.2935,7.7348,,,,,
4,47.2423,24.3088,13.3912,7.74586,,,,,
5,47.3757,26.8205,14.0307,7.94703,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.81E+07,4.45E+07,7.88E+07,1.49E+08,,,,,
2,1.69E+07,4.19E+07,7.80E+07,1.53E+08,,,,,
3,2.27E+07,4.47E+07,8.08E+07,1.39E+08,,,,,
4,2.27E+07,4.42E+07,8.02E+07,1.39E+08,,,,,
5,2.27E+07,4.00E+07,7.65E+07,1.35E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
