TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,57.84676,34.18562,17.54338,11.13066
1,53.7501,34.1183,17.3415,13.2113,,,,,
2,54.61,34.2633,17.2322,9.87859,,,,,
3,72.1543,34.7728,16.8944,11.2463,,,,,
4,54.9762,34.354,17.4904,11.4262,,,,,
5,53.7432,33.4197,18.7584,9.89091,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.819,6.8266,3.6094,2.5678,,13.0236,6.7019,3.62972,2.26658
2,13.33,6.6849,3.5246,2.0818,,,,,
3,13.002,6.57,3.5879,2.307,,,,,
4,13.172,6.667,3.6231,2.3652,,,,,
5,12.795,6.761,3.8036,2.0111,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.5117,26.1435,12.9997,10.7038,,44.3823,26.30302,13.23036,8.65662
2,40.8317,26.3867,12.8955,7.38674,,,,,
3,58.7158,27.009,12.6453,8.8267,,,,,
4,41.3529,26.4149,13.2377,8.95674,,,,,
5,40.4994,25.561,14.3736,7.40912,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.00E+07,3.15E+07,6.19E+07,8.13E+07,,,,,
2,1.97E+07,3.13E+07,6.23E+07,1.09E+08,,,,,
3,1.49E+07,3.09E+07,6.36E+07,9.55E+07,,,,,
4,1.95E+07,3.13E+07,6.14E+07,9.40E+07,,,,,
5,2.00E+07,3.21E+07,5.72E+07,1.09E+08,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.017001,0.017093,0.017238,0.01721,,,,,
2,0.017166,0.01726,0.017336,0.017504,,,,,
3,0.067052,0.067114,0.071757,0.071755,,,,,
4,0.071218,0.071213,0.071225,0.071164,,,,,
5,0.01473,0.014732,0.016409,0.01549,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,54.391,35.0377,23.1361,14.8078,,54.3209,34.70708,19.18934,12.22724
2,54.0187,34.6245,17.189,10.817,,,,,
3,54.2353,34.5524,19.2046,12.8654,,,,,
4,54.1387,34.9824,17.9805,11.9769,,,,,
5,54.8208,34.3384,18.4365,10.6691,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.785,6.7494,4.3522,2.8521,,12.8314,6.78404,3.84098,2.34346
2,12.71,6.81,3.4844,2.0877,,,,,
3,12.871,6.9495,3.7581,2.3983,,,,,
4,12.853,6.8377,3.5875,2.2182,,,,,
5,12.938,6.5736,4.0227,2.161,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.0228,26.843,16.919,10.4854,,40.89772,26.36244,13.9626,8.757786
2,40.714,26.2315,12.5811,7.83325,,,,,
3,40.7501,26.071,14.0548,9.21844,,,,,
4,40.7133,26.4392,13.1831,8.60365,,,,,
5,41.2884,26.2275,13.075,7.64819,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.97E+07,3.06E+07,4.64E+07,7.25E+07,,,,,
2,1.99E+07,3.10E+07,6.25E+07,9.93E+07,,,,,
3,1.98E+07,3.11E+07,5.59E+07,8.35E+07,,,,,
4,1.98E+07,3.07E+07,5.97E+07,8.97E+07,,,,,
5,1.96E+07,3.13E+07,5.82E+07,1.01E+08,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.013749,0.013749,0.013749,0.013749,,,,,
2,0.019446,0.019446,0.019446,0.019446,,,,,
3,0.019268,0.019268,0.019268,0.019268,,,,,
4,0.075333,0.075333,0.075333,0.075333,,,,,
5,0.025873,0.025873,0.025873,0.025873,,,,,
COLSIZE:,0.001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,55.7598,34.0612,17.1702,9.57477,,55.23336,34.89916,19.01212,10.906334
2,53.8598,34.2444,17.1027,10.1817,,,,,
3,55.2784,34.6814,18.2799,11.187,,,,,
4,55.6391,36.2816,25.1991,13.5038,,,,,
5,55.6297,35.2272,17.3087,10.0844,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.332,6.834,3.7265,1.987,,13.5762,7.45308,4.4347,2.40962
2,12.798,6.8204,3.5576,2.0961,,,,,
3,13.16,6.6193,3.9254,2.3907,,,,,
4,14.432,8.4843,6.4275,2.9725,,,,,
5,14.159,8.5074,4.5365,2.6018,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.9696,26.2821,12.8683,7.09139,,41.20522,26.4763,14.32028,8.170912
2,40.6075,26.3892,12.7992,7.576,,,,,
3,41.6612,26.8394,13.9156,8.627,,,,,
4,40.7743,26.8913,19.7257,10.3076,,,,,
5,41.0135,25.9795,12.2926,7.25257,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.93E+07,3.15E+07,6.25E+07,1.12E+08,,,,,
2,1.99E+07,3.14E+07,6.28E+07,1.05E+08,,,,,
3,1.94E+07,3.10E+07,5.87E+07,9.60E+07,,,,,
4,1.93E+07,2.96E+07,4.26E+07,7.95E+07,,,,,
5,1.93E+07,3.05E+07,6.20E+07,1.06E+08,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,9.47E-01,0.0006139,0.00016443,,,,,
2,,0.00016911,0.000154,0.00040117,,,,,
3,,1.19E-01,0.00035366,0.00040341,,,,,
4,,0.00052335,0.00068881,0.00059583,,,,,
5,,0.00034896,0.00028208,0.0002447,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,54.0492,34.2863,20.3293,10.2906,,54.60682,35.31844,20.25134,11.44288
2,54.284,34.7926,18.059,10.8948,,,,,
3,54.3897,34.501,19.1094,11.5539,,,,,
4,55.1843,36.6652,23.3206,12.7672,,,,,
5,55.1269,36.3471,20.4384,11.7079,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.66,6.5317,4.0909,1.9976,,13.2208,7.40428,4.4049,2.34866
2,12.784,6.987,3.5791,2.161,,,,,
3,12.717,6.568,4.0973,2.2904,,,,,
4,14.003,8.4632,5.3077,2.7102,,,,,
5,13.94,8.4715,4.9495,2.5841,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.8148,26.2142,14.6146,7.44034,,40.7926,26.22518,14.27126,8.07527
2,40.9198,26.0823,13.1799,7.77616,,,,,
3,41.0681,26.4246,13.5788,8.26514,,,,,
4,40.5887,26.4123,16.014,8.79197,,,,,
5,40.5716,25.9925,13.969,8.10274,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.99E+07,3.13E+07,5.28E+07,1.04E+08,,,,,
2,1.98E+07,3.09E+07,5.95E+07,9.86E+07,,,,,
3,1.97E+07,3.11E+07,5.62E+07,9.29E+07,,,,,
4,1.95E+07,2.93E+07,4.60E+07,8.41E+07,,,,,
5,1.95E+07,2.95E+07,5.25E+07,9.17E+07,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,54.54402,33.64216,17.89206,10.804692
1,54.6064,33.3056,19.1457,9.98435,,,,,
2,54.0611,33.2655,17.4507,9.81534,,,,,
3,53.7221,33.5821,17.1116,13.1271,,,,,
4,54.6828,32.8433,17.3776,9.81427,,,,,
5,55.6477,35.2143,18.3747,11.2824,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.959,6.6614,3.8213,2.186,,13.1736,7.08712,3.9576,2.3168
2,12.816,6.71,4.0243,2.1278,,,,,
3,12.785,6.9946,3.6499,2.5463,,,,,
4,13.137,6.57,3.597,2.033,,,,,
5,14.171,8.4996,4.6955,2.6909,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.2006,25.5099,14.7281,7.56128,,40.92644,25.50464,13.41162,8.227376
