TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,50.8729,139.959,92.3652,68.8788,,51.12025,137.3375,91.5781,69.6046
2,51.3676,134.716,90.791,70.3304,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.11E+07,7.67E+06,1.16E+07,1.56E+07,,,,,
2,2.09E+07,7.97E+06,1.18E+07,1.53E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.015266,0.04861,0.078842,0.099397,,,,,
2,0.015614,0.048883,0.07861,0.099847,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.6662,149.646,91.5179,55.4592,,47.6587,153.0775,91.5566,55.7564
2,47.6512,156.509,91.5953,56.0536,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.25E+07,7.18E+06,1.17E+07,1.94E+07,,,,,
2,2.25E+07,6.86E+06,1.17E+07,1.92E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.015266,0.04748,0.076498,0.09644,,,,,
2,0.015614,0.047877,0.076558,0.096584,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,50.9267,145.76,90.7809,66.914,,50.88135,143.8335,91.19925,67.34595
2,50.836,141.907,91.6176,67.7779,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.11E+07,7.37E+06,1.18E+07,1.60E+07,,,,,
2,2.11E+07,7.57E+06,1.17E+07,1.58E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.04384,0.077258,0.098513,,,,,
2,,0.04356,0.077237,0.098433,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.4864,159.028,91.2518,54.4169,,47.4755,153.875,90.35745,54.53975
2,47.4646,148.722,89.4631,54.6626,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.26E+07,6.75E+06,1.18E+07,1.97E+07,,,,,
2,2.26E+07,7.22E+06,1.20E+07,1.96E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.04454,0.075016,0.095072,,,,,
2,,0.043907,0.074958,0.095105,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,51.0195,141.218,91.9379,66.6719,,50.88905,135.821,90.92555,66.89935
2,50.7586,130.424,89.9132,67.1268,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.10E+07,7.60E+06,1.17E+07,1.61E+07,,,,,
2,2.12E+07,8.23E+06,1.19E+07,1.60E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.041971,0.077104,0.098419,,,,,
2,,0.04241,0.077013,0.098304,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.3251,150.7,89.2222,54.001,,47.3338,149.829,88.7581,54.1947
2,47.3425,148.958,88.294,54.3884,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.27E+07,7.13E+06,1.20E+07,1.99E+07,,,,,
2,2.27E+07,7.21E+06,1.22E+07,1.97E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.044222,0.075142,0.095066,,,,,
2,,0.044213,0.074979,0.094996,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,50.8217,137.411,90.3574,66.6198,,50.97385,139.784,92.2223,66.79745
2,51.126,142.157,94.0872,66.9751,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.11E+07,7.81E+06,1.19E+07,1.61E+07,,,,,
2,2.10E+07,7.55E+06,1.14E+07,1.60E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.042212,0.07718,0.098501,,,,,
2,,0.042201,0.07708,0.098593,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.3571,152.408,89.6391,54.34,,47.3751,152.0335,89.12585,62.31275
2,47.3931,151.659,88.6126,70.2855,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.27E+07,7.05E+06,1.20E+07,1.98E+07,,,,,
2,2.27E+07,7.08E+06,1.21E+07,1.53E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.04437,0.075152,0.095046,,,,,
2,,0.043982,0.074871,0.09382,,,,,
