TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.1825,31.4559,17.4506,10.4924,,60.66206,32.01336,17.7483,10.62618
2,60.9026,32.4662,17.9943,10.7083,,,,,
3,60.0356,31.5411,17.5556,10.4328,,,,,
4,61.3104,32.2959,17.8903,10.7769,,,,,
5,60.8792,32.3077,17.8507,10.7205,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.78E+07,3.41E+07,6.15E+07,1.02E+08,,,,,
2,1.76E+07,3.31E+07,5.97E+07,1.00E+08,,,,,
3,1.79E+07,3.40E+07,6.12E+07,1.03E+08,,,,,
4,1.75E+07,3.32E+07,6.00E+07,9.96E+07,,,,,
5,1.76E+07,3.32E+07,6.02E+07,1.00E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.035563,0.035595,0.035588,0.035593,,,,,
2,0.01442,0.014446,0.014428,0.014425,,,,,
3,0.015413,0.015505,0.015432,0.015415,,,,,
4,0.04407,0.044075,0.044096,0.044094,,,,,
5,0.030095,0.030096,0.030087,0.03066,,,,,
COLSIZE:,0.001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.7016,32.6661,17.7912,10.6973,,60.55536,32.37172,17.7045,10.63052
2,59.8758,31.8631,17.4149,10.436,,,,,
3,60.0653,32.3053,17.542,10.4913,,,,,
4,60.8327,32.5322,17.8877,10.7758,,,,,
5,61.3014,32.4919,17.8867,10.7522,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.77E+07,3.29E+07,6.04E+07,1.00E+08,,,,,
2,1.79E+07,3.37E+07,6.17E+07,1.03E+08,,,,,
3,1.79E+07,3.32E+07,6.12E+07,1.02E+08,,,,,
4,1.77E+07,3.30E+07,6.00E+07,9.96E+07,,,,,
5,1.75E+07,3.30E+07,6.00E+07,9.99E+07,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00028375,0.00011535,9.08E-01,,,,,
2,,2.13E-01,7.29E-01,8.28E-01,,,,,
3,,4.22E-01,9.88E-01,2.69E-01,,,,,
4,,0.00020627,4.91E-01,2.34E-03,,,,,
5,,0.00012068,1.02E-01,2.23E-01,,,,,
COLSIZE:,0.0001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,60.0132,31.6094,17.4888,10.4027,,60.78338,32.18876,17.81582,10.60814
2,60.6673,32.4667,17.7977,10.6581,,,,,
3,61.2334,32.8082,17.9836,10.6687,,,,,
4,61.0655,32.1911,17.9505,10.6544,,,,,
5,60.9375,31.8684,17.8585,10.6568,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.79E+07,3.40E+07,6.14E+07,1.03E+08,,,,,
2,1.77E+07,3.31E+07,6.03E+07,1.01E+08,,,,,
3,1.75E+07,3.27E+07,5.97E+07,1.01E+08,,,,,
4,1.76E+07,3.34E+07,5.98E+07,1.01E+08,,,,,
5,1.76E+07,3.37E+07,6.01E+07,1.01E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,2.85E-01,4.59E-01,1.05E-01,,,,,
2,,0.00058052,0.00058408,0.00042358,,,,,
3,,1.68E-01,7.98E-01,8.91E-01,,,,,
4,,8.34E-01,1.56E-01,0.00033033,,,,,
5,,0.00022053,0.00028336,0.00013041,,,,,
COLSIZE:,0.00001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.2626,32.1753,18.0022,10.6962,,60.62094,32.16098,17.75426,10.57384
2,61.0353,32.3531,17.8964,10.6594,,,,,
3,59.8563,32.2564,17.4161,10.499,,,,,
4,60.935,32.5862,17.9882,10.6334,,,,,
5,60.0155,31.4339,17.4684,10.3812,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.75E+07,3.34E+07,5.96E+07,1.00E+08,,,,,
2,1.76E+07,3.32E+07,6.00E+07,1.01E+08,,,,,
3,1.79E+07,3.33E+07,6.17E+07,1.02E+08,,,,,
4,1.76E+07,3.30E+07,5.97E+07,1.01E+08,,,,,
5,1.79E+07,3.42E+07,6.15E+07,1.03E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00024225,1.29E-01,6.46E-01,,,,,
2,,2.86E-01,4.61E-01,6.22E-01,,,,,
3,,0.00019004,0.00011072,7.43E-01,,,,,
4,,0.00012501,5.86E-02,5.16E-01,,,,,
5,,0.00010358,3.39E-01,7.93E-01,,,,,
