TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.1154,33.795,21.0177,13.8261,,61.23982,33.97526,21.21914,14.03776
2,61.1273,33.5984,20.6706,13.7652,,,,,
3,61.229,33.453,21.2018,13.8894,,,,,
4,62.8734,35.7926,22.7069,14.897,,,,,
5,59.854,33.2373,20.4987,13.8111,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.444,7.467,4.253,2.5783,,13.9926,7.13958,4.06542,2.4869
2,14.53,7.4912,4.2572,2.6146,,,,,
3,14.675,7.4584,4.22,2.5666,,,,,
4,13.113,6.629,3.8033,2.3302,,,,,
5,13.201,6.6523,3.7936,2.3448,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.2996,25.8689,16.4463,10.9868,,46.87054,26.3842,16.82436,11.28026
2,46.2237,25.6556,16.0775,10.8825,,,,,
3,46.1807,25.5709,16.6689,11.049,,,,,
4,49.3843,28.6972,18.5712,12.3091,,,,,
5,46.2644,26.1284,16.3579,11.1739,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.76E+07,3.18E+07,5.11E+07,7.77E+07,,,,,
2,1.76E+07,3.20E+07,5.19E+07,7.80E+07,,,,,
3,1.75E+07,3.21E+07,5.06E+07,7.73E+07,,,,,
4,1.71E+07,3.00E+07,4.73E+07,7.21E+07,,,,,
5,1.79E+07,3.23E+07,5.24E+07,7.77E+07,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1961,0.1961,0.1961,0.1961,,,,,
2,0.3703,0.3703,0.3703,0.3703,,,,,
3,0.0506,0.0506,0.0506,0.0506,,,,,
4,0.2607,0.2607,0.2607,0.2607,,,,,
5,0.205,0.205,0.205,0.205,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,62.6782,31.6336,17.7479,10.5963,,61.68192,31.82658,18.46364,11.54232
2,63.9345,33.4012,19.7497,12.9655,,,,,
3,61.3687,31.7599,19.138,11.9901,,,,,
4,59.5904,30.655,17.2729,10.3723,,,,,
5,60.8378,31.6832,18.4097,11.7874,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.64,7.489,4.2653,2.595,,13.8994,7.14906,4.06756,2.4873
2,14.531,7.4972,4.2411,2.5696,,,,,
3,14.38,7.502,4.2617,2.5846,,,,,
4,12.969,6.6718,3.8114,2.3576,,,,,
5,12.977,6.5853,3.7583,2.3297,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,47.6049,23.6628,13.1893,7.73661,,47.34906,24.24498,14.09354,8.782774
2,48.9545,25.4727,15.1824,10.1006,,,,,
3,46.5627,23.8016,14.5895,9.13758,,,,,
4,46.1991,23.6415,13.1958,7.73532,,,,,
5,47.4241,24.6463,14.3107,9.20376,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.71E+07,3.39E+07,6.05E+07,1.01E+08,,,,,
2,1.68E+07,3.21E+07,5.44E+07,8.28E+07,,,,,
3,1.75E+07,3.38E+07,5.61E+07,8.96E+07,,,,,
4,1.80E+07,3.50E+07,6.22E+07,1.04E+08,,,,,
5,1.76E+07,3.39E+07,5.83E+07,9.11E+07,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2117,0.2117,0.2117,0.2117,,,,,
2,0.1752,0.1752,0.1752,0.1752,,,,,
3,0.0671,0.0671,0.0671,0.0671,,,,,
4,0.24,0.24,0.24,0.24,,,,,
5,0.2937,0.2937,0.2937,0.2937,,,,,
COLSIZE:,0.001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.6901,32.0745,18.1481,10.9903,,60.9936,31.77506,17.91836,11.0018
2,61.9199,32.0596,18.23,11.0585,,,,,
3,60.0333,31.3268,17.4737,10.7635,,,,,
4,60.0113,31.541,17.8725,11.5114,,,,,
5,61.3134,31.8734,17.8675,10.6853,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.614,7.4809,4.2563,2.5929,,14.0674,7.16896,4.09112,2.5053
2,14.68,7.4969,4.2688,2.6174,,,,,
3,13.321,6.702,3.8078,2.3581,,,,,
4,13.124,6.648,3.8037,2.354,,,,,
5,14.598,7.517,4.319,2.6041,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.6218,24.1556,13.5675,8.13432,,46.46896,24.1833,13.51096,8.21688
2,46.7706,24.1699,13.62,8.17632,,,,,
3,46.2578,24.1761,13.3246,8.11262,,,,,
4,46.4406,24.468,13.7565,8.84984,,,,,
5,46.254,23.9469,13.2862,7.8113,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.74E+07,3.35E+07,5.92E+07,9.77E+07,,,,,
2,1.73E+07,3.35E+07,5.89E+07,9.71E+07,,,,,
3,1.79E+07,3.43E+07,6.14E+07,9.98E+07,,,,,
4,1.79E+07,3.40E+07,6.01E+07,9.33E+07,,,,,
5,1.75E+07,3.37E+07,6.01E+07,1.00E+08,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,5.85E-01,2.64E-01,7.04E-01,,,,,
2,,2.50E-01,2.86E-01,1.09E-02,,,,,
3,,7.56E-01,6.05E-01,1.80E-01,,,,,
4,,1.90E-01,5.11E-01,3.96E-01,,,,,
5,,4.07E-01,8.56E-01,7.10E-01,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,61.2442,31.8158,17.9557,10.9399,,60.9332,32.26762,18.6638,11.81124
2,61.2452,31.6081,17.7939,10.6413,,,,,
3,60.4665,35.5915,22.5461,16.3783,,,,,
4,59.7258,30.7363,17.2935,10.5019,,,,,
5,61.9843,31.5864,17.7298,10.5948,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.352,7.4574,4.224,2.5862,,13.8548,7.1623,4.07328,2.50286
2,14.383,7.4932,4.2608,2.5967,,,,,
3,12.98,6.683,3.8096,2.3588,,,,,
4,12.989,6.645,3.7864,2.358,,,,,
5,14.57,7.5329,4.2856,2.6146,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,46.4704,23.9261,13.423,8.05385,,46.64096,24.70992,14.27952,9.029708
2,46.4029,23.7432,13.2127,7.76898,,,,,
3,47.0406,28.504,18.3889,13.7324,,,,,
4,46.3116,23.6845,13.1824,7.85456,,,,,
5,46.9793,23.6918,13.1906,7.73875,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.75E+07,3.37E+07,5.98E+07,9.81E+07,,,,,
2,1.75E+07,3.40E+07,6.03E+07,1.01E+08,,,,,
3,1.78E+07,3.02E+07,4.76E+07,6.56E+07,,,,,
4,1.80E+07,3.49E+07,6.21E+07,1.02E+08,,,,,
5,1.73E+07,3.40E+07,6.06E+07,1.01E+08,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,5.71E-01,6.01E-01,9.21E-01,,,,,
2,,5.23E-01,6.49E-01,9.50E-01,,,,,
3,,8.01E-01,6.68E-01,5.82E-02,,,,,
4,,3.28E-01,5.54E-01,8.45E-01,,,,,
5,,4.20E-01,5.01E-01,2.49E-01,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,62.331,32.1723,17.9634,10.8032,,61.6441,31.66546,17.6831,10.5946
2,62.617,32.0534,17.99,10.7562,,,,,
3,61.0252,31.3683,17.4505,10.4734,,,,,
4,61.1731,31.3999,17.4836,10.4437,,,,,
5,61.0742,31.3334,17.528,10.4965,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,15.084,7.6521,4.3317,2.618,,14.2644,7.24608,4.07784,2.48032
2,15.101,7.7281,4.3568,2.6275,,,,,
3,13.687,6.9286,3.9106,2.4009,,,,,
4,13.691,6.9291,3.8731,2.3729,,,,,
5,13.759,6.9925,3.917,2.3823,,,,,
