TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,52.1016,28.0899,16.4767,8.94414,,52.0287,27.72238,15.56818,8.909072
2,52.9373,28.5492,15.3006,9.02196,,,,,
3,53.5886,27.8535,15.6219,9.00797,,,,,
4,50.8897,27.1083,15.2274,8.7604,,,,,
5,50.6263,27.011,15.2143,8.81089,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.06E+07,3.82E+07,6.52E+07,1.20E+08,,,,,
2,2.03E+07,3.76E+07,7.02E+07,1.19E+08,,,,,
3,2.00E+07,3.85E+07,6.87E+07,1.19E+08,,,,,
4,2.11E+07,3.96E+07,7.05E+07,1.23E+08,,,,,
5,2.12E+07,3.98E+07,7.06E+07,1.22E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2363,0.2363,0.2363,0.2363,,,,,
2,0.1523,0.1523,0.1523,0.1523,,,,,
3,0.0768,0.0768,0.0768,0.0768,,,,,
4,0.182,0.182,0.182,0.182,,,,,
5,0.175,0.175,0.175,0.175,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,48.3489,24.5752,14.0595,8.02147,,47.51992,24.23882,13.7964,8.042386
2,47.3301,24.1197,13.4543,8.00448,,,,,
3,47.274,24.3156,13.7953,8.04626,,,,,
4,47.1984,24.3266,13.753,8.09031,,,,,
5,47.4482,23.857,13.9199,8.04941,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.22E+07,4.37E+07,7.64E+07,1.34E+08,,,,,
2,2.27E+07,4.45E+07,7.98E+07,1.34E+08,,,,,
3,2.27E+07,4.42E+07,7.78E+07,1.33E+08,,,,,
4,2.27E+07,4.41E+07,7.81E+07,1.33E+08,,,,,
5,2.26E+07,4.50E+07,7.71E+07,1.33E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2363,0.2363,0.2363,0.2363,,,,,
2,0.1523,0.1523,0.1523,0.1523,,,,,
3,0.0768,0.0768,0.0768,0.0768,,,,,
4,0.182,0.182,0.182,0.182,,,,,
5,0.175,0.175,0.175,0.175,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,53.9592,27.4596,15.2774,8.96865,,54.31516,27.77734,15.39214,8.965294
2,54.1189,27.2669,15.1173,8.88052,,,,,
3,54.4145,28.1934,15.5242,9.06222,,,,,
4,54.7858,28.2645,15.5659,8.9842,,,,,
5,54.2974,27.7023,15.4759,8.93088,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.99E+07,3.91E+07,7.03E+07,1.20E+08,,,,,
2,1.98E+07,3.94E+07,7.10E+07,1.21E+08,,,,,
3,1.97E+07,3.81E+07,6.92E+07,1.18E+08,,,,,
4,1.96E+07,3.80E+07,6.90E+07,1.20E+08,,,,,
5,1.98E+07,3.88E+07,6.94E+07,1.20E+08,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,48.0225,24.5289,13.6777,7.96625,,47.7768,24.5213,13.8554,8.01607
2,47.6412,24.3721,14.0297,8.05837,,,,,
3,47.4433,24.5296,13.7716,7.96349,,,,,
4,47.8682,24.5444,13.8557,8.08671,,,,,
5,47.9088,24.6315,13.9423,8.00553,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.24E+07,4.38E+07,7.85E+07,1.35E+08,,,,,
2,2.25E+07,4.41E+07,7.65E+07,1.33E+08,,,,,
3,2.26E+07,4.38E+07,7.80E+07,1.35E+08,,,,,
4,2.24E+07,4.37E+07,7.75E+07,1.33E+08,,,,,
5,2.24E+07,4.36E+07,7.70E+07,1.34E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,67.4711,35.0049,18.7492,10.8581,,67.52974,34.56264,18.84446,10.84154
2,67.531,34.0894,18.6907,10.7471,,,,,
3,67.8131,34.7337,18.9929,10.8553,,,,,
4,67.2004,34.6785,18.8718,10.9238,,,,,
5,67.6331,34.3067,18.9177,10.8234,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.59E+07,3.07E+07,5.73E+07,9.89E+07,,,,,
2,1.59E+07,3.15E+07,5.74E+07,9.99E+07,,,,,
3,1.58E+07,3.09E+07,5.65E+07,9.89E+07,,,,,
4,1.60E+07,3.10E+07,5.69E+07,9.83E+07,,,,,
5,1.59E+07,3.13E+07,5.68E+07,9.92E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,55.3689,28.135,15.4281,8.84425,,57.15944,28.95196,15.54774,8.859246
2,64.481,32.1805,15.9514,8.96657,,,,,
3,55.5239,28.2908,15.4296,8.86841,,,,,
4,55.1696,28.0205,15.4275,8.80964,,,,,
5,55.2538,28.133,15.5021,8.80736,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.94E+07,3.82E+07,6.96E+07,1.21E+08,,,,,
2,1.67E+07,3.34E+07,6.73E+07,1.20E+08,,,,,
3,1.93E+07,3.80E+07,6.96E+07,1.21E+08,,,,,
4,1.95E+07,3.83E+07,6.96E+07,1.22E+08,,,,,
5,1.94E+07,3.82E+07,6.93E+07,1.22E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,69.0183,35.1366,18.9611,11.0239,,69.41014,35.46146,19.20258,10.97022
2,69.6124,35.8434,19.1464,10.9754,,,,,
3,70.172,35.7699,19.2084,10.9615,,,,,
4,69.1657,35.2656,19.1357,10.9348,,,,,
5,69.0823,35.2918,19.5613,10.9555,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.56E+07,3.06E+07,5.66E+07,9.74E+07,,,,,
2,1.54E+07,3.00E+07,5.61E+07,9.78E+07,,,,,
3,1.53E+07,3.00E+07,5.59E+07,9.80E+07,,,,,
4,1.55E+07,3.04E+07,5.61E+07,9.82E+07,,,,,
5,1.55E+07,3.04E+07,5.49E+07,9.80E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,56.7759,28.9458,15.7073,8.95479,,56.51464,28.76866,15.77562,9.005298
2,57.1666,28.9887,15.8851,9.0125,,,,,
3,55.2222,28.2332,15.6948,9.15802,,,,,
4,56.8812,29.1133,15.913,9.01868,,,,,
5,56.5273,28.5623,15.6779,8.8825,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.89E+07,3.71E+07,6.84E+07,1.20E+08,,,,,
2,1.88E+07,3.70E+07,6.76E+07,1.19E+08,,,,,
3,1.94E+07,3.80E+07,6.84E+07,1.17E+08,,,,,
4,1.89E+07,3.69E+07,6.75E+07,1.19E+08,,,,,
5,1.90E+07,3.76E+07,6.85E+07,1.21E+08,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
