TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,57.21894,34.87202,17.95534,11.067192
1,54.5693,33.5085,17.2443,12.0373,,,,,
2,54.7025,34.1557,18.2535,11.3646,,,,,
3,56.1313,35.1815,17.7267,10.2232,,,,,
4,60.7338,35.3437,18.2909,9.61976,,,,,
5,59.9578,36.1707,18.2613,12.0911,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.453,6.9544,3.6403,2.379,,14.01,7.577,4.1671,2.41892
2,13.504,7.0227,3.9054,2.3382,,,,,
3,14.82,8.5153,4.622,2.6001,,,,,
4,13.488,6.9882,3.9283,2.0613,,,,,
5,14.785,8.4044,4.7395,2.716,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.7264,25.356,12.7873,9.47473,,42.8227,26.15978,13.1787,8.360106
2,40.8133,25.9946,13.8123,8.8431,,,,,
3,40.9283,25.5216,12.4939,7.2626,,,,,
4,46.851,27.3309,13.877,7.12966,,,,,
5,44.7945,26.5958,12.923,9.09044,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.97E+07,3.20E+07,6.23E+07,8.92E+07,,,,,
2,1.96E+07,3.14E+07,5.88E+07,9.45E+07,,,,,
3,1.91E+07,3.05E+07,6.06E+07,1.05E+08,,,,,
4,1.77E+07,3.04E+07,5.87E+07,1.12E+08,,,,,
5,1.79E+07,2.97E+07,5.88E+07,8.88E+07,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1052,0.1052,0.1052,0.1052,,,,,
2,0.1246,0.1246,0.1246,0.1246,,,,,
3,0.9915,0.9915,0.9915,0.9915,,,,,
4,0.0957,0.0957,0.0957,0.0957,,,,,
5,0.1639,0.1639,0.1639,0.1639,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,54.4526,34.4078,19.6609,14.2767,,55.20718,35.19948,19.33198,12.57564
2,54.4001,34.5911,18.7845,10.6151,,,,,
3,56.9595,36.3875,18.4203,14.6975,,,,,
4,54.29,35.2891,19.7296,10.8965,,,,,
5,55.9337,35.3219,20.0646,12.3924,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.067,6.725,3.7215,2.607,,13.6046,7.39914,4.17836,2.56296
2,13.087,6.7136,3.7292,2.1233,,,,,
3,14.369,8.3901,4.6521,3.1177,,,,,
4,13,6.8145,3.9552,2.1506,,,,,
5,14.5,8.3525,4.8338,2.8162,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.7992,26.0728,14.6765,10.5031,,40.9964,26.0717,13.79388,8.974194
2,40.7258,26.2892,13.5583,7.62518,,,,,
3,41.9943,26.0852,12.6699,10.3867,,,,,
4,40.6093,26.8208,14.3548,7.91696,,,,,
5,40.8534,25.0905,13.7099,8.43903,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.97E+07,3.12E+07,5.46E+07,7.52E+07,,,,,
2,1.97E+07,3.10E+07,5.72E+07,1.01E+08,,,,,
3,1.89E+07,2.95E+07,5.83E+07,7.31E+07,,,,,
4,1.98E+07,3.04E+07,5.44E+07,9.85E+07,,,,,
5,1.92E+07,3.04E+07,5.35E+07,8.66E+07,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.2294,0.2294,0.2294,0.2294,,,,,
2,0.0864,0.0864,0.0864,0.0864,,,,,
3,0.1564,0.1564,0.1564,0.1564,,,,,
4,0.2004,0.2004,0.2004,0.2004,,,,,
5,0.0694,0.0694,0.0694,0.0694,,,,,
COLSIZE:,0.001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,55.1198,33.3832,26.4855,10.3572,,55.09426,33.79808,21.7313,11.4928
2,54.7963,33.813,18.5788,13.0124,,,,,
3,55.9197,35.0904,22.5801,13.1759,,,,,
4,54.8888,33.0396,23.7958,10.8023,,,,,
5,54.7467,33.6642,17.2163,10.1162,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.634,6.783,5.562,2.1365,,13.7978,7.15718,4.71738,2.5688
2,13.434,6.8644,3.9918,2.9228,,,,,
3,14.88,8.608,5.6955,3.3909,,,,,
4,13.516,6.7813,4.7166,2.2887,,,,,
5,13.525,6.7492,3.621,2.1051,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.0395,25.4175,22.0153,7.83164,,40.83994,25.48852,17.12558,8.864628
2,40.8988,25.8824,14.3157,10.416,,,,,
3,40.5949,25.3315,17.3727,10.1741,,,,,
4,40.8914,25.0734,19.0745,8.25955,,,,,
5,40.7751,25.7378,12.8497,7.64185,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.95E+07,3.22E+07,4.05E+07,1.04E+08,,,,,
2,1.96E+07,3.18E+07,5.78E+07,8.25E+07,,,,,
3,1.92E+07,3.06E+07,4.76E+07,8.15E+07,,,,,
4,1.96E+07,3.25E+07,4.51E+07,9.94E+07,,,,,
5,1.96E+07,3.19E+07,6.24E+07,1.06E+08,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,1.19E-01,5.07E-01,9.17E-01,,,,,
2,,7.72E-01,1.51E-01,4.14E-01,,,,,
3,,5.89E-01,1.07E-01,3.34E-01,,,,,
4,,9.20E-01,5.05E-01,4.76E-01,,,,,
5,,8.61E-01,3.91E-01,9.46E-01,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,54.4286,33.5465,25.3488,11.0642,,54.94282,34.36882,24.04204,11.08716
2,55.0361,34.7603,22.4034,11.4906,,,,,
3,56.0278,35.5754,26.5267,12.0118,,,,,
4,54.9518,34.2668,26.5133,10.6138,,,,,
5,54.2698,33.6951,19.418,10.2554,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.114,6.756,5.5363,2.2052,,13.4176,7.14586,5.19672,2.2614
2,13.243,6.7375,4.3663,2.2717,,,,,
3,14.57,8.6343,6.7628,2.663,,,,,
4,13.129,6.7511,5.4005,2.1051,,,,,
5,13.032,6.8504,3.9177,2.062,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.7325,25.2656,18.2304,7.90215,,40.92742,25.6229,17.20232,7.929738
2,41.209,26.5624,16.2777,8.27964,,,,,
3,40.8263,25.0664,18.3471,8.42847,,,,,
4,41.2306,25.8488,19.1692,7.68424,,,,,
5,40.6387,25.3713,13.9872,7.35419,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.97E+07,3.20E+07,4.24E+07,9.70E+07,,,,,
2,1.95E+07,3.09E+07,4.79E+07,9.34E+07,,,,,
3,1.92E+07,3.02E+07,4.05E+07,8.94E+07,,,,,
4,1.95E+07,3.13E+07,4.05E+07,1.01E+08,,,,,
5,1.98E+07,3.19E+07,5.53E+07,1.05E+08,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,57.72096,32.73102,19.05022,10.341724
1,57.018,31.3299,20.195,9.716,,,,,
2,57.1153,31.8093,17.4642,9.49964,,,,,
3,58.5184,33.7786,21.77,12.0581,,,,,
4,57.2848,32.3163,17.3204,9.74638,,,,,
5,58.6683,34.421,18.5015,10.6885,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.081,7.0945,4.4026,2.1269,,14.5932,7.89962,4.57962,2.48102
2,14.017,7.1594,3.8291,2.132,,,,,
3,15.448,9.0036,5.345,3.4444,,,,,
4,13.98,7.3372,3.9908,2.0896,,,,,
5,15.44,8.9034,5.3306,2.6122,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
