TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,51.765,102.21,74.8998,47.9022,,51.53715,102.3685,74.9694,47.916
2,51.3093,102.527,75.039,47.9298,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.07E+07,1.05E+07,1.43E+07,2.24E+07,,,,,
2,2.09E+07,1.05E+07,1.43E+07,2.24E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1126,0.1005,0.0738,0.0234,,,,,
2,0.1524,0.14,0.1127,0.0607,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.9506,102.652,78.902,49.1036,,47.757,102.778,78.8217,49.0797
2,47.5634,102.904,78.7414,49.0558,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.24E+07,1.05E+07,1.36E+07,2.19E+07,,,,,
2,2.26E+07,1.04E+07,1.36E+07,2.19E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,0.1126,0.1034,0.0828,0.0445,,,,,
2,0.1524,0.14,0.1216,0.082,,,,,
COLSIZE:,0.001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,54.3373,83.4375,64.2845,40.7858,,54.5594,83.5962,64.1991,40.90095
2,54.7815,83.7549,64.1137,41.0161,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.98E+07,1.29E+07,1.67E+07,2.63E+07,,,,,
2,1.96E+07,1.28E+07,1.67E+07,2.62E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.0010439,0.0034828,0.0082666,,,,,
2,0.09971,0.099297,0.098404,0.0968,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,47.6517,85.0428,64.1489,40.953,,47.653,85.2613,64.32435,40.87295
2,47.6543,85.4798,64.4998,40.7929,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.25E+07,1.26E+07,1.67E+07,2.62E+07,,,,,
2,2.25E+07,1.26E+07,1.66E+07,2.63E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00074486,0.0025189,0.0060639,,,,,
2,0.09971,0.09942,0.098744,0.0975,,,,,
COLSIZE:,0.0001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,67.7916,77.0332,58.6662,36.8579,,68.13695,76.877,58.848,36.83365
2,68.4823,76.7208,59.0298,36.8094,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.58E+07,1.39E+07,1.83E+07,2.91E+07,,,,,
2,1.57E+07,1.40E+07,1.82E+07,2.92E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00093626,0.0033069,0.0079835,,,,,
2,,0.00093209,0.0033203,0.0079,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,55.4662,81.2624,60.545,37.6755,,55.38465,81.58745,60.9029,37.6539
2,55.3031,81.9125,61.2608,37.6323,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.94E+07,1.32E+07,1.77E+07,2.85E+07,,,,,
2,1.94E+07,1.31E+07,1.75E+07,2.85E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00071346,0.0024044,0.0057645,,,,,
2,,0.00071113,0.0024116,0.0057584,,,,,
COLSIZE:,0.00001,,,,,,,,
NAIVE,,,,,,,,,
TIME:,,,,,,,,,
1,72.5768,72.0978,57.2591,36.6023,,70.90235,71.8006,57.6177,36.62095
2,69.2279,71.5034,57.9763,36.6396,,,,,
NAIVE,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.48E+07,1.49E+07,1.88E+07,2.93E+07,,,,,
2,1.55E+07,1.50E+07,1.85E+07,2.93E+07,,,,,
NAIVE,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00083712,0.0032507,0.0079952,,,,,
2,,0.00088054,0.003288,0.0080086,,,,,
MERGED,,,,,,,,,
TIME:,,,,,,,,,
1,56.9608,76.0773,61.3163,38.0273,,56.8296,76.3791,61.4277,38.0444
2,56.6984,76.6809,61.5391,38.0615,,,,,
MERGED,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.89E+07,1.41E+07,1.75E+07,2.82E+07,,,,,
2,1.89E+07,1.40E+07,1.74E+07,2.82E+07,,,,,
MERGED,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00069062,0.0024079,0.0057729,,,,,
2,,0.00069623,0.0024316,0.0058126,,,,,
