TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.591,34.0716,20.7124,14.0237,,61.13388,34.00102,20.68534,14.1134
2,60.7729,33.4116,20.4127,14.0866,,,,,
3,61.3725,34.4814,21.1166,14.5999,,,,,
4,60.6787,33.8874,20.3854,13.9159,,,,,
5,61.2543,34.1531,20.7996,13.9409,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.74E+07,3.15E+07,5.18E+07,7.66E+07,,,,,
2,1.77E+07,3.21E+07,5.26E+07,7.62E+07,,,,,
3,1.75E+07,3.11E+07,5.08E+07,7.35E+07,,,,,
4,1.77E+07,3.17E+07,5.27E+07,7.72E+07,,,,,
5,1.75E+07,3.14E+07,5.16E+07,7.70E+07,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0914,0.0914,0.0914,0.0914,,,,,
2,0.366,0.366,0.366,0.366,,,,,
3,0.1686,0.1686,0.1686,0.1686,,,,,
4,0.1479,0.1479,0.1479,0.1479,,,,,
5,0.227,0.227,0.227,0.227,,,,,
COLSIZE:,0.001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,61.6683,32.6117,18.035,10.7885,,61.15822,32.19258,18.05992,10.96118
2,60.5776,31.7928,18.0675,10.9341,,,,,
3,61.784,33.2875,18.9569,12.1396,,,,,
4,60.6684,31.6736,17.5997,10.4871,,,,,
5,61.0928,31.5973,17.6405,10.4566,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.74E+07,3.29E+07,5.95E+07,9.95E+07,,,,,
2,1.77E+07,3.38E+07,5.94E+07,9.82E+07,,,,,
3,1.74E+07,3.23E+07,5.66E+07,8.84E+07,,,,,
4,1.77E+07,3.39E+07,6.10E+07,1.02E+08,,,,,
5,1.76E+07,3.40E+07,6.09E+07,1.03E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,1.86E-02,1.85E-02,6.28E-01,,,,,
2,,7.68E-01,3.28E-01,1.73E-01,,,,,
3,,5.68E-01,8.76E-01,8.69E-01,,,,,
4,,7.90E-01,9.42E-01,3.79E-01,,,,,
5,,2.12E-01,3.83E-01,7.17E-01,,,,,
COLSIZE:,0.0001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,62.4958,32.9728,18.1023,10.6246,,62.2289,32.36494,18.2265,11.17654
2,62.9419,32.8039,19.2895,13.2747,,,,,
3,61.6284,31.6864,17.8054,10.6532,,,,,
4,62.4265,32.4687,18.3701,10.8071,,,,,
5,61.6519,31.8929,17.5652,10.5231,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.72E+07,3.26E+07,5.93E+07,1.01E+08,,,,,
2,1.71E+07,3.27E+07,5.57E+07,8.09E+07,,,,,
3,1.74E+07,3.39E+07,6.03E+07,1.01E+08,,,,,
4,1.72E+07,3.31E+07,5.85E+07,9.94E+07,,,,,
5,1.74E+07,3.37E+07,6.11E+07,1.02E+08,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,1.06E-01,4.96E-01,7.66E-01,,,,,
2,,2.32E-01,6.25E-01,3.32E-02,,,,,
3,,5.26E-01,3.60E-01,2.57E-01,,,,,
4,,2.25E-01,2.54E-02,6.88E-01,,,,,
5,,4.46E-01,4.54E-01,8.76E-01,,,,,
COLSIZE:,0.00001,,,,,,,,
SINGLE TABLE BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,62.7819,33.965,18.1976,10.8506,,62.75264,33.80088,18.5483,10.86984
2,61.9956,32.7592,19.2957,10.7987,,,,,
3,63.2488,34.084,18.4627,10.8992,,,,,
4,62.8399,34.0438,18.5292,10.9805,,,,,
5,62.897,34.1524,18.2563,10.8202,,,,,
SINGLE TABLE BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.71E+07,3.16E+07,5.90E+07,9.90E+07,,,,,
2,1.73E+07,3.28E+07,5.56E+07,9.94E+07,,,,,
3,1.70E+07,3.15E+07,5.82E+07,9.85E+07,,,,,
4,1.71E+07,3.15E+07,5.79E+07,9.78E+07,,,,,
5,1.71E+07,3.14E+07,5.88E+07,9.92E+07,,,,,
SINGLE TABLE BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,3.48E-02,8.51E-01,5.29E-02,,,,,
2,,2.89E-01,2.05E-01,1.64E-01,,,,,
3,,9.42E-01,3.11E-01,9.00E-02,,,,,
4,,9.15E-01,4.72E-01,7.62E-01,,,,,
5,,4.23E-01,5.88E-01,5.82E-01,,,,,
